Merge `1-14-stable` into `master`,2019-12-14,Merged,731,14,3,lock rb ,2
Fix errors when using mutually recursive build settings,2020-01-11,Merged,727,40,9,rb ,2
Test CI 2,2019-11-05,Closed,726,2,0,,0
Test CI,2019-11-05,Closed,725,2,0,,0
Add imessage extensions.,2019-11-05,Merged,723,6,0,rb ,1
Provide option to look into xcconfigs for common build settings.,2019-10-30,Merged,722,20,6,rb xcconfig ,4
Remove extra space in warning,2019-10-22,Merged,721,1,1,,1
Fix config-dump array serialization,2019-10-17,Merged,720,7,2,rb ,1
Merge `1-13-stable` (1.13.0) into `master`,2019-10-16,Merged,719,14,3,lock rb ,2
Add support for `productRef` attribute for `PBXTargetDependency`.,2019-10-15,Merged,716,8,0,rb ,1
Update PBXProject known_regions attribute to include 'Base',2019-10-09,Merged,714,6,2,rb ,2
Add support for runOncePerArchitecture attribute for PBXBuildRule.,2019-10-07,Merged,712,10,1,rb ,1
Add alias for `to_h` to `Config`,2019-09-26,Merged,710,7,0,rb ,1
Add `PBXShellScriptBuildPhase` dependency file.,2019-08-06,Merged,705,7,1,rb ,1
Merge `1-12-stable` (1.12.0) into `master`,2019-08-02,Merged,704,13,2,lock rb ,2
Merge `1-11-stable` (1.11.1) into `master`,2019-08-02,Merged,703,15,4,lock rb ,2
Add #pretty_print to PBXCopyFilesBuildPhase and PBXShellScriptBuildPhase,2019-07-23,Merged,702,59,1,rb ,2
Merge `1-11-stable` into `master`,2019-07-17,Merged,701,2,1,,1
[BuildConfiguration] Don't cache configuration until the base ref is set,2019-07-17,Merged,700,2,1,,1
Merge `1-11-stable` into `master`,2019-07-16,Merged,699,12,5,rb ,1
[BuildConfiguration] Allow missing base configuration reference when resolving against xcconfig,2019-07-16,Merged,698,12,5,rb ,1
Merge `1-11-stable` (1.11.0) into `master`,2019-07-09,Merged,696,13,2,lock rb ,2
Update Bundler version,2019-07-09,Merged,695,1,1,,1
Add `platformFilter` Xcode 11 entry,2019-07-08,Merged,694,8,0,rb ,1
Minor performance improvements,2019-07-08,Merged,692,9,6,,7
Add watchapp2-container product type.,2019-06-29,Merged,690,16,12,rb ,1
Merge `1-10-stable` into `master`,2019-06-12,Merged,689,13,2,lock rb ,2
Support for Xcode 11 attributes and objects.,2019-06-11,Merged,687,129,13,rb xcscheme ,14
CI for ruby 2.6.0,2019-05-17,Merged,684,1,0,,1
Merge 1-9-stable into master,2019-05-02,Merged,682,13,2,lock rb ,2
[UUIDGenerator] Also update TargetAttributes,2019-04-22,Merged,675,30,0,rb ,2
Fix CHANGELOG entry,2019-04-16,Merged,673,3,3,,0
[Workspace] Raise a better exception when adding an invalid object to a workspace,2019-04-10,Merged,672,6,4,,1
[Constants] Update for release of Xcode 10.2,2019-04-08,Merged,671,16,15,rb xcconfig xcscheme ,8
Use modern localization identifier 'en' for the development region,2019-04-16,Merged,669,5,2,rb ,2
Set root object compatibility version depending on object version.,2019-03-21,Merged,668,38,0,rb ,3
