Adding exception handling in container metrics publisher,2020-01-10,Merged,5460,17,7,,2
allow modifying response directly in function when calling from proxy,2020-01-08,Merged,5444,79,5,json csx cs ,6
Add resource filter for ARM Extension API requests,2020-01-08,Closed,5443,0,0,,0
Additional storage e2e coverage,2020-01-09,Merged,5434,174,0,json csx ,5
Resolving issue with native dependencies collision,2020-01-07,Merged,5424,"3,654",21,,3
Release Merge,2019-12-14,Merged,5398,"1,941",839,sln config cs csproj ,5
[pack] another suffix test,2019-12-14,Merged,5397,13,53,ps1 ,2
devops: fixing suffixes in release packages,2019-12-13,Merged,5395,2,2,,1
[Pack] Python worker 1.0.2,2020-01-02,Merged,5394,2,2,,1
devops: fixing build issue when no suffix is present,2019-12-13,Merged,5393,7,2,,1
devops: fixing release build detection,2019-12-13,Merged,5392,8,1,,1
[pack] adding more logging for test,2019-12-13,Merged,5387,29,6,ps1 cs ,3
[pack] devops: base build number on counter,2019-12-12,Merged,5383,3,2,,1
devops: only query for PR name if building a PR,2019-12-12,Merged,5381,11,9,,1
devops: only query for PR name if building a PR,2019-12-12,Closed,5380,11,9,,1
Ensuring warmup file operations only happen if configuration is for standby state,2019-12-12,Merged,5379,77,7,,6
preventing StandbyManager.SpecializeAsync() from running before InitializeAsync(),2019-12-12,Closed,5375,95,9,,5
DryIOC JIT optimizations.,2019-12-12,Merged,5370,9,9,,3
[pack] adding devops build pipeline,2019-12-12,Merged,5366,663,334,,1
adding devops build pipeline,2019-12-10,Closed,5364,611,233,,1
Do not exclude exit code -1 from restart,2019-12-13,Merged,5361,48,17,,5
Matching missed unification rules removal from 2.x,2019-12-10,Merged,5359,32,28,cs json ,6
Add support for Excluded/Included types for App insights sampling,2019-12-10,Merged,5357,34,2,,2
minor test refactoring,2019-12-09,Merged,5355,13,5,json ,7
[pack] explicitly skip pdb generation in official build,2019-12-09,Merged,5352,5,4,,1
Add resource filter for ARM Extension API requests,2020-01-07,Merged,5351,246,4,resx csproj ,13
Merge branch 'dev' into v3.x,2019-12-05,Merged,5339,170,31,cs json ,12
Use Profile Guided Optimization(pgo) in dotnet core to PreJIT methods…,2019-12-12,Merged,5338,"3,784",1,,2
Update Node.js worker to 2.0.1,2019-12-05,Merged,5335,2,2,,2
Update PowerShellWorker to v1.0.201,2019-12-05,Merged,5334,1,1,,1
Updating ASP.NET Core references,2019-12-12,Merged,5333,8,8,cs ,4
adding devops,2019-12-10,Closed,5332,611,233,,1
Rpc http cookie behavior on V3,2019-12-05,Merged,5331,7,5,cs ,3
Ensuring service resolution fallback factory is properly configured to avoid disposal,2019-12-05,Merged,5330,115,7,,4
do not use placeholder worker if ~3 and v2 compatability enabled,2019-12-04,Merged,5328,37,1,,3
moving to .NET Core 3.1,2019-12-03,Merged,5325,20,15,csproj cs ,9
Node.js Worker 2.0.0 and Capability Flag,2019-12-03,Merged,5321,52,8,csproj cs ,7
Append runtime version to runtime language metric,2019-12-03,Merged,5320,12,1,,1
Merge branch 'dev' into v3.x,2019-12-03,Merged,5319,"1,453","5,317",sln props ps1 proto config ,5
Initial set of changes to relax JSON.NET unification behavior - Allow functions to bind to different versions of JSON.NET,2019-12-03,Merged,5318,"1,636",32,csproj ,7
Removing System.Data.SqlClient unification,2019-12-02,Merged,5316,0,4,,1
Add TraceStateString to context,2019-11-28,Merged,5309,1,0,,1
[pack] allowing ExtensionsMetadataGenerator to roll forward to .NET Core 3.0 if 2.0 is not found,2019-11-27,Merged,5308,4,1,csproj ,2
[pack]Update check for InStanbyMode.,2019-11-27,Merged,5303,51,4,,3
Add resource filter for ARM Extension API requests,2020-01-07,Merged,5300,243,3,resx ,11
adding default Json formatters for requests,2019-11-26,Merged,5299,161,5,json csx ,6
Ensuring we don't trigger a service disposal on Warmup API call.,2019-11-26,Merged,5297,19,8,,2
removing all BufferingMiddleware,2019-12-03,Merged,5296,139,705,,5
Removing Host project,2019-11-25,Merged,5295,2,264,config cs csproj ,5
Derive unique host id from container name,2019-12-03,Merged,5291,17,13,,3
Log function load errors using worker logger,2019-11-25,Merged,5290,11,3,,1
Use managedDependencyOptions only in JobHost scope,2019-11-25,Merged,5289,41,31,cs ,11
removing AllowSynchronousIO; hiding behind v2 compat mode,2019-11-26,Merged,5286,399,168,,17
-Add support for java on linux placeholder,2019-11-27,Closed,5285,3,2,,2
Update sync trigger API to synch triggers differently for Durable 2.x,2019-12-13,Merged,5282,477,101,,1
"If WorkerRuntime is set, only add workerConfig for that language",2019-11-26,Merged,5280,315,271,,3
contributing.md updates,2019-12-03,Merged,5270,2,2,,0
Fixing gRPC script to work w/ paths containing spaces,2019-12-31,Merged,5269,1,1,,1
Merge to master,2019-11-19,Merged,5266,"1,302","4,899",sln props ps1 proto cs ,5
Restrict details message length to 10K characters,2019-11-19,Merged,5264,2,0,,1
Send function app directory at specialization,2019-11-18,Merged,5256,99,16,cs csproj ,9
Removing references to removed scaling tests,2019-11-15,Merged,5255,0,2,ps1 ,1
"[pack] Making bundles default, optimizing start up code path",2019-12-05,Merged,5254,24,8,cs ,4
updating WebJobs to 3.0.15,2019-11-16,Merged,5253,4,4,,2
[pack] Added slot name as a column to FunctionsLogs and FunctionsMetrics tables,2019-11-19,Merged,5245,111,69,,5
Handle multivalue X-Forwarded-Proto header,2020-01-07,Merged,5242,57,11,csproj ,6
Remove ActionBuffers,2019-12-11,Closed,5241,247,291,,5
Removing old WebJobs.Script.Scaling projects,2019-11-13,Merged,5236,0,"4,562",cs ,2
[pack] Merge branch 'dev' into v3.x,2019-11-12,Merged,5231,880,200,ps1 cs ,7
Add support for Linux consumption BYOS,2019-11-09,Merged,5220,503,137,,5
Added feature to use SAS uri for secret storage and supporting tests,2019-11-13,Merged,5219,124,27,csproj ,8
[pack] populate RuntimeSiteName for FunctionsMetrics table,2019-11-07,Merged,5217,4,1,,3
Add support for Access-Control-Allow-Methods header in CORS middleware,2019-11-11,Merged,5215,66,0,,2
Add changes for log analytics / azure monitoring for Linux Dedicated,2019-12-12,Merged,5212,82,51,,12
fixing backoff overflow,2019-11-06,Merged,5210,50,3,,2
fixing backoff overflow exceptions,2019-11-06,Merged,5209,62,18,,3
Handle worker error if in placeholder mode (i.e. workerruntime not set),2019-11-07,Merged,5208,21,9,,2
Populate role instance and tenant for linux consumption azure monitor events,2019-11-06,Merged,5204,7,4,,2
README update: PowerShell is GA,2019-11-04,Merged,5202,1,1,,0
Mount user data folder when enabled,2019-11-04,Merged,5201,30,32,,5
[pack]Wait for http worker ready,2019-11-19,Merged,5195,191,53,,11
Add support to load native libraries from the function.deps.json file.,2019-11-01,Merged,5193,104,12,json ,3
[pack] Update Python worker to run without subprocess,2019-11-13,Merged,5192,1,1,,1
Find free Tcp port and dispose,2019-11-14,Merged,5188,24,4,,2
Merging master into dev,2019-11-01,Merged,5185,1,1,,1
[pack]Keep 'win-x64' and 'win10-x64' runtimes for PowerShell worker,2019-10-31,Merged,5184,1,1,,1
Merging dev into v3.x,2019-11-11,Merged,5181,"6,885","2,964",yml ps1 props json js py csproj cs ,17
[pack] added logging to DI pipeline,2019-11-06,Merged,5179,5,5,cs ,3
updating nugets for v1,2019-10-31,Merged,5177,45,45,config nuspec ,9
Update PowerShellWorker to v1.0.197,2019-11-14,Merged,5173,1,1,,1
Initialize FunctionInvocationDispatcher after creating function descriptors,2019-10-31,Merged,5169,97,6,,3
"Revert ""Add startup logs (#5146)""",2019-10-28,Merged,5164,54,72,,3
Merging dev to master,2019-10-28,Merged,5162,"1,401","1,406",,14
[pack]Use TraceWriter to log startup errors,2019-10-29,Merged,5159,210,125,csproj ,4
Fall back to relying on PATH when the dotnet executable is not found at the expected location,2019-10-26,Merged,5157,104,17,,6
If initialization fails throw on exception,2019-10-26,Merged,5156,1,0,,1
Add functions worker runtime version log,2019-10-31,Merged,5150,5,0,,2
Remove x-ms-site-restricted-token generation endpoint,2019-10-25,Merged,5147,0,65,,2
Add startup logs,2019-10-25,Merged,5146,71,54,,3
Merging dev to master,2019-10-24,Merged,5142,"5,492","1,644",yml ps1 props json js py csproj cs ,19
Merging to master,2019-10-24,Closed,5141,"5,174","1,610",yml ps1 props json js py csproj cs ,21
Rename namespace from outofProc to workers,2019-10-24,Merged,5140,"1,298","1,325",,14
Make warmup execute once,2019-10-24,Merged,5137,34,4,,5
absorbing 3.0.5 of WebJobs.Extensions,2019-10-23,Merged,5131,1,1,,1
Do not send null or empty values,2019-10-22,Merged,5128,13,5,,2
Support for IMDS MSI implementation,2019-11-08,Merged,5127,2,0,,1
Improvements to system key handling (#3929),2019-11-23,Merged,5117,46,14,,4
[pack] moving to use IExternalScopeProvider; checking state and scope for FunctionName,2019-10-22,Merged,5114,220,269,,7
Ensuring function name comparison is done consistently,2019-10-18,Merged,5113,29,3,,5
Small refactoring to WebScriptHostHttpRoutesManager,2019-10-18,Merged,5111,2,4,,1
