Revert a change in AgentPluginManger that started to fail at system level,2020-01-13,Merged,2727,56,22,cs ,2
Fixed to specify bash instead of script,2020-01-13,Closed,2726,10,0,cmd ,2
Fixing bug with GitHub OAuth tokens,2020-01-10,Merged,2722,11,2,,1
Adding ContainerResource.MapDockerSocket,2020-01-10,Merged,2714,8,4,,2
Fix some flaky environment tests,2020-01-08,Merged,2710,183,127,,4
Minor tweaks to release and self update processes,2020-01-07,Merged,2709,9,7,sh ,2
Fixed bug when attempting to checkout when running on a container,2020-01-06,Merged,2708,4,3,,1
Updated self-update to remove symlinks even if they are marked read-only,2020-01-02,Merged,2703,2,2,,1
Removed assertion causing issue described by FEEDBACKTICKET 1649233,2020-01-10,Merged,2702,17,24,,1
Refactored to remove stringly-typed bindings from AgentPluginManager,2020-01-08,Merged,2701,128,207,,2
Added unit tests for ServiceControlManager to attempt to root cause i…,2020-01-07,Merged,2700,103,6,,2
Always checkout git repo by commit for a PR if SHA is present,2019-12-30,Merged,2699,7,2,,1
Updated to honor http_proxy environment variable.,2020-01-08,Merged,2698,11,4,,1
Updates to release process automation,2020-01-06,Merged,2696,65,20,,2
Initial pass at getting code coverage flow working,2020-01-07,Merged,2692,430,157,cs runsettings ,8
Fixing checkout displayname for deployment jobs,2019-12-18,Merged,2691,3,1,,1
Fixing unfortunate collision of two distjoint PR merges,2019-12-18,Merged,2690,2,1,,1
Users/jtpetty/cherry pick 2560 to m163,2019-12-18,Merged,2689,52,8,cs src/agentversion ,2
Removed code related to local runner concept,2020-01-07,Merged,2687,28,"1,318",cs ,3
Fixed to set detectedRHEL6 in all cases. Fixes #2678,2019-12-18,Merged,2685,1,1,,1
Updated versions of node to pick up security fixes,2019-12-30,Merged,2684,2,2,,1
Update to the release process.,2019-12-19,Merged,2682,80,24,src/agentversion sh ,2
Ability for the agent to clone cross org Azure repos,2019-12-16,Merged,2676,27,30,,1
Setting test summary as task variables instead of environment variables.,2019-12-13,Merged,2675,27,8,src/agentversion ,3
Fixed multiple bugs caused by changes to support step targets #2646,2019-12-18,Merged,2673,154,48,json ,14
Updated to clean up taskkey file at the end of the job,2019-12-13,Merged,2672,22,0,,1
Fixing issue 2660,2019-12-12,Merged,2671,8,5,,3
Updated ARM build timeout,2019-12-12,Merged,2670,1,0,,1
remove two obsolete checks that block operation on Windows IoT Core,2019-12-13,Merged,2664,2,12,,2
Enable using server workspaces for TFVC pipelines,2019-12-17,Merged,2663,25,2,,4
Updated to use a different method to extract username given user id,2019-12-13,Merged,2662,1,1,,1
Updated to add URI escaped versions of secrets to the secret masker,2019-12-13,Merged,2659,23,11,,1
Updated to mingit version 2.24.0.2,2019-12-13,Merged,2657,3,2,,1
Initial stab at generating some integration files we need to further …,2019-12-11,Merged,2656,118,6,ps1 sh js ,5
Fix issue with downloading build artifacts from releases,2019-12-06,Merged,2654,14,12,,2
Update to try and fix GetEnvironmentVariable() test flakiness,2019-12-06,Merged,2653,19,12,,1
