Fixing integration tests.,2019-08-21,Merged,317,"84,463","2,007",diffLayerBase diffLayerModified diffModified md sh json ,9
Fix RPM differ to to include release of version,2019-08-05,Merged,315,1,1,,1
README: mention archlinux-specific instructions,2019-04-18,Merged,307,6,0,,0
"version: Move vX.Y.Z to version.go so it works with `go get`, add git info",2019-04-01,Merged,304,27,12,go ,3
"--help: List available analyzers, improve Usage line",2019-05-13,Merged,303,22,7,,3
cut v0.15.0 release,2019-02-19,Merged,299,10,1,Makefile ,1
Update deps,2019-02-19,Merged,298,"37,380","8,782",toml ,2
Fix result switch while viewing with type history,2019-02-19,Merged,296,2,2,,1
Use PKG-INFO and METADATA to infer package names in pip analysis,2019-02-01,Merged,292,105,43,json ,2
Use top_level.txt when analyzing pip modules,2019-01-24,Merged,291,37,26,json ,3
Strip colons from file path before creating cache dir,2019-01-24,Merged,290,2,1,,1
Adding Github Action to run Container Diff,2019-01-16,Merged,286,133,1,md sh ,3
Remove characters from cache path that are invalid on Windows,2019-02-01,Merged,285,11,3,,4
cut v0.14.0,2018-12-19,Merged,280,13,1,Makefile ,1
Enhancement - save to file,2018-12-12,Merged,279,87,49,,3
Fixed concurrent map write in image diffing,2018-12-10,Merged,278,18,13,,1
add -k arg for keeping the image filesystem owner,2019-05-15,Closed,277,19,10,,3
Adding custom cache envar and command line argument,2018-11-26,Merged,274,97,6,,2
Split lines prior to diffing,2018-11-02,Merged,272,2,2,,1
"Move all image processing logic into utils, and expose publically",2018-10-31,Merged,270,178,166,,3
Fix docker dep overrides,2018-10-30,Merged,269,70,30,toml go ,3
Cut release v0.13.0,2018-10-30,Merged,268,6,1,Makefile ,1
Update go-containerregistry to pick up docker API client negotiation,2018-10-30,Merged,267,"8,884","1,965",toml go com/containerd/continuity/LICENSE com/fsouza/go-dockerclient/AUTHORS ,11
Change the default analysis type from apt to size,2018-10-18,Merged,266,2,2,go ,1
Fix unintended variable shadowing,2018-10-17,Merged,263,1,1,,1
Update changelog for v0.12.0 release,2018-10-02,Merged,262,12,0,,0
Cut v0.12.0 release,2018-10-02,Merged,261,1,1,,1
Fix deps,2018-10-01,Merged,260,"36,696","128,639",,1
Add maintainers file and new issue template,2018-10-01,Merged,259,19,5,md MAINTAINERS ,2
Add script to list all pull requests for each release,2018-10-01,Merged,258,"52,720",0,sh go com/golang/protobuf/AUTHORS com/golang/protobuf/CONTRIBUTORS com/golang/protobuf/LICENSE ,6
Backfill changelog,2018-10-01,Merged,257,56,2,,0
