Output Castes on Error,2019-11-02,Merged,1463,3,1,,1
List valid options for caste,2019-10-06,Closed,1462,3,1,,1
Fix EventManager building ID type,2019-10-09,Merged,1461,12,5,,3
Smal RFR change,2019-10-04,Merged,1460,3,3,,1
lua/widgets filtered list input fix,2019-11-02,Merged,1458,4,1,,1
"Added 'fileresult' optional parameter, improved world traversal",2019-11-03,Merged,1456,119,52,h cpp ,5
Change dwarfmonitor to use global lua state.,2019-11-02,Merged,1454,13,2,,1
Embark assistant,2019-08-23,Merged,1443,"2,253",238,h cpp ,3
Make unit_ishostile always return a non-nil value,2019-07-16,Merged,1441,3,1,,1
mousequery map boundary detection fixes,2019-05-18,Merged,1440,8,10,,1
Use BYPRODUCTS to keep ninja builds from re-running codegen every time,2019-05-17,Merged,1439,5,1,,0
Auto clothing,2019-11-03,Merged,1437,673,0,,0
[Release] cxxrandom v2.0.1,2019-04-16,Merged,1435,1,1,,1
"Improve readme, dependencies, and gitignore",2019-07-09,Merged,1432,11,0,rst ,2
travis: Always clear DF folder,2019-01-03,Merged,1419,26,17,sh py ,4
"Add some stuff to RFR, and some stonesense fixes.",2019-07-20,Merged,1414,944,163,cmake proto ,4
"WIP: libcurl, cleaned up.",2018-09-01,Closed,1406,380,3,txt gitignore depends/curl cpp h ,5
WIP libcurl with lua->json rest calls.,2018-08-31,Closed,1404,390,4,json txt gitignore depends/curl cpp h ,6
[ImgBot] optimizes images,2018-11-14,Merged,1403,0,0,,13
Add Persistence module.,2019-08-24,Merged,1402,801,259,cpp h ,4
"Add ""tailor"" plugin, to provide clothing management",2019-11-03,Merged,1398,506,0,,0
move nestboxes out of devel,2018-12-21,Merged,1395,7,7,cpp ,1
Add function to infer biome type to Maps module,2019-07-20,Merged,1394,400,765,,1
labormanager: make labor names case-insensitive,2018-12-27,Closed,1387,12,4,,1
labormanager: add option to disable the management of a labor.,2018-12-27,Merged,1386,134,75,,0
labormanager: assign more dwarves to cleaning,2018-12-24,Merged,1385,11,0,,1
Embark assistant,2018-12-27,Merged,1383,171,56,h cpp ,5
(labormanager) respect NATURE value,2018-08-04,Merged,1382,21,0,,1
(labormanager) only assign valid labors (fix #1142),2018-08-04,Merged,1380,57,25,,1
(labormanager) add support for craft item from pearl jobs (fixes #1162),2018-08-04,Merged,1379,2,1,,1
Add an identity to dfhack_viewscreen and dfhack_lua_viewscreen.,2018-07-26,Merged,1372,32,0,cpp ,2
Ignore CMakeLists.custom.txt and create it if it does not exist during cmake.,2018-07-18,Merged,1368,11,3,txt ,1
Change CMakeSettings.json to use Ninja. Add DFHACK_INCLUDE_CORE option for easier development.,2018-07-27,Merged,1367,109,25,json ,1
building_hacks.lua: fix custom animation tables,2018-07-21,Merged,1365,2,2,,1
Embark assistant,2018-07-14,Merged,1362,281,35,txt h cpp ,4
Add CMakeSettings.json for MSVC 2017.,2018-07-13,Merged,1359,308,2,txt json ,2
Fix windows crash when _exit calls static destructors in dll unload,2018-07-10,Merged,1357,7,13,cpp ,1
Fix crash when editing lines that are exactly console width,2018-07-09,Merged,1355,4,3,,1
Exclude jsoncpp default CMake targets.,2018-07-09,Merged,1353,1,1,,0
Use std::call_once to ensure thread safety for windows sdl hooks,2018-07-15,Merged,1351,26,39,,1
Use unique_ptr and shared_ptr for keeping member variables,2018-12-22,Merged,1350,91,104,h ,8
Fix windows ReadConsoleInput return value check,2018-07-07,Merged,1346,1,1,,1
Tsan race warning fixes,2019-07-20,Merged,1344,174,65,h cpp ,4
Remove Core.h include from DataDefs.h,2019-10-04,Merged,1343,21,1,h ,12
Automatically preload asan runtime library,2018-07-06,Merged,1342,6,1,,1
Fix memory return calling convention in ruby bindings,2018-07-12,Merged,1341,26,1,rb ,2
Fix crafts advanced constraints in workflow,2018-07-07,Merged,1339,9,1,lua ,1
Add documentation for plugin proto files,2018-07-10,Merged,1338,240,26,cpp h proto ,12
Allow canceling lineedit with ctrl+c,2018-07-04,Merged,1337,74,49,h ,9
Main thread ownership for df ai,2018-07-06,Merged,1336,131,41,h ,2
