Bumping eugenmayer/unison image for native_osx too,2019-12-10,Merged,703,1,1,,1
Unison needs to compile with ocaml 4.08.1,2019-12-03,Merged,700,7,4,,1
Address issue #695,2019-11-23,Merged,698,1,1,,1
Check the exit code of upgrade command and handle it appropriately,2019-11-23,Merged,693,7,3,,1
Use ocaml 4.08.1 compiled Unison image,2019-11-02,Merged,689,1,1,,1
Fix spelling mistakes,2019-10-08,Merged,682,5,5,,5
Add troubleshooting docs for sync stopping,2019-08-23,Merged,672,76,47,md py rst ,6
Added non-root installation path notes.,2019-07-26,Merged,669,19,0,,1
Correct typo,2019-06-18,Merged,664,1,1,,1
Update installation.rst,2019-04-22,Merged,657,3,1,,1
[RST Doc] Fix mispelling,2019-04-05,Merged,656,1,1,,1
remove leftover call to check_unison_image,2019-02-08,Merged,643,0,10,,1
Fix rspec,2019-02-07,Merged,640,123,68,rb ,12
Migrate wiki content to Read The Docs,2019-02-07,Merged,638,"2,462",0,docs/Makefile md png rst ,7
allow to specific multiple time the sync_name when start,2019-02-25,Merged,637,9,2,,1
brew is mac specific tools,2019-02-06,Merged,636,6,1,,1
Fix logic for detecting brew unox installation,2019-02-05,Closed,634,10,3,,1
WIP: Fix launching of docker-sync via Linux and WSL,2019-01-27,Merged,630,1,1,,1
Fix exit-code,2018-11-28,Merged,622,2,2,,1
Fixed regression of 9ffd23b,2018-10-02,Merged,606,1,1,,1
Na wait for rsync daemon,2018-09-07,Merged,604,17,2,,1
WIP: Provide the means to support 1-way synchronization of files from cont…,2019-02-06,Closed,602,197,1,,3
Fix exception thrown on docker-sync stop with unison setup,2018-05-27,Merged,578,5,2,,1
replaced &> /dev/null with 2>&1 > /dev/null,2018-05-14,Merged,577,3,3,,3
Change image modification example,2018-03-28,Closed,563,4,4,,1
Improve grammar,2018-03-16,Merged,549,13,13,,1
setup native_osx and unisson to work with the same docker image,2018-03-14,Merged,544,21,5,,2
Fix monit_enabled typo / docs mismatch,2018-03-14,Closed,543,1,1,,1
Fix docker environment vars for unison strategy,2018-03-14,Merged,542,1,1,,1
Foreground typo?,2018-03-07,Merged,535,1,1,,1
Use Monit to auto restart if CPU usage high in Native OSX strategy,2018-01-24,Merged,521,18,0,rb ,2
Fix typo.,2017-12-01,Merged,510,1,1,,1
Fix Docker configuration detection in RSpec,2017-11-10,Merged,496,1,1,,1
