Update packages and images,2020-01-06,Merged,1448,12,12,lock ,3
Add extra and old docker images cleanup on update,2020-01-06,Merged,1447,14,0,,1
Update packages and PHP images,2020-01-06,Merged,1446,17,15,lock ,3
Update nginx image,2019-12-18,Merged,1444,16,1,php ,3
Update phar to include zip templates,2019-12-18,Merged,1443,2,1,,1
PHP 7.4 compatibility: update implode calls,2019-12-18,Merged,1442,3,2,,3
Update migrations and img versions for PHP update,2019-12-17,Merged,1440,11,4,php ,3
Fixed broken EasyEngine logo link,2019-07-01,Merged,1425,3,3,,0
Add support for PHP 7.3,2019-03-28,Merged,1407,7,1,php ,2
Fix migration of nginx-proxy container,2019-03-14,Merged,1406,8,4,php ,2
Fix nginx-proxy container name in migration,2019-03-14,Merged,1405,6,1,,1
Update migration pulling of images,2019-02-18,Merged,1395,6,5,,1
Update symlink creation in volumes,2019-02-14,Merged,1392,7,2,,1
Print stderr using error_log,2019-02-12,Merged,1391,1,1,,1
Update nginx-proxy constant with container id,2019-01-31,Merged,1382,7,1,,2
Add confirmation in cli update message,2019-01-24,Closed,1378,717,404,md VERSION sh json ,5
Add log message to run EasyEngine updates safely,2019-01-15,Merged,1371,1,0,,1
Add option for skipping forward slash in folder name sanitization,2019-01-15,Merged,1370,9,5,,1
Add utility function to sanitize file and folder name,2019-01-15,Merged,1369,29,0,,1
Add get_value_if_flag_isset to utils,2019-01-10,Merged,1366,29,0,,1
Fix adding cloudflare dependency files to phar,2018-12-28,Merged,1360,1,0,,1
Fix MacOS update command in warning and error,2018-12-28,Merged,1357,9,2,,1
Feature: Zero downtime deploys.,2018-12-26,Merged,1353,158,19,,4
Disable cli update for macOS,2018-12-13,Merged,1350,3,0,,1
Update to nginx-proxy with default Mozilla-Modern profile,2018-12-13,Merged,1349,1,1,,1
Move redirection template to site-command,2018-12-24,Merged,1347,0,20,,1
Update docker requirement check,2018-12-12,Merged,1345,7,4,,1
Add utility functions for download and unzip,2018-12-07,Merged,1338,38,0,,1
redirection is not needed for https url,2018-12-05,Closed,1337,1,1,,1
Add ralouphie/getallheaders in the phar,2018-12-03,Merged,1334,1,0,,1
Update to rtBot user for phar deployment,2018-11-29,Merged,1328,2,2,,1
Add log show command to display logs.,2018-11-29,Closed,1327,296,0,,2
Update to directly use static class,2018-11-28,Merged,1326,1,9,,2
Make correct help command example,2018-11-29,Merged,1325,4,4,,1
Add resolve to locahost capability in curl utility,2018-11-28,Merged,1323,9,5,,1
Remove global --prompt argument and respective code for same,2018-11-28,Merged,1320,0,160,,2
Merge develop for v4.0.1,2018-11-23,Merged,1311,62,25,VERSION sh php ,4
Update self-uninstall,2018-11-23,Merged,1310,24,16,php ,3
Update checks and migration triggering,2018-11-23,Merged,1309,47,18,php ,3
Correct download URL and add license badge,2018-11-23,Merged,1307,2,1,,0
Add support for PHP 5.6,2018-11-21,Merged,1303,7,0,php ,3
Force enable site in migrations,2018-11-20,Merged,1301,5,3,,2
Fix init checks,2018-11-20,Merged,1300,5,5,,2
Skip checks and migrations on 'ee help' and 'ee cli' commands,2018-11-20,Merged,1298,25,16,,1
Update migrations functions,2018-11-19,Merged,1297,12,5,,2
Add verbose output of image pulling,2018-11-19,Merged,1296,3,3,,1
Check for minimum requirements,2018-11-19,Merged,1295,16,1,,1
Merge pull request #1 from EasyEngine/develop-v4,2018-11-19,Closed,1289,0,0,,0
Add support for macOS,2018-11-19,Merged,1288,51,9,,4
Update EasyEngine header on migration and version changes,2018-11-16,Merged,1287,1,0,,1
Fix nohttps in docker-compose generation,2018-11-13,Merged,1284,1,1,,1
Update docker image versions,2018-11-13,Merged,1283,1,2,,1
Fix process creation environment for cli update,2018-11-13,Merged,1282,1,1,,1
Update Issue template for v4,2018-11-21,Merged,1278,4,4,,0
Update Issue template for v4,2018-11-08,Closed,1277,1,3,,0
Update base migrations class,2018-11-12,Merged,1269,20,4,,1
Update migration triggering for nightly,2018-10-30,Merged,1267,11,5,,1
Remove custom conf template,2018-10-30,Merged,1266,0,2,,1
Add utility function to get values from config file,2018-10-29,Merged,1260,17,0,,1
Add docker volume functions,2018-10-24,Merged,1259,61,0,,1
Update containers related migrations.,2018-11-12,Merged,1256,749,170,,0
Add 'type' column in migrations table and move db migrations path,2018-10-19,Merged,1255,76,10,php ,4
Add docker-compose service check,2018-10-17,Merged,1246,15,0,,1
Update ee-cron-scheduler with constant,2018-10-11,Merged,1243,7,7,,1
Fix saving and getting boolean value in db,2018-10-10,Merged,1242,13,1,,1
Change old column names with new ones,2018-10-05,Merged,1235,12,12,,1
Make get and set methods in Option model static,2018-10-03,Merged,1234,2,2,,1
Move get_curl_info to EE utils,2018-09-26,Merged,1232,29,0,,1
Replace ee-nginx-proxy with EE_PROXY_TYPE constant,2018-09-25,Merged,1226,8,8,,2
Fix migrations,2018-09-21,Merged,1224,159,41,,8
Add auth_ips table,2018-09-21,Merged,1220,16,7,,2
"Update UNIX paths of config,db,logs, and sites",2018-09-27,Merged,1219,31,28,sh php ,7
Update README.md,2018-09-10,Closed,1216,1,1,,0
Bump ee version and docker image version,2018-09-10,Merged,1215,3,3,json ,2
Add template folder for site-types in phar,2018-09-10,Merged,1214,1,0,,1
Bring if condition check outside the loop,2018-09-07,Merged,1211,5,3,,1
Fix migration into individual package,2018-10-03,Merged,1209,203,296,php ,5
Update composer with latest tagged repos,2018-09-06,Merged,1208,230,103,,1
Move compatibility of site args to site-command,2018-09-06,Merged,1207,0,48,,1
Update for obfuscation in log file,2018-09-06,Merged,1206,30,19,,2
Add auth table,2018-09-04,Merged,1198,69,34,,4
Move type routing to site-command,2018-08-30,Merged,1195,6,"2,563",php ,5
WIP: Refactor for DB changes,2018-08-31,Closed,1194,86,63,,3
Add vendor label in global network creation,2018-09-05,Merged,1192,1,1,,1
Update docker-compose.yml and .travis.yml,2018-08-28,Merged,1191,7,1,mustache ,2
Move global containers to docker-compose,2018-08-24,Merged,1187,118,37,mustache ,4
Add OCSP stapling,2018-08-23,Merged,1186,12,20,,1
Update travis ci for nightly,2018-08-23,Merged,1185,5,2,sh ,3
Add specific json files to phar,2018-08-23,Merged,1182,10,0,,1
"Add auth, admin-tools and mailhog command to composer",2018-08-22,Merged,1180,159,32,lock ,2
Add enabled() function in site model,2018-08-22,Merged,1179,26,6,,2
Add validation check,2018-08-22,Merged,1178,1,1,,1
Fix bug caused in refactoring code syntax update,2018-08-21,Merged,1177,1,1,,1
Update travis flow and composer,2018-08-20,Merged,1175,16,3,,1
Add support for [BREAKING CHANGES] tag in travis-ci,2018-08-20,Closed,1173,105,8,sh ,4
Fix assoc-arg updates to apply only when site is primary arg,2018-08-21,Merged,1172,40,37,,1
Ssl wildcard all site types,2018-08-22,Merged,1171,220,92,,3
Add support to independently version docker images,2018-08-21,Merged,1166,45,10,php ,4
Add info for tab completions,2018-08-09,Merged,1164,18,0,,0
Update site-utils to start specific site containers,2018-08-20,Merged,1163,4,3,,1
Update name from folder to directory,2018-08-09,Closed,1162,4,4,php ,2
Add full test suite running,2018-08-07,Merged,1160,18,2,sh ,3
Fix multiple issues,2018-08-07,Merged,1158,136,3,lock php mustache ,5
Update for v4.0.0-beta.5,2018-08-07,Merged,1157,"3,236",405,yml md VERSION sh json ,6
Update to support wildcard letsencrypt post refactoring,2018-08-06,Merged,1155,14,6,,2
Update site utils for postfix,2018-08-06,Merged,1152,38,0,,1
Add .idea folder of phpstorm in gitignore,2018-08-06,Merged,1151,2,1,,1
Update support for old syntax,2018-08-06,Merged,1150,9,11,,2
Remove update tests,2018-08-03,Merged,1147,0,15,,1
Remove extra assoc_arg deletion,2018-08-03,Merged,1146,3,1,,1
Add site-wp-command to composer,2018-08-03,Merged,1145,109,69,,1
Refactor db code,2018-08-20,Merged,1143,834,304,,4
Add support for ee3 site creation parameters,2018-08-01,Merged,1142,28,13,,1
Update debugging flow,2018-08-02,Merged,1140,131,92,php ,8
Update minimum required php version,2018-08-01,Merged,1137,54,102,json lock php dist ,7
Update support for packaging site command,2018-08-01,Merged,1135,"2,424",63,lock php ,6
Container migration after update,2018-08-03,Merged,1134,378,5,,3
add phar fix,2018-07-25,Merged,1133,1,1,,1
Update for v4.0.0-beta.4,2018-07-23,Merged,1132,227,187,yml sh json lock php feature ,6
Add cron table,2018-07-23,Merged,1129,30,1,,2
Add cli self-uninstall command,2018-07-23,Merged,1127,63,6,feature ,3
Fix docker-compse functions,2018-07-15,Merged,1126,4,9,,1
Update support commands to be new cli versions.,2018-07-13,Merged,1124,4,4,,0
Update db and docker functions for site serivces,2018-07-14,Merged,1122,49,18,,2
Update tests,2018-07-14,Merged,1121,29,147,sh php feature ,4
Update for v4.0.0-beta.3,2018-07-10,Merged,1115,872,193,VERSION json ,2
Update install url to https,2018-07-10,Merged,1114,1,1,,0
Update and make ensure_present_in_config generic,2018-07-10,Merged,1113,14,14,,1
print stdout and stderr if param is passed,2018-07-10,Merged,1112,8,2,,1
Fix migration by removing trailing comma,2018-07-10,Merged,1109,1,1,,1
Update for letsencrypt,2018-07-10,Merged,1108,601,112,,1
Fix site tests,2018-07-10,Merged,1107,11,9,feature ,3
add compatibility to --le flag,2018-07-10,Merged,1106,5,4,,1
Add global param for letsencrypt mail,2018-07-09,Merged,1104,7,0,,1
Add function to take user input,2018-07-09,Merged,1103,16,0,,1
Add initial migration code,2018-07-09,Merged,1097,208,50,,5
Update README,2018-06-28,Merged,1095,23,125,,0
Update EasyEngine v4.0.0-beta.2 release,2018-06-28,Merged,1094,853,408,VERSION sh json ,3
Add db_port field while creating database,2018-06-28,Merged,1091,1,0,,1
Add check-update command,2018-06-27,Merged,1089,66,0,,1
Fix deprecated warning while disconnecting site.,2018-06-27,Merged,1087,1,1,,1
Update readme for beta 2,2018-06-28,Merged,1086,101,10,,0
Update composer files,2018-06-28,Merged,1085,87,47,lock ,2
Throw error when wrong sitename is given from a site-root,2018-06-27,Merged,1081,6,2,,1
Confirmed sudo at entrypoint,2018-06-21,Merged,1080,9,4,,2
Fix deprecated warning in php7.2,2018-06-21,Merged,1079,1,1,,1
Extend EE::launch to accomodate environment variables,2018-06-21,Merged,1075,51,10,,2
Correct and port existing changes to behat v3,2018-06-27,Merged,1074,630,337,json ,1
Remove extra constants,2018-06-15,Merged,1073,0,2,,1
Fix update bug,2018-06-27,Merged,1070,2,1,,1
Update travis to append nightly in develop-v4 version,2018-06-18,Merged,1068,7,0,,1
Fix undefined index error,2018-06-12,Merged,1067,2,2,,1
Update README,2018-06-12,Merged,1066,50,1,,0
Add command examples to README,2018-06-12,Merged,1065,50,1,,0
Update README for 4.0.0-beta.1,2018-06-12,Merged,1064,2,11,,0
Remove MacOS install instructions,2018-06-12,Merged,1063,0,9,,0
Remove MacOS install instructions,2018-06-12,Closed,1062,0,9,,0
Update requirements in readme,2018-06-12,Merged,1061,1,1,,0
Update lock for v4.0.0-beta.1,2018-06-11,Merged,1058,4,4,,1
Update error message,2018-06-11,Merged,1057,2,2,,1
Release version v4.0.0-beta.1,2018-06-11,Merged,1056,"1,115","2,407",github/ISSUE_TEMPLATE github/PULL_REQUEST_TEMPLATE yml VERSION bat sh json ,8
Fix config directory issue,2018-06-11,Merged,1055,7,11,,1
Remove unnecessary-flags from help,2018-06-11,Merged,1054,7,42,,3
Change init_ee loading sequence,2018-06-11,Merged,1053,2,2,,1
Allow only root users for now,2018-06-11,Merged,1052,42,14,sh php ,5
