fix explain,2020-01-05,Closed,1027,1,1,,1
fix explain,2020-01-05,Closed,1026,1,1,,1
fix like a<>b and a!=b express,2020-01-05,Merged,1024,11,1,,1
Elastic6.8.5,2019-12-01,Closed,1013,122,73,xml java ,9
Elastic6.8.5,2019-12-01,Closed,1012,82,56,xml java ,10
Deprecated announcement update,2019-12-01,Merged,1011,1,1,,0
Elastic6.8.4,2019-11-17,Closed,1009,65,41,xml java ,7
es 7.4.2 support,2019-11-10,Closed,1003,4,4,md xml ,2
es 6.8.4 support,2019-11-10,Closed,1002,3,3,xml ,2
es 7.2.0 support,2019-10-27,Closed,993,3,3,xml ,2
Elastic6.8.0,2019-06-09,Closed,937,91,29,xml java ,18
es 6.7.2 support,2019-06-02,Closed,935,68,26,xml java ,11
es 6.7.1 support,2019-05-11,Closed,928,"2,165","1,025",xml ,2
"Revert ""同步""",2019-03-29,Closed,915,0,0,,0
同步,2019-03-29,Merged,914,0,5,,1
es 6.7.0 support,2019-03-28,Closed,913,3,3,xml ,2
Elastic6.6.2,2019-03-26,Closed,909,3,3,xml ,2
fix #904 es 6.6.1 support,2019-03-26,Closed,908,3,3,xml ,2
Elastic5.6.16,2019-03-26,Closed,907,879,687,xml ,2
Elastic5.6.15,2019-03-26,Closed,906,879,682,xml ,2
"Revert ""Merge pull request #1 from NLPchina/master""",2019-03-26,Closed,905,0,0,,0
Merge pull request #1 from NLPchina/master,2019-03-26,Merged,903,0,0,,0
Merge pull request #1 from NLPchina/master,2019-03-19,Closed,902,0,0,,0
支持preference参数,2019-02-11,Closed,882,30,0,,2
Elastic6.6.0,2019-02-11,Closed,881,88,58,xml java ,12
es 6.6.0 support,2019-02-11,Closed,879,41,31,xml java ,8
Elastic5.6.14,2019-01-20,Closed,864,879,682,xml ,2
count(distinct a) 排序问题,2019-01-20,Merged,862,19,1,,1
es 6.5.4 support,2019-01-13,Closed,854,3,23,xml ,2
Elastic5.6.14,2019-01-02,Closed,844,78,24,xml java properties ,12
Elastic2.4.6,2018-12-17,Closed,831,812,597,xml ,3
fix #826 es 6.5.3 support,2018-12-16,Merged,830,3,3,xml ,2
es 6.5.2 support,2018-12-16,Closed,829,541,506,xml ,2
Elastic6.5.1,2018-12-04,Closed,817,10,20,xml java ,6
Elastic6.5.0,2018-12-04,Closed,816,10,20,xml java ,6
Elastic6.5.0,2018-12-04,Closed,814,10,15,xml java ,6
Elastic6.5.0,2018-12-03,Closed,813,5,10,xml java ,3
Elastic6.5.0,2018-12-03,Closed,812,5,10,xml java ,3
Elastic5.6.13,2018-12-03,Closed,811,78,24,xml java properties ,12
es 6.4.3 support,2018-12-03,Closed,810,3,8,xml ,2
Elastic2.4.6,2018-11-25,Closed,805,265,93,xml java ,6
将新增功能的描述加到wiki,2018-11-14,Merged,793,13,0,,0
Elastic6.1.1,2018-11-10,Closed,792,"1,350",422,yml md xml js java ,8
对elastic6.1.1分支做了若干的功能扩展,2018-11-10,Merged,789,"1,399",191,js java ,7
修复嵌套函数中使用cast函数时script中无返回值和引用参数错误问题,2018-10-30,Merged,786,12,3,,2
修改bug,2018-10-02,Merged,774,317,154,,1
Elastic5.6.12,2018-09-24,Closed,772,78,24,xml java properties ,12
es 6.4.1 support,2018-09-24,Closed,771,71,91,xml java ,7
es 6.4.0 support,2018-09-15,Closed,764,3,3,xml ,2
Elastic5.6.11,2018-09-14,Closed,763,78,24,xml java properties ,12
fix bug#connection in druid infinitely increased,2018-09-12,Merged,756,6,1,,1
Elastic5.1.2,2018-09-06,Closed,755,25,7,,2
fix 使用jdbc调用metaData.getColumnCount()函数无法获取正常列数信息的问题 #751,2018-09-05,Merged,752,2,2,,1
Elastic5.3.3 implement jdbc interface method to support tomcat jndi,2018-08-22,Merged,743,976,4,,1
es 6.3.2 support,2018-08-10,Closed,730,36,4,xml java ,4
master => 6.3.1,2018-07-30,Closed,721,9,2,xml java ,2
Fix #714 when where condition contains join keywork cause sql parse error,2018-07-22,Closed,715,1,1,,1
es 6.3.1 support,2018-07-21,Closed,713,3,3,xml ,2
"support date_histogram,histogram and terms aggregations with scripts",2018-07-21,Merged,709,166,128,,2
6.3.1 support,2018-07-07,Closed,694,3,3,xml ,2
Elastic5.6.10,2018-06-18,Closed,685,78,24,xml java properties ,12
"fix log, abs, pow functions",2018-06-01,Merged,672,71,5,,2
#648 es 6.2.4 support,2018-04-24,Closed,651,3,3,xml ,2
Elastic5.6.9,2018-04-24,Closed,650,78,24,xml java properties ,12
Elastic6.2.3,2018-03-25,Closed,637,3,3,xml ,2
es 6.1.4 support,2018-03-25,Closed,636,3,3,xml ,2
es 6.2.2 support,2018-03-03,Closed,622,3,3,xml ,2
Elastic5.6.8,2018-03-03,Closed,621,78,24,xml java properties ,12
Elastic5.6.7,2018-02-03,Closed,604,78,18,xml java ,11
Update controllers.js and index.html,2018-01-29,Merged,596,5,5,,1
es 6.1.2 support,2018-01-27,Closed,594,3,3,xml ,2
Elastic5.6.6,2018-01-27,Closed,593,78,18,xml java ,11
Elastic5.6.5,2018-01-15,Closed,588,76,16,java ,10
"Revert ""Merge pull request #1 from NLPchina/master""",2018-01-13,Closed,585,0,0,,0
Elastic5.6.5,2018-01-13,Closed,584,70,12,java ,10
Elastic5.6.5,2018-01-13,Closed,583,63,10,java ,10
Elastic5.6.5,2018-01-07,Closed,578,36,5,java ,5
regex support,2018-01-04,Closed,576,32,3,java ,4
es 5.6.5 support,2017-12-12,Closed,564,3,3,xml ,2
Add support for Elasticsearch 5.6.4,2017-11-20,Merged,546,11,3,md xml ,2
Elastic2.3.5,2017-10-30,Closed,539,7,2,xml java ,3
fix issue #536 How to change the order in date_histogram,2017-10-24,Closed,537,4,1,java ,2
[test]希望有机会贡献一份力量。,2017-10-24,Merged,534,1,0,,1
#529 es 5.6.3 support,2017-10-22,Closed,533,3,3,xml ,2
Correct syntax:'Beyond sql' to 'Beyond SQL',2017-10-20,Merged,530,1,1,,0
HIGHLIGHT 字段如何起别名,2018-01-03,Closed,528,"1,477",970,md xml js java ,10
Elastic2.4.6,2017-10-04,Closed,524,68,15,xml java ,11
Elastic5.6.1,2017-10-04,Closed,523,3,3,xml ,2
update,2017-10-04,Closed,522,3,3,xml ,2
Elastic5.6.2,2017-10-04,Closed,521,3,3,xml ,2
Elastic5.6.1,2017-10-04,Closed,520,3,3,xml ,2
Elastic5.6.0,2017-10-04,Closed,519,3,3,xml ,2
es 5.5.3 support,2017-10-04,Closed,518,3,3,xml ,2
Elastic2.4.6,2017-10-04,Closed,517,67,14,xml java ,11
new feature: cast,2017-10-04,Merged,514,201,0,,3
#503 es 5.5.2 support,2017-09-04,Closed,504,3,3,xml ,2
Fixbug #479,2017-08-12,Merged,491,15,2,json ,2
#485 es 5.5.1 support,2017-08-09,Closed,487,3,3,xml ,2
Elastic2.4.6,2017-08-09,Closed,486,36,7,xml java ,6
Elastic5.3.2,2017-10-04,Merged,482,240,22,json ,9
让ElasticSearchResultSetMetaDataBase可以获取到列的metadata信息,2017-08-10,Merged,481,16,3,,1
Elastic5.3.2,2017-08-04,Closed,478,224,13,,6
add getColumnCount,2017-07-21,Merged,472,6,2,,1
fix bug #469,2017-07-17,Closed,470,15,1,,1
Elastic5.5.0,2017-07-16,Closed,468,27,25,xml java ,11
es 5.4.3 support,2017-07-16,Closed,467,3,3,xml ,2
#457 es 5.4.2 support,2017-06-26,Closed,458,3,3,xml ,2
Elastic1.x,2017-06-15,Closed,449,9,13,xml java json ,5
fix bug #442,2017-06-15,Closed,448,6,10,xml java json ,5
es 5.4.1 support,2017-06-13,Closed,445,3,3,xml ,2
es 5.3.3 support,2017-06-13,Closed,444,3,3,xml ,2
Merge pull request #1 from NLPchina/master,2018-01-13,Merged,436,0,0,,0
Fix header,2017-05-29,Merged,434,1,1,,0
fix bug,2017-05-29,Merged,430,43,15,,1
Fix Beyond SQL Heading Format,2017-05-29,Merged,425,1,1,,0
Elastic2.4.5,2017-05-04,Closed,424,36,7,xml java ,6
es 5.3.2 support,2017-05-04,Closed,423,3,3,xml ,2
es 5.3.1 support for #416,2017-05-04,Closed,422,3,3,xml ,2
es 5.3.0 support for #405,2017-04-09,Closed,410,17,26,java ,5
es 5.2.2 support,2017-04-09,Closed,409,3,7,xml java ,4
es 5.2.1 support,2017-04-09,Closed,408,3,8,xml java ,3
es 5.2.0 support for #402,2017-04-09,Closed,407,14,23,xml java json ,11
README: Fix markdown,2017-05-29,Merged,399,7,5,,0
README: Fix build status heading [ci skip],2017-03-24,Merged,398,3,1,,0
Elastic2.4.4,2017-01-15,Closed,373,36,7,xml java ,6
Elastic2.4.2,2017-01-14,Closed,372,36,7,xml java ,6
update elasticsearch version to 2.4.3,2017-01-14,Merged,371,2,2,,1
Delete test indices after unit test,2017-07-18,Closed,361,26,37,,4
add param 'extended_bounds' for date_histogram,2017-10-29,Closed,359,12,4,,1
add param 'extended_bounds' for date_histogram,2017-10-29,Merged,358,5,0,,1
Elastic2.4.2,2016-12-17,Closed,352,36,7,xml java ,6
Elastic2.4.2,2016-12-17,Closed,351,31,7,xml java ,6
Elastic5.0.1,2016-12-10,Merged,344,919,615,yml xml java ,9
elastic 2.4.2 support for #341,2016-12-06,Closed,342,5,5,xml ,3
update from origin,2016-12-01,Closed,336,"12,587","12,250",java ,5
support not (fieldName = in_terms('word')) and not(fieldName = term('…,2016-11-26,Merged,332,6,2,,2
"fix bug and add function for ""case when""",2016-11-26,Merged,318,94,32,json ,7
An empty set is returned when there is no result data,2016-10-20,Merged,311,5,1,,1
fix bug in aggregation query when select has script,2016-10-20,Merged,310,70,17,json ,3
Remove ES Client.close().,2016-10-15,Merged,309,0,1,,1
fix case when issue in pr 281,2016-10-11,Merged,303,9,4,,2
"Aggregation functions work with case when, floor function.",2016-10-10,Merged,300,8,1,,2
Fix: https://github.com/NLPchina/elasticsearch-sql/issues/294,2016-10-10,Merged,299,94,19,,7
Added support to negative coordinates in WKT.,2016-09-28,Merged,295,25,2,,2
Add TCP Module,2018-11-10,Closed,288,"3,424",436,java ,8
fix issue: https://github.com/NLPchina/elasticsearch-sql/issues/280,2016-09-09,Merged,287,13,5,,2
Add new features doc in README.md,2016-09-07,Merged,284,13,0,,0
JDBC support,2016-09-07,Merged,283,"5,124",5,,1
Add case when support,2016-09-07,Merged,281,571,309,,1
function support in where condition,2016-09-02,Merged,279,704,444,,4
fix issue: https://github.com/NLPchina/elasticsearch-sql/issues/277,2016-09-02,Merged,278,146,22,,6
fix issue: https://github.com/NLPchina/elasticsearch-sql/issues/274#i…,2016-08-29,Merged,275,1,2,,1
fix issue: https://github.com/NLPchina/elasticsearch-sql/issues/258,2016-08-26,Merged,273,373,307,,2
Elastic2.3.4,2016-08-26,Closed,272,623,9,,11
fix issuse https://github.com/NLPchina/elasticsearch-sql/issues/265#i…,2016-08-25,Merged,271,126,94,,6
Master,2016-08-25,Closed,270,"3,160",861,md xml ,2
Function Support for Elasticsearch-SQL,2016-08-25,Merged,269,"3,178",936,yml md ,2
add missing and order in terms aggregation,2016-08-26,Merged,267,33,0,,2
Elastic2.3.5,2016-08-07,Closed,260,"1,415",771,xml js java ,8
Elastic2.3.1,2016-07-31,Closed,255,"1,444",776,xml js java ,8
CSV export via REST API leads to NPE -> Bugfix,2016-07-31,Closed,252,129,34,xml js java ,6
Elastic2.3.3,2016-07-16,Closed,250,"1,415",771,xml js java ,8
Elastic2.3.4,2016-07-16,Closed,249,"1,415",771,xml js java ,8
date_range增加paired参数、增加使用配置时间作为range key,2016-06-30,Merged,243,33,5,,1
Origin/elastic2.3.1 date_range增加paired参数、增加使用原始配置时间作为range key,2016-06-30,Closed,242,"1,443",775,xml js java ,8
Elastic2.3.3,2016-06-30,Closed,225,"1,415",771,xml js java ,8
String crush issue on MS Excel,2016-05-24,Merged,221,2,2,,1
Highlight with aggregations update,2016-05-13,Merged,215,4,0,,2
Elastic2.3.2,2016-05-24,Closed,208,"1,415",771,xml js java ,8
Elastic2.3.1,2016-07-21,Closed,202,"1,443",775,xml js java ,8
Children,2016-04-26,Merged,198,580,75,java ,5
Children,2016-08-25,Merged,197,"1,271",669,xml js java ,8
"When doing an aggregation with docs, added the ability to set the 'from'",2016-02-05,Merged,152,49,17,,3
I think this need precision_threshold offset.,2016-01-25,Merged,144,2,1,,1
Minor typo fix in the README.md,2015-11-16,Merged,111,1,1,,0
