Fix leak in ActivityRecyclerPool when EpoxyRecyclerView is created with a ContextWrapper,2020-01-10,Merged,906,15,2,,1
Rename ResultCallack to ResultCallback in AsyncEpoxyDiffer,2020-01-07,Merged,899,7,7,,2
Fix incorrect license attributes in POM file,2020-01-03,Merged,898,3,3,,1
Release 3.9.0,2019-12-17,Merged,894,21,6,gradle properties ,3
Vairavan add epoxy model layout view,2019-11-12,Closed,871,58,22,kt ,4
Minor documentation and variable name updates.,2019-11-11,Merged,870,12,9,,5
Remove executable bit from non-executable files,2019-11-11,Merged,864,0,0,md gradle properties xml pro java kt bat rb ,136
Update ktlint and format with new rules,2019-11-04,Merged,861,51,64,,44
Use same version for Mockito Core and Inline,2019-11-04,Merged,860,1,1,,1
Remove .idea/ folder,2019-11-01,Merged,856,7,252,name xml ,10
Update README.md to fix typo,2019-10-24,Merged,853,1,1,,0
Update Gradle plugin and wrapper,2019-10-22,Merged,848,38,8,properties jar gradlew bat ,6
Fix reading EpoxyDataBindingPattern enableDoNotHash value,2019-10-04,Merged,837,1,1,,1
Move epoxy-modelfactory tests to their own module,2019-12-17,Merged,834,202,81,gitignore xml kt java ,8
Make EpoxyRecyclerView.setItemSpacingPx() open,2019-10-21,Merged,829,1,1,,1
3.8.0 release and tools update,2019-09-16,Merged,828,197,450,md gradle java kt ,16
Fix for #818 - visibility tracking with recycling,2019-09-19,Closed,826,70,1,kt ,2
Add support for Kotlin delegation via annotated interface properties,2019-08-22,Merged,812,52,0,,3
Fix checked change crash and improve debug errors,2019-08-13,Merged,806,27,1,,2
Fix item spacing decorator,2019-07-22,Closed,784,57,184,kt ,3
Refactor EpoxyItemspacingDecorator getItemOffsets,2019-07-15,Closed,778,4,15,,1
Remove extra space in Kotlin extensions,2019-07-19,Merged,777,1,1,,1
Prepare for release 3.7.0,2019-07-01,Merged,776,4,26,md properties ,2
Add a method to request visibility check externally,2019-06-27,Merged,775,13,0,,1
Release 3.6.0,2019-06-18,Merged,768,5,1,properties ,1
Fix model click listener crashing on nested model,2019-06-18,Merged,767,158,100,kt ,3
Preloader system with glide extensions,2019-06-18,Merged,766,"1,919",50,xml gradle java ,6
Release 3.5.1,2019-06-05,Merged,753,4,1,properties ,1
Update kotlin to 1.3.31,2019-05-21,Merged,750,16,15,kt ,9
Prepare for release 3.5.0,2019-05-14,Merged,744,5,1,properties ,1
Convert EpoxyRecyclerView to Kotlin,2019-05-10,Merged,743,640,556,,1
Prevent IllegalArgumentException during EpoxyVisibilityTracker child processing,2019-05-08,Merged,742,4,1,,1
IllegalEpoxyUsage in EpoxyVisibilityTracker: Remove throws because nested visibility,2019-05-08,Merged,739,0,8,,1
Fix type differentiate in default param support,2019-04-18,Merged,732,154,18,kt properties ,4
Update reference of Butterknife plugin to latest version,2019-04-17,Merged,731,1,1,,0
Release 3.4.1,2019-04-16,Merged,730,4,2,properties ,1
Release 3.4.0,2019-04-12,Merged,728,8,1,properties ,1
OnModelCheckedChangeListener,2019-04-10,Merged,725,585,45,xml kt ,9
Extract ID generation methods to new public IdUtils class,2019-04-10,Merged,724,55,41,,2
Support kotlin default parameters,2019-04-10,Merged,722,583,294,xml kt java ,11
Reset controller state on failed model build,2019-04-02,Merged,720,18,1,,1
Disabled the auto-detach behavior on Carousels by default.,2019-02-25,Merged,688,3,0,,1
Prepare for release 3.3.0,2019-02-14,Merged,679,106,115,gradle kt java ,6
Fix model group issues,2019-02-05,Merged,676,98,44,kt ,3
Changed the section name for the timer class to be in the start method,2019-02-05,Merged,671,18,15,,4
Add comment to assignment,2019-01-31,Merged,670,3,1,,1
Prepare for release 3.2.0,2019-02-14,Closed,665,14,1,gradle properties ,3
Add Ktlint to enforce kotlin style,2019-01-15,Merged,661,"2,242","1,829",MD gradle kt ,9
Add missing nullable in EpoxyVisibilityTracker,2019-01-14,Merged,660,1,1,,1
Enable recycling of views within groups,2019-01-22,Merged,657,655,409,gradle kt java ,4
Synchronize paged epoxy controller,2019-01-22,Merged,656,111,22,kt properties ,7
Get onSwipeProgressChanged callbacks on return to original item posit…,2019-01-12,Merged,654,0,4,,1
Replace 'compile' with 'implementation' on README.,2018-12-31,Merged,649,1,1,,0
Update documentation for Kotlin sample,2018-12-29,Merged,647,1,1,,1
Add support for nested RecyclerView to EpoxyVisibilityTracker - Part 2,2019-01-14,Merged,633,391,30,xml ,3
Added a getter method for `numViewsToShowOnScreen` in Carousel,2018-12-10,Merged,632,7,0,,1
Prepare for release 3.1.0,2019-02-14,Closed,629,7,1,gradle properties ,3
Return model class from model builder extension function,2019-07-02,Closed,628,4,2,,1
Add support for nested RecyclerView to EpoxyVisibilityTracker - Part 1,2018-12-08,Merged,627,233,109,kt ,4
Upgrade KotlinPoet 1.0.0,2019-01-03,Merged,624,5,5,kt ,2
Wrong visibility when the view become not visible,2018-11-28,Merged,619,5,3,,1
Remove sudo:false from travis config,2018-11-28,Merged,617,0,2,,1
Fix paging sample,2018-11-21,Merged,615,5,7,,1
Always null out modelInterceptorCallbacks after model build,2018-11-20,Merged,613,5,3,,1
Prepare for release 3.0.0,2018-11-13,Merged,608,8,4,properties ,1
Clean up and make sample work,2018-11-13,Merged,605,224,305,xml java kt ,7
Upgrade to KotlinPoet 1.0.0-RC2,2018-11-10,Merged,604,6,11,kt ,3
Preload and Preload sample,2019-06-17,Closed,593,"1,158",1,gitignore pro xml kt ,6
Use robolectric qualifiers in EpoxyVisibilityTrackerTest to give more control on view's height,2018-10-22,Merged,590,14,4,,1
Added method to clear model cache and force a model build (#583),2019-01-08,Merged,586,35,0,,3
Prepare for 2.19.0 release,2018-10-18,Merged,582,8,1,properties ,1
Follow-up for visibility tracking : adapter data changes,2018-10-17,Merged,575,449,54,,2
Implements visibility events for EpoxyRecyclerView/EpoxyViewHolder.,2018-10-12,Merged,560,"8,717",332,java ,5
Release 2.18.0,2018-09-26,Merged,550,23,5,gradle kt xml properties ,4
Remove app_name,2018-09-20,Merged,543,3,23,,7
compile -> implementation for recent Gradle support,2018-09-18,Merged,541,1,1,,0
Add databinding option to not auto apply DoNotHash,2018-09-13,Merged,539,575,44,kt xml ,8
Fix AsyncEpoxyController constructor to correctly use boolean setting,2018-09-11,Merged,537,1,1,,1
make the padding parameter order the same as in the Android Framework,2018-10-18,Merged,536,28,28,,1
Paged list controller,2018-09-21,Merged,533,797,89,kt ,4
Prepare for release 2.17.0,2018-09-06,Merged,529,7,2,properties kt ,2
Add support for setting the Padding via resource or directly in dp,2018-09-06,Merged,528,178,85,,1
Update javapoet to 1.11.1,2018-09-05,Merged,527,1,1,,1
Strip kotlin metadata annotation from generated classes,2018-09-05,Merged,523,13,2,kt ,2
Reflect the annotations declared in constructor params,2018-09-05,Merged,519,144,4,kt ,4
Release 2.16.4 with updated async handling,2018-08-29,Merged,512,18,31,java properties ,3
Prepare for 2.16.3 release,2018-08-27,Merged,510,4,1,properties ,1
Async improvements,2018-08-25,Merged,509,162,21,gradle java ,8
Prepare for 2.16.2 release,2018-08-24,Merged,507,10,8,properties ,1
Ability to check for pending model build,2018-08-24,Merged,506,56,3,,4
Prepare for 2.16.1 release,2018-08-22,Merged,505,3,0,,0
Fix thread check in model building async tests,2018-08-22,Merged,504,7,8,properties ,2
Fallback to kotlin.Function + noinline,2018-08-23,Merged,501,52,24,gradle ,5
Update readme for automatic latest version,2018-08-08,Merged,496,4,2,,0
Prepare for 2.16.0 release,2018-08-08,Merged,493,10,5,java properties ,2
Simplify the kotlin sample,2018-09-06,Merged,492,293,211,kt ,9
[modelfactory] Make ModelProperties nullable,2018-08-02,Merged,489,19,4,kt ,3
Add non-nullable annotation to EpoxyHolder.,2018-08-01,Merged,488,8,5,,5
"[modelfactory] Enable grouped fields with different names, add support for long and @RawRes",2018-08-02,Merged,487,"1,014",201,kt ,6
Properly suppress generated code deprecation,2018-07-30,Merged,485,1,1,,1
Prepare for 2.15.0 release,2018-08-06,Merged,484,12,3,properties ,1
Call onpre and post bind methods in super classes,2018-07-30,Merged,483,265,17,kt ,5
Remove lambdas from tostring,2018-07-29,Merged,482,449,488,,1
Remove allows backups from manifests,2018-07-28,Merged,481,7,8,,8
more kotlin samples,2018-07-28,Merged,480,50,12,,1
New kotlin samples,2018-07-28,Merged,479,138,0,kt ,4
Fix generated kotlin,2018-07-28,Merged,478,819,769,gradle java kt ,13
Add reference to Litho,2018-07-26,Merged,476,1,1,,0
Prepare for 2.14.0 release,2018-06-28,Merged,460,6,3,properties ,1
Fix generated ModelViewModel_ OnModelClickListener Setter's Annotations,2018-07-27,Merged,458,12,21,java ,11
Prepare for 2.13.0 release,2018-06-19,Merged,453,18,14,java properties ,2
Fix support for wildcards in private epoxyattributes,2018-06-18,Merged,451,2,52,,4
Generate model factory methods,2018-06-27,Merged,450,"4,713",469,gradle properties xml java kt ,9
Fix Generated Kotlin Extensions Don't Adhere to Constructor Nullability,2018-06-15,Merged,449,398,383,xml ,2
Fix infinite loop in annotation processor,2018-06-14,Merged,447,25,3,kt java ,4
Update README.md,2018-06-05,Merged,444,1,1,,0
Androidx migration,2018-11-12,Merged,440,"1,053","1,217",yml md ,2
Reduce memory,2018-06-19,Merged,433,24,3,,2
Async diffing and model building,2018-08-07,Merged,425,"1,028",94,gradle ,2
Prepare for 2.12.0 release,2018-04-18,Merged,424,14,3,properties ,1
Improve public paris support,2018-04-18,Merged,422,605,164,gradle kt java ,20
Update paged list,2018-04-17,Merged,421,140,64,gradle kt ,5
Prepare for release 2.11.0,2018-04-08,Merged,419,9,3,properties ,1
"Blacklist setLifecycleOwner method in databinding field parsing, fixes #412",2018-04-08,Merged,418,65,80,gradle java xml kt properties ,22
remove lifecycleOwner setter from auto generated data binding models,2018-04-08,Closed,417,5,0,java ,2
blacklist lifecycleOwner from generated models,2018-04-08,Closed,415,14,8,,1
put setLifecycleOwner in blacklist,2018-04-02,Closed,413,1,1,,1
make isBuildingModels public,2018-03-13,Merged,406,1,1,,1
Prepare for 2.10.0 release,2018-03-07,Merged,404,7,3,properties ,1
Use equals to compare styles,2018-02-25,Merged,403,68,26,,2
#398 Custom generated view model suffix,2018-02-15,Merged,402,283,8,kt ,6
Cyclic wrapping adapter,2018-02-25,Closed,401,144,0,,1
Update paris style package,2018-02-14,Merged,399,2,2,properties ,2
