Gracefully handle HTML errors from Eureka server,2019-12-19,Merged,1265,99,10,java ,3
Disable jersey2 jsonp/moxy auto discovery,2019-12-20,Merged,1262,7,0,,2
pull,2019-11-20,Closed,1258,17,0,,1
Cleanup resources on web-app shutdown (#1207),2019-11-11,Merged,1251,143,47,,16
address cache bug with value supplier,2019-09-30,Merged,1245,114,28,,2
Fix DeserializerStringCache if value transformer is used (#1242),2019-09-30,Closed,1243,37,12,,2
Optimized CircularQueue by using ArrayBlockingQueue with constant time size implementation,2019-09-30,Merged,1237,92,34,,2
Uses HashMap if CompactHashMap is not available on classpath.,2019-09-04,Merged,1235,19,4,,2
move gain of lastDirtyTimestamp before gain of status to avoid race condition,2019-09-10,Merged,1229,1,1,,1
make AmazonInfo deserializer more robust,2019-07-16,Merged,1224,179,17,,2
Upgrades xstream to 1.4.11.1,2019-07-01,Merged,1223,2,2,,2
Put back deprecated constructor,2019-06-13,Merged,1218,9,0,,1
Update woodstox to 5.x,2019-06-12,Merged,1216,4,5,,3
Add unit tests for com.netflix.discovery.util.EurekaEntityFunctions,2019-07-08,Merged,1214,274,0,,1
add ClientFilter to HttpReplicationClient,2019-06-07,Merged,1212,5,2,,3
Enhance getHostCandidates method to avoid quarantineSet never be cleared,2019-06-21,Closed,1210,6,4,,1
move gain of lastDirtyTimestamp before gain of status to avoid race condition,2019-06-21,Closed,1198,2,1,,1
EUREKA-1149 Add injectable customizable EndpointRandomizer,2019-05-31,Merged,1194,99,40,,9
Fix: DiscoveryClient NullPointException,2019-05-30,Closed,1191,4,3,,1
Remove unused javax.mail dependency,2019-05-30,Merged,1177,0,1,,1
move gain of lastDirtyTimestamp before gain of status to avoid race condition,2019-04-23,Closed,1175,2,1,,1
update the comment,2019-05-30,Merged,1172,2,2,,1
sanitize metadata map for empty values,2019-01-11,Merged,1170,4,1,,1
Add @Override toString() in InstanceInfo,2018-12-18,Merged,1163,43,1,,2
Eureka Client doesn't respect DNS server change at runtime,2018-12-18,Merged,1157,3,5,,1
Fix-1154,2018-11-14,Closed,1156,1,1,,1
EUREKA-1154 Return 404 if instance is not found when updating metadata,2018-11-14,Merged,1155,4,4,,1
Tweak Staleness metrics,2018-11-14,Merged,1153,8,2,,1
Improved logging,2018-11-12,Merged,1152,7,4,,3
EUREKA-1149 Allow custom randomizer,2019-04-17,Closed,1151,49,67,,7
EUREKA-1146 Expose metrics for counts of instances per status,2019-09-10,Closed,1147,60,4,,1
update default server's eureka-client property,2018-10-26,Merged,1140,4,0,,1
EUREKA-1137 Add counter for congestion issues,2018-10-20,Merged,1138,6,0,,1
eureka-1134: fix for StringIndexOutOfBoundsException,2018-12-18,Merged,1135,88,5,,2
eureka-1131: handle spot instance termination,2018-10-20,Merged,1132,71,12,,5
EUREKA-1120 Move write.lock higher in stack...,2018-10-14,Merged,1126,3,3,,1
ISSUE-1124 register additionalFilters into clientConfig,2018-09-24,Merged,1125,1,1,,1
Add User-Agent when requesting information from AWS Metadata service,2018-09-17,Merged,1122,1,0,,1
defaultZone separator support container space,2018-09-02,Merged,1119,23,2,,2
Add possibility to register Eureka Server metrics to Spectator registry,2018-08-17,Closed,1114,48,2,java ,2
Add an interface for AwsAsgUtil,2018-08-06,Merged,1108,73,31,,5
EUREKA-1087 Add config parameter eureka.myUrl,2018-08-02,Merged,1107,21,0,,3
"EUREKA-1087 Add one more check for ""is this my url"", so that even whe…",2018-08-02,Closed,1101,143,12,,8
Fix 1098,2018-08-02,Merged,1100,71,7,,4
Tiny improve,2018-07-10,Merged,1097,4,4,,1
Cache capacity configurable,2018-07-10,Merged,1096,13,1,,3
Add possibility to configure expected interval between clients' renew…,2018-07-17,Merged,1093,44,19,,4
2.x,2018-07-05,Closed,1092,"70,609","26,434",md OSSMETADATA gradle codequality/HEADER java ,5
Concurrent register of custom healthcheck handler in DiscoveryClient,2018-06-25,Merged,1088,80,9,,3
one more change to relax parsing compatibility due to overiddenstatus casing change,2018-06-01,Merged,1080,2,1,,1
change overriddenstatus field name in pojo to allow for better serialization compatibility,2018-05-31,Merged,1079,39,10,,3
Fix the missing logic in method isRegisterable,2018-05-27,Closed,1077,2,0,,1
Fix the inconsistency logic in method updateRenewalThreshold().,2018-06-25,Merged,1071,737,8,,6
address dangling PR comments for PRs #976 and #1003,2018-04-25,Merged,1060,7,5,,3
update dependencies,2018-04-25,Merged,1059,12,10,,1
Fix issue #1041,2018-04-24,Merged,1058,15,4,,2
bugfixing: Eureka Proxy Setting is not working,2018-04-23,Merged,1057,2,1,,1
"update: compatible txt value format: ""host1 host2 host3""",2018-04-23,Merged,1054,8,0,,1
