try docfu 1.0.3 to hopefully fix smart_strong import error,2018-11-04,Merged,2068,1,1,,1
Call target.onload() only when defined,2018-10-13,Merged,2056,1,1,,1
feat(dnd.js): add dragEnter and dragLeave callbacks,2018-11-01,Merged,2037,13,0,jmd ,2
Clarified that callbacks are FineUploader option.,2018-06-08,Merged,2014,8,0,,2
consider Firefox when checking for Android Stock Browser,2018-10-27,Merged,2007,1,1,,1
docs(s3): fix chunked upload v4,2018-04-26,Merged,2001,1,1,,1
docs: fix Amazon S3 v4 signature guide,2018-04-24,Merged,1998,3,3,,1
Hotfix/null guards,2018-04-10,Merged,1995,19,10,json ,6
Merge master to release/6.0.0,2018-03-23,Merged,1984,"4,696","2,799",md gitignore yml LICENSE Makefile js ,10
"refactor: use native JSON.parse, drops IE7 support",2018-10-03,Merged,1983,5,28,,7
Fix reported path when file name also occurs in parent directory name(s),2018-03-02,Merged,1977,47,15,json ,4
Fix for https://github.com/FineUploader/fine-uploader/issues/1172,2018-01-27,Merged,1964,97,2,json ,4
fix(templating.js): reset caused duplicate template contents (#1945),2017-12-23,Merged,1958,6,0,,2
bloburi param in doc now matches code,2017-11-18,Merged,1950,2,2,,1
fix firefox drag area flickers,2017-11-18,Merged,1946,0,4,,1
Feature/flexible upload support,2018-03-09,Merged,1939,"1,354",201,gitignore Makefile js ,7
Double Thumbnail loading (#1936) Fix,2017-11-06,Closed,1937,1,0,,1
Add serverside encryption headers as request params,2017-11-06,Merged,1933,4,0,jmd ,2
Fixes #1930 documentation issue,2017-10-16,Merged,1932,5,5,,1
flexible upload support,2017-11-08,Closed,1917,"1,318",198,gitignore Makefile js ,7
Flexible upload workflow support,2017-09-12,Closed,1916,156,78,js json ,11
fix(templating): correctly handle tables,2017-11-06,Merged,1903,144,8,,2
Allow option to send chunking specific params as custom header params…,2017-11-06,Closed,1892,119,36,js ts jmd ,12
Updated version number for next relaese,2017-07-27,Merged,1891,2,2,json ,2
"Revert ""Updated Typescript to support canonical imports""",2017-07-26,Closed,1890,"2,540","2,757",,0
fixed - removing console error target.onload() for while img preview,2017-09-20,Closed,1883,1,1,,1
"remove redundant code, `fileId` is unused",2017-07-15,Closed,1874,1,2,,1
