Catch undefined with 0,2019-08-13,Merged,2073,6,6,,1
code changes to fix issue #1522,2019-07-22,Closed,2072,9,2,,1
Issue #2064: Bootstrap psirt update,2019-03-27,Merged,2066,10,2,json ,2
Issue #2064 - Bootstrap PSIRT,2019-03-26,Closed,2065,673,289,json css zip js ,6
W-5234018 - Fix XSS vulnerability in email admin screen,2018-08-01,Merged,2049,4,1,js ,2
Prevent infinite scroll from fetching all pages,2018-04-17,Merged,2039,5,0,,1
move eslint packages to dev deps. fixes #2035,2018-02-19,Merged,2036,"3,928",566,,0
Fix an infinite scroll bug,2018-01-31,Merged,2034,6,4,,1
Infinite Scroll: Keep fetching until repeater needs to scroll,2018-01-30,Merged,2033,21,1,,3
Update jquery to the latest version 🚀,2018-02-19,Merged,2031,0,0,,0
Update bootstrap to the latest version 🚀,2018-02-19,Closed,2030,1,1,,1
Update grunt-umd to the latest version 🚀,2018-02-19,Merged,2027,1,1,,1
Prevents pillbox double insert in IE 11/Edge 14,2017-10-24,Merged,2023,1,1,,1
release 3.16.2,2017-10-10,Closed,2020,10,10,css zip js json ,6
Points main property in package.json to correct file,2017-10-05,Merged,2018,1,1,,1
Update babel-eslint to the latest version 🚀,2018-02-19,Closed,2014,1,1,,1
Fix keydown event listener scope in tree,2017-09-11,Closed,2012,36,0,,2
adds polyfill for Event for IE,2017-06-28,Merged,2002,16,1,,2
Gh1994   keyboard navigation of open empty folder in tree should work as expected,2017-06-28,Merged,2000,306,136,js ,9
Update eslint to the latest version 🚀,2017-06-27,Merged,1999,1,1,,1
adds initialized.fu.tree event. Adds static datasource consumer to tr…,2017-06-27,Merged,1998,489,8,,2
Ch1972   add accessibility check for checkbox and radio,2017-06-28,Merged,1996,916,884,,7
adds tabindex to checkbox and radio,2017-06-20,Closed,1995,322,363,hbs ,14
upgrades to npm 5 and runs npm install,2017-06-15,Merged,1992,"6,295",0,,0
Update dependencies to enable Greenkeeper 🌴,2017-06-09,Merged,1991,7,5,json ,1
Adds visual regression testing to Fuel UX,2017-06-14,Merged,1990,"13,225",92,css zip js html json ,14
Adds section for commonjs support,2017-06-07,Merged,1989,34,0,,1
Add npm cjs file back,2017-06-05,Merged,1988,23,0,,1
update npm script to match standards,2017-06-07,Merged,1987,2,1,,1
Makes tree accessible,2017-06-15,Merged,1984,"1,406",608,html ,3
add repeater security notes,2017-05-31,Merged,1981,24,2,html ,2
refactor `cleanInput` utility method  to prevent double encoding,2017-06-19,Merged,1980,54,9,json ,4
Update grunt-contrib-uglify to version 3.0.1 🚀,2017-06-09,Closed,1979,0,0,,0
Update grunt-contrib-compress to version 1.4.3 🚀,2017-06-09,Closed,1978,0,0,,0
Update grunt-contrib-compress to version 1.4.2 🚀,2017-06-09,Closed,1977,0,0,,0
Clean repeater list extension row content of XSS (fix #1973),2017-05-22,Closed,1974,162,12,,6
Update connect to version 3.6.2 🚀,2017-06-09,Closed,1971,0,0,,0
Update serve-static to version 1.12.3 🚀,2017-06-09,Merged,1970,0,0,,0
Update grunt-contrib-uglify to version 3.0.0 🚀,2017-06-09,Closed,1969,0,0,,0
update 3.16.0,2017-05-10,Closed,1968,29,15,js less hbs ,7
chore(package): update grunt-cli to version 1.2.0,2017-05-03,Merged,1967,1,1,,1
update spinbox unit testing changed event for setValue to be async,2017-05-03,Merged,1966,2,0,,1
Update serve-static to version 1.12.2 🚀,2017-05-03,Merged,1965,1,1,,1
Update connect to version 3.6.1 🚀,2017-05-03,Merged,1962,1,1,,1
Repair travis qunit,2017-04-19,Merged,1961,5,7,js ,2
Make spinbox trigger changed after setValue,2017-05-03,Merged,1960,28,5,,2
add validation support to templates,2017-04-26,Merged,1959,52,35,js less hbs ,17
Update grunt-contrib-clean to version 1.1.0 🚀,2017-05-03,Merged,1958,1,1,,1
Update grunt-contrib-uglify to version 2.3.0 🚀,2017-05-03,Merged,1955,0,0,,0
Update grunt-contrib-qunit to version 2.0.0 🚀,2017-05-03,Merged,1954,1,1,,1
Fix a few small typos,2017-04-08,Merged,1953,3,3,less ,3
Update grunt-contrib-uglify to version 2.2.1 🚀,2017-05-03,Closed,1951,1,1,,1
Update moment to version 2.18.1 🚀,2017-03-27,Merged,1949,1,1,,1
Update jquery to version 3.2.1 🚀,2017-03-27,Merged,1948,1,1,,1
Update moment to version 2.18.0 🚀,2017-03-27,Closed,1947,1,1,,1
[Repeater] Set height properly on repeater resize,2017-03-27,Merged,1946,46,0,,2
Update jquery to version 3.2.0 🚀,2017-03-27,Closed,1945,1,1,,1
Update grunt-contrib-less to version 1.4.1 🚀,2017-03-27,Merged,1942,1,1,,1
serve-static module dependency and references removed,2017-03-27,Closed,1941,1,19,js ,3
Update grunt-contrib-uglify to version 2.2.0 🚀,2017-03-06,Merged,1940,1,1,,1
Update serve-static to version 1.12.0 🚀,2017-03-27,Merged,1939,1,1,,1
Update connect to version 3.6.0 🚀,2017-03-06,Merged,1938,1,1,,1
Update connect to version 3.5.1 🚀,2017-03-06,Closed,1936,1,1,,1
Update grunt-contrib-uglify to version 2.1.0 🚀,2017-03-06,Closed,1935,1,1,,1
Update grunt-contrib-qunit to version 1.3.0 🚀,2017-03-07,Merged,1934,1,1,,1
gh-pages/document radio events. fixes #1924,2017-03-07,Merged,1933,34,0,,1
gh-pages/update placard cancelled events. fixes #1931,2017-03-07,Merged,1932,1,1,,1
"[Tree, Repeater]: Fixed some issue in RTL direction",2017-03-07,Closed,1930,29,15,js less hbs ,7
Update serve-static to version 1.11.2 🚀,2017-03-27,Closed,1929,1,1,,1
Update grunt-contrib-compress to version 1.4.1 🚀,2017-03-07,Merged,1928,1,1,,1
Update grunt-contrib-compress to version 1.4.0 🚀,2017-03-07,Closed,1927,1,1,,1
Add background size to infinite scroll loader,2017-01-19,Closed,1926,2,1,,1
[Pillbox]: Fixed no binding suggested.fu.pillbox when load fuelux in html head section,2017-01-16,Merged,1925,3,3,,2
replace java based html linter grunt-html w/ node linter grunt-htmllint,2017-01-11,Merged,1922,"2,526","2,463",yml js ,3
chore(package): update grunt-html to version 8.2.0,2017-01-16,Closed,1921,0,0,,0
"Revert ""Update grunt-html to version 8.1.0 🚀""",2017-01-10,Merged,1919,1,1,,1
travis config needs java 8 for html lint,2017-01-10,Merged,1918,4,0,,1
Update grunt-html to version 8.2.0 🚀,2017-01-16,Closed,1917,1,1,,1
[Pillbox]: Fixed no binding suggested.fu.pillbox when load fuelux in html head section,2017-01-16,Closed,1915,917,917,,1
Adds style for Loader graphic to respect boundaries,2016-12-21,Merged,1914,1,0,,1
"better commonjs test (clean dist, consistent test)",2016-12-15,Merged,1910,15,31,js ,5
"W-3550658: Set focus on input and create pill from ""uncommitted"" text",2016-12-12,Merged,1908,30,11,,3
Datepicker w/ Moment parseDate parsing strings results in good date object not `Invalid Date`,2016-12-10,Merged,1907,30,6,,4
Update moment to version 2.17.1 🚀,2017-01-10,Merged,1905,1,1,,1
Update grunt-contrib-jshint to version 1.1.0 🚀,2017-01-16,Merged,1903,1,1,,1
Update moment to version 2.17.0 🚀,2017-01-10,Closed,1902,1,1,,1
Update grunt-html to version 8.1.0 🚀,2017-01-10,Merged,1901,1,1,,1
Update grunt-umd to version 2.4.0 🚀,2017-01-10,Merged,1899,1,1,,1
Update moment to version 2.16.0 🚀,2017-01-10,Closed,1897,1,1,,1
Update bower to version 1.8.0 🚀,2016-11-08,Merged,1896,1,1,,1
updates to qunit 2,2016-11-04,Merged,1894,"4,431","4,537",js json css map zip hbs ,15
Update README.md,2016-11-02,Merged,1893,1,1,,0
Replaces JS loader with SVG. Stubs out old JS methods,2016-10-26,Merged,1890,8,203,js less ,5
(GH1887) adds ability to accomodate secondary text in template for wizard,2016-10-25,Merged,1888,83,1,js less hbs ,4
Update moment to version 2.15.2 🚀,2016-10-26,Merged,1886,1,1,,1
Update node engine dependency,2016-10-27,Merged,1885,1,1,,1
Script to update Fuel UX dependent projects,2016-10-18,Closed,1882,225,19,json js ,2
cleans up code from recent PR #1879,2016-10-11,Merged,1880,5,7,,1
Wizard should not fire stepclicked on content elements,2016-10-10,Merged,1879,30,4,html ,3
Wizard should not fire stepclicked on content elements,2016-10-01,Closed,1878,31,5,html ,3
Update eslint-plugin-requirejs to version 3.0.0 🚀,2016-10-26,Merged,1875,1,1,,1
Update grunt-shell to version 2.0.0 🚀,2016-10-27,Merged,1874,1,1,,1
updating travis-ci scripts and node requirements,2016-09-23,Merged,1873,37,47,js md json ,6
Update jquery to version 3.1.1 🚀,2016-09-23,Merged,1872,1,1,,1
Makes saucelabs key a function to conform with grunt-saucelabs v3.0.0,2016-09-22,Merged,1871,9,5,,1
Provides data object to repeater render callbacks,2016-09-22,Merged,1869,51,2,,2
Update moment to version 2.15.1 🚀,2016-09-22,Merged,1868,1,1,,1
Update moment to version 2.15.0 🚀,2016-09-22,Closed,1866,1,1,,1
eslint@3.5.0 breaks build ⚠️,2016-09-23,Merged,1865,1,1,,1
Update connect to version 3.5.0 🚀,2016-09-22,Merged,1864,1,1,,1
Attaches row to DOM after all columns have been added,2016-09-13,Merged,1863,"1,154",842,js ,3
Changed the path to the latest version to the correct one.,2016-08-22,Merged,1857,1,1,,0
[ABSETUP-538] Adds cleanInput method which URI Encodes `<` by default,2016-08-22,Merged,1856,346,253,js html ,5
Update grunt-shell to version 1.3.1 🚀,2016-08-26,Merged,1854,1,1,,1
Update load-grunt-tasks to version 3.5.2 🚀,2016-08-26,Merged,1853,1,1,,1
Update grunt-contrib-less to version 1.4.0 🚀,2016-09-22,Merged,1851,1,1,,1
Adds list_renderRowAfterColumns option,2016-09-08,Closed,1850,9,2,,1
Update bootstrap to version 3.3.7 🚀,2016-09-22,Merged,1849,1,1,,1
Update qunitjs to version 2.0.1 🚀,2016-08-26,Closed,1848,1,1,,1
Update repeater header checkbox to use correct markup,2016-07-21,Merged,1847,17,2,less ,2
Update grunt-contrib-uglify to version 2.0.0 🚀,2016-09-22,Merged,1846,1,1,,1
Update grunt-contrib-uglify to version 1.0.2 🚀,2016-08-22,Closed,1845,1,1,,1
Update semver to version 5.3.0 🚀,2016-08-26,Merged,1844,1,1,,1
Update jquery to version 3.1.0 🚀,2016-08-26,Closed,1842,1,1,,1
Update grunt-saucelabs to version 9.0.0 🚀,2016-09-22,Merged,1840,1,1,,1
Update moment to version 2.14.1 🚀,2016-09-22,Closed,1838,1,1,,1
Update moment to version 2.14.0 🚀,2016-08-22,Closed,1837,1,1,,1
Update grunt-saucelabs to version 8.6.3 🚀,2016-08-22,Closed,1836,1,1,,1
Update grunt-html to version 8.0.2 🚀,2016-08-26,Closed,1835,1,1,,1
Update grunt-jsbeautifier to version 0.2.13 🚀,2016-08-26,Merged,1834,1,1,,1
Update semver to version 5.2.0 🚀,2016-08-22,Closed,1833,1,1,,1
Update grunt-html to version 8.0.1 🚀,2016-08-22,Closed,1832,1,1,,1
Update semver to version 5.1.1 🚀,2016-08-22,Closed,1830,1,1,,1
Update grunt-html to version 8.0.0 🚀,2016-08-22,Closed,1828,1,1,,1
Update grunt-html to version 7.1.0 🚀,2016-08-22,Closed,1826,1,1,,1
Update qunitjs to version 2.0.0 🚀,2016-08-22,Closed,1825,1,1,,1
