fix: explicitly exclude trailing comma from link,2020-01-07,Merged,982,1,1,,0
Add Link to Sample Project with GQLGen and Postgres,2020-01-06,Merged,974,1,0,,0
Fix extra trimspace on nillable Unmarshals,2020-01-06,Merged,970,1,1,,1
docs: typo in code on the getting start page,2020-01-06,Closed,967,2,2,,0
fix apq status,2019-12-19,Closed,948,23,11,,2
always return OperationContext for postpone process,2019-11-28,Merged,947,25,5,,3
add skip_validation flag,2019-11-28,Merged,942,8,2,md ,2
shortcut QualifyPackagePath in go module mode,2019-11-28,Merged,941,24,4,,2
make model generation optional,2019-11-28,Merged,940,23,13,md ,2
(docs) graph-gophers now supports Struct Field resolving,2019-11-26,Merged,939,1,1,,0
modelgen hook docs fixed,2019-11-25,Merged,938,2,2,,0
Don't crash when interface resolver returns a typed nil,2019-11-28,Merged,929,580,0,,1
Bind to embedded interface,2019-11-11,Merged,927,746,72,graphql ,4
various performance optimizations,2019-11-28,Closed,926,119,62,,9
Update to gqlparser-1.2.0,2019-11-07,Merged,923,4,11,mod sum ,3
Fixes #843: Bind to embedded struct method or field,2019-11-11,Merged,919,492,57,graphql ,5
"docs: Fix typo in title of ""Resolvers""",2019-11-03,Merged,917,1,1,,0
3->4 scalars,2019-11-03,Merged,916,1,1,,0
fix #860 directive arg name keyword is not converted,2019-10-28,Merged,907,1,1,,1
Minor Documentation Tweaks,2019-11-01,Merged,904,82,60,,0
Add support for int64 IDs,2019-10-18,Merged,902,49,0,,2
Update UniquenessKey for when Element is/isn't nullable (#896),2019-11-11,Merged,900,649,302,graphql ,8
Fixes #898: Retain case of field overrides,2020-01-03,Closed,899,"3,186",10,yml graphql sum gotpl ,13
Add possibility to hook into modelgen plugin,2019-11-11,Merged,897,139,16,go ,3
Improve enum value (with vars) validation timing,2019-11-12,Merged,894,256,0,go ,7
fix init not use custom schema filename,2019-10-14,Merged,889,1,0,,1
Refactor handler package,2019-11-28,Merged,885,"8,394","9,145",go gotpl ,8
Gracefully handle invalid types from invalid go packages,2019-09-30,Merged,883,56,10,,5
Use autobinding in testserver,2019-09-30,Merged,882,40,100,go yml ,8
Fixed broken GitHub link within the APQ page,2019-09-30,Merged,879,1,1,,0
Fix websocket connections on test client,2019-09-25,Merged,877,2,5,,1
Fix client global options,2019-09-24,Merged,875,14,1,,2
Add config option to omit pointers to slice elements,2019-09-24,Merged,874,74,9,md ,3
Allow prefixes when using autobind,2019-09-24,Merged,872,25,4,md yml ,2
Call middleware and directives for subscriptions,2019-09-24,Merged,871,684,141,go gotpl graphql ,5
Allow changing context in websocket init func,2019-09-24,Merged,870,82,30,go ,4
fixes shareable link button in playground,2019-09-24,Merged,862,2,1,,1
Refactor test client,2019-09-17,Merged,861,323,281,,4
Hotfix/857,2019-09-17,Closed,859,40,1,,2
Add support for additional headers in client,2019-09-11,Closed,858,40,1,,2
Fix for nested fields backed by map or interface,2019-09-24,Merged,854,178,8,graphql ,8
Added graphiql handler,2019-09-16,Closed,853,85,0,,1
Apollo Federation MVP,2020-01-07,Merged,851,"2,100","1,595",,4
Pool goroutines,2019-10-25,Closed,841,549,488,,1
refactor unimplemented directive handling,2019-08-19,Merged,839,174,0,graphql go ,6
fix directives return nil handling,2019-08-19,Merged,838,294,91,graphql go ,3
Update directives.gotpl Fix for issue #785,2019-08-15,Closed,834,2,2,,1
adding requestHeaders to the websocket client,2019-09-16,Closed,832,12,11,,3
