Show images from chooser choices with their original colors,2020-01-11,Merged,2287,2,2,,2
[DISCUSSION] Created FUNDING.yml,2020-01-08,Closed,2281,1,0,,1
[READY] Added hs.relaunch(),2020-01-08,Merged,2279,14,0,,1
[REVIEW] Added hs.random(),2019-12-23,Closed,2264,43,0,,1
[REVIEW] Exposed cache controls to hs.http.doAsyncRequest/doRequest,2019-12-23,Merged,2263,33,9,,1
[REVIEW] Added hs.window.timeout(),2019-12-23,Merged,2252,30,0,,1
Added Homebrew install,2019-11-29,Merged,2247,4,0,,0
[REVIEW] Added additional test globals to .luacheckrc,2019-11-29,Merged,2239,46,6,,1
[REVIEW] adds hs.screen:setOrigin() method,2019-11-29,Merged,2237,71,8,lua ,3
[REVIEW] Fixed crash in hs.application:getMenus(),2019-11-16,Closed,2233,17,12,,1
Update itunes extension to support Catalina's Music app,2019-12-23,Merged,2232,7,2,,1
[READY] Added an optional callback function to hs.image.imageFromURL,2019-11-01,Closed,2227,21,5,,1
[READY] Added hs.plist.readString(),2019-12-23,Merged,2226,32,0,,1
[NEED HELP] Fixed potential crash in hs.application:getMenuItems(),2019-11-07,Closed,2225,7,5,,1
[NEED HELP] Disabled allowsVibrancy in hs.chooser,2019-11-16,Closed,2212,4,4,,4
Updated to support Catalina Music.app,2019-12-23,Closed,2207,342,0,lua sh ,3
[READY] Fixed potential crash in hs.chooser's cancel function,2019-10-03,Closed,2195,8,0,,1
[REVIEW] Update build number before compile,2019-10-03,Merged,2191,15,9,plist ,2
[READY] hs.updateAvailable() now returns the display version and build number,2019-09-22,Merged,2190,12,5,m ,3
hs.expose: check for nil in windowUnfocused,2019-09-22,Merged,2184,5,2,,1
[READY] Added hs.json.write() & hs.json.read(),2019-10-03,Merged,2182,115,0,,1
"Fix hs.chooser placeholderText, minor fixes",2019-09-22,Merged,2181,12,17,,3
[READY] Added hs.host.locale.localizedString(),2019-09-22,Merged,2174,61,8,,1
[READY] Added ability to check for camera & microphone access,2019-09-22,Merged,2172,125,0,m ,2
[READY] Fixed hs.fs.pathFromBookmark() from freezing when bookmarks are stale network shares,2019-09-22,Merged,2171,7,4,,1
Update init.lua,2019-09-22,Closed,2168,1,1,,1
[READY] add hs.bonjour module,2019-09-22,Merged,2165,"2,131",0,,0
[READY] hs.doc speedify,2019-09-22,Closed,2159,"1,171",504,h m lua ,5
[READY] Added hs.mouse.names(),2019-09-22,Merged,2158,32,0,,1
remove check for docs.json file for IPC,2019-08-29,Closed,2156,3,11,,2
[READY] skip unknown warnings during xcode10 build,2019-09-22,Merged,2155,2,0,,1
