CheckCommand ssl: s/-N/--sni/,2020-01-08,Merged,7741,1,1,,1
cope with OS which don't fill in si_pid in siginfo,2020-01-08,Merged,7739,4,4,,1
IcingaDB - Runtime updates: Use one pub/sub channel per config object type,2020-01-07,Merged,7738,35,36,,1
Revert NotificationResult,2020-01-09,Merged,7737,37,183,cpp hpp txt ti ,16
IcingaDB: suppress state sync until config sync finished,2020-01-08,Merged,7721,42,1,hpp ,4
RedisConnection: replace std::shared_ptr<T> with Shared<T>::Ptr,2019-12-18,Merged,7717,14,12,hpp ,2
RedisConnection: shorten log messages,2019-12-18,Merged,7716,5,1,,1
Document RedisConnection,2019-12-18,Merged,7715,151,1,hpp ,2
Boost Coroutines: Increase the default stack size from 64 to 256KB,2019-12-13,Merged,7713,4,1,,1
JSON: Update to nlohmann/json 3.7.3,2019-12-13,Merged,7712,"12,571","10,102",,0
IcingaDB: update icinga:nextupdate:* on Checkable#next_check changes,2019-12-10,Merged,7708,11,0,hpp ,2
Fix notification scripts to stay compatible with Dash,2019-12-10,Merged,7706,16,62,,2
IcingaDB history: Add cancelled_by & removed_by to downtime & comment history,2019-12-09,Merged,7702,5,2,,1
Fix bash line continuation in mail-host-notification.sh,2019-12-09,Merged,7701,1,1,,1
IcingaDB: don't hash hashes,2019-12-10,Merged,7700,59,29,hpp ,3
Get rid of IcingaDB#CalculateCheckSum*(),2019-12-06,Merged,7699,21,62,hpp ,3
Metrics: Always send '0' as value for thresholds,2019-12-06,Merged,7696,21,21,,5
Refuse acking an already acked checkable,2019-12-09,Merged,7695,57,1,cpp ,4
IcingaDB: Add timestamp to stats stream,2019-12-05,Merged,7694,1,0,,1
IcingaDB: Remove unnecessary service_/host_ids,2019-12-05,Merged,7693,2,5,,1
"IcingaDB: include consistent IDs, start time and end time in icinga:history:stream:{flapping,acknowledgement}",2019-12-10,Merged,7690,109,56,hpp ti ,10
Fix open connections when agent waits for CA approval,2019-12-09,Merged,7686,2,0,,1
Checkable#GetProblem(): consider PENDING not a problem,2019-12-03,Merged,7685,3,1,,1
IcingaDB: update service state on Host#problem change,2019-12-04,Merged,7684,24,4,hpp ,4
Documentation: Some small typo fixes,2019-12-03,Merged,7682,3,3,,0
Improve error message for POST queries,2019-12-03,Merged,7681,2,1,,1
IcingaDB#PublishStats(): make icinga:stats a stream,2019-12-03,Merged,7678,30,2,,1
IcingaDB#SendAddedComment(): suppress ack comments,2019-12-02,Merged,7677,1,1,,1
IcingaDB#GetStats(): add endpoint_id to IcingaApplication,2019-12-06,Merged,7676,9,0,,1
IcingaDB: Remove unused checksums,2019-12-02,Merged,7674,0,44,,1
IcingaApplication#StatsFunc(): tell whether the instance is_part_of_a_cluster,2019-12-02,Closed,7670,2,0,,1
IcingaDB: Add notification recipients,2019-12-04,Merged,7669,25,1,,1
Fix TLS context copies in ApiListener,2019-12-02,Merged,7668,4,8,,1
IcingaDB: populate icinga:history:stream:acknowledgement,2019-12-05,Merged,7667,149,17,hpp ,11
Docs: clarify CRITICAL vs. UNKNOWN,2019-12-02,Merged,7665,1,1,,0
Docs: explicitly explain how to disable freshness checks,2019-12-02,Merged,7664,1,1,,0
IcingaDB: populate icinga:nextupdate:*,2019-12-03,Merged,7662,136,55,hpp ,3
RedisConnection: introduce extensible priorities,2019-12-03,Merged,7661,64,55,hpp ,5
"IcingaDB: get rid of icinga:{subscription,event}*",2019-12-02,Merged,7660,0,144,hpp ,2
Notification_history: Rename event_time to send_time,2019-11-27,Merged,7659,1,1,,1
IcingaDB: always set *#host_id,2019-11-27,Merged,7657,29,20,,1
"IcingaDB: don't always set icinga:config:*command:{argument,envvar}#value",2019-12-03,Merged,7656,18,2,,1
CommentType: remove unused variants,2019-11-26,Merged,7655,0,2,,1
Fix TLS context not being updated on signed certificate messages on agents,2019-11-27,Merged,7654,1,1,,1
IcingaDB: don't always set Comment#expire_time,2019-12-02,Merged,7653,24,3,,1
"IcingaDB#SendStatusUpdate(): don't always set icinga:history:stream:state#{,long_}output",2019-11-27,Merged,7652,13,17,,1
IcingaDB#SendStatusUpdate(): avoid CheckResult::Ptr(nullptr)->GetCheckSource(),2019-11-26,Merged,7651,5,1,,1
Fix notification scripts string comparison,2019-11-22,Merged,7647,2,2,,2
/v1/actions/remove-comment: let users specify themselves,2019-11-26,Merged,7646,34,7,cpp hpp ti ,5
/v1/actions/remove-downtime: let users specify themselves,2019-11-26,Merged,7645,19,2,cpp ti ,3
IcingaDB: handle Redis restarts,2019-11-26,Merged,7643,49,23,hpp ,2
IcingaDB: Update Redis port to use Icinga-Redis,2019-11-21,Merged,7641,4,4,conf ti ,2
Docs: Update installation for RHEL/CentOS 8 and SLES 15,2019-11-20,Merged,7640,172,106,,0
"DSL: Add get_template{,s}",2019-11-15,Merged,7632,108,0,cpp hpp ,2
IcingaDB: Remove redundant last_{hard/soft}_state,2019-11-14,Merged,7626,2,7,,1
IcingaDB: Fix state on unchecked objects,2019-11-11,Merged,7616,19,10,,1
IcingaDB: Add user notification history,2019-11-08,Merged,7611,31,8,hpp ,2
IcingaDB: avoid duplicates in icinga:history:stream:downtime,2019-11-12,Merged,7608,1,3,,1
Main(): don't call Process::InitializeSpawnHelper(),2019-11-13,Merged,7606,0,2,,1
"IcingaDB: correct icinga:history:stream:state#{,last_}soft_state and icinga:history:stream:notification#state for hosts",2019-11-04,Merged,7605,3,3,,1
IcingaDB#SendStatusUpdate(): add icinga:history:stream:state#previous_soft_state,2019-11-04,Merged,7604,14,6,ti ,3
Powershell example to validate the certificate,2019-11-07,Merged,7603,99,31,,0
Add extended checks options to snmp-interface command template,2019-11-15,Merged,7602,6,0,conf ,1
Add IcingaDB,2019-11-02,Merged,7601,"3,581",59,md conf cpp hpp ti ,7
"I like to move it, move it",2019-10-31,Merged,7593,28,27,,1
Docs: Add the link from object type joins to URL endpoints,2019-10-25,Merged,7591,2,1,,0
Clarify the installation of EPEL repository on CentOS vs RHEL,2019-10-24,Merged,7589,10,2,,0
Docs: Add upgrading notes for 2.11.x bugfix releases,2019-10-24,Merged,7588,23,0,,0
Cluster Config Sync: Check the timestamp prior to config file checksums for changes,2019-10-22,Merged,7584,58,40,,1
Minor doc fix,2019-10-22,Merged,7583,1,1,,0
Align the docs with GitHub details on Zone Inception,2019-10-17,Merged,7578,56,14,,0
MacroProcessor::ResolveArguments(): skip null argument values,2019-11-15,Merged,7567,2,0,,1
doc typo: path to error.log,2019-10-08,Merged,7564,1,1,,0
Performing a reload might result in zombie processes,2019-11-13,Closed,7561,85,8,hpp ,6
Avoid syncing .authorititative marker received from < 2.11 parent nodes,2019-10-17,Merged,7552,4,0,,1
DaemonUtility#ValidateConfigFiles(): re-try unknown zones once they may have become known,2019-10-31,Merged,7546,56,13,,1
Zone#OnAllConfigLoaded(): warn on zones in zones,2019-11-02,Closed,7545,10,0,,1
Avoid loading the authoritative marker for syncs at all cost,2019-10-17,Merged,7544,4,0,,1
Docs: Fix URL for memcached ITL CheckCommand,2019-09-27,Merged,7543,4,2,,0
"Config lexer: complain on EOF in heredocs, i.e. {{{abc<EOF>",2019-10-22,Merged,7541,4,0,,1
Add file age check for Windows command definition,2019-12-03,Merged,7540,43,0,conf ,1
Dependency#OnAllConfigLoaded(): don't link *this with the child if *this is going to be dropped,2019-09-25,Merged,7538,1,2,,1
API /v1/config/stages 'activate' parameter,2019-11-15,Merged,7535,32,14,cpp hpp ,3
Introduce Checkable#next_update,2019-09-25,Merged,7534,19,0,cpp hpp ti ,3
WarnOnImplicitlySetGlobalVar(): warn only on sins inside actual DSL code,2019-09-25,Merged,7529,1,1,,1
"API: Handle permission exceptions soon enough, returning 404",2019-11-15,Merged,7528,15,4,,1
Improve error message/docs for command endpoints requiring a zone,2019-09-23,Merged,7527,12,3,cpp ,2
"Docs: Add upgrading/troubleshooting details for repos, config sync, agents",2019-09-23,Merged,7526,199,7,,0
Fix spelling error,2019-09-20,Merged,7518,1,1,,0
Update README.md,2019-09-19,Closed,7508,1,1,,0
CSR Auto-signing: Add debug logging for skipped signing,2019-09-18,Merged,7507,22,4,,1
Docs: Update product URLs and missing bits,2019-09-17,Merged,7504,139,92,,0
API: Add AES128-GCM-SHA256 compatible cipher for el6,2019-09-16,Merged,7503,3,3,ti ,1
Docs: Update debugging instructions for 2.11,2019-09-16,Merged,7502,15,11,,0
Docu fix,2019-09-13,Merged,7496,3,3,,0
Revert: Always reset Boost beast buffer in HttpServerConnection#ProcessMessages #7476,2019-09-12,Merged,7495,5,4,,1
Introduce IoEngine::SpawnCoroutine wrapping asio::spawn and Boost exceptions,2019-09-09,Merged,7491,92,13,cpp ,4
Quality: Replace deprecated Boost IO service code,2019-09-09,Merged,7490,52,51,hpp ,18
API: Avoid I/O on shutdown,2019-09-09,Merged,7487,41,19,,2
Rewrite error handling in HttpServerConnection#EnsureValidHeaders(),2019-09-09,Merged,7486,18,24,,1
Avoid the Defer-Disconnect destructor pattern with Boost.Coroutines,2019-09-09,Merged,7485,10,7,,3
Windows: Workaround for MSVC stdlib and coroutines with Boost Beast calls,2019-09-09,Closed,7484,7,0,,1
JsonRpcConnection: Don't swallow exceptions in Boost.Coroutine,2019-09-09,Merged,7483,21,12,,2
Add summarized performance data to check_network,2019-09-09,Merged,7481,1,0,,1
Dev Docs: Update Windows to Visual Studio 2019,2019-09-12,Merged,7480,172,131,,0
Build: Add Powershell script for development config for building Windows debug packages,2019-09-06,Merged,7479,68,0,,1
