Update changelog for cache location change,2020-01-09,Merged,2225,17,0,,0
Bump min gradle version to 5.1 and fix deprecation warnings,2020-01-07,Merged,2219,24,24,properties examples/helloworld/gradlew bat examples/java-agent/gradlew examples/micronaut/gradlew examples/multi-module/gradlew examples/spring-boot/gradlew examples/vertx/gradlew md java ,28
"Change base image cache location on mac/windows, add methods for getting XDG config location",2020-01-09,Merged,2218,328,200,,5
"Do not fail when ""urls"" field is present in manifest JSON",2020-01-07,Merged,2217,75,0,json ,3
Update faq for class not found / method not found,2020-01-09,Merged,2213,21,1,,0
Add method for retrieving XDG config directory,2020-01-07,Closed,2211,329,198,,4
Require Gradle 5.0 or higher,2020-01-07,Merged,2210,7,7,properties gradle md java ,11
"Support ""warName"" property of maven-war-plugin",2020-01-03,Merged,2208,75,2,java ,2
mockito 3.2.4,2020-01-02,Merged,2204,1,1,,1
"Upgrade Google HTTP Client, resolving issue with Red Hat OpenShift and Quay registries",2019-12-18,Merged,2201,21,39,md java ,8
Display where Jib got credentials for base and target images,2019-12-18,Merged,2200,45,24,,6
Minor cleanups,2019-12-11,Merged,2196,15,25,gradle ,7
Use a different marker so we don't clash with other jib json outputs,2019-12-18,Merged,2192,5,4,,4
Fix Kokoro Ubuntu,2019-12-05,Merged,2191,1,0,,1
Use correct configuration for Skaffold dependencies,2019-12-05,Merged,2188,7,2,,1
Fix Gradle README,2019-12-05,Merged,2187,1,1,,0
Fix Kokoro MacOS,2019-12-05,Merged,2186,14,10,,2
Add Cloud Run button on example Maven projects,2019-12-05,Merged,2185,17,5,java ,2
Build correct OCI tars,2019-12-05,Merged,2181,350,51,java ,13
remove draft heading,2019-12-02,Merged,2180,1,1,,0
Detect bootJar task (Spring Boot fat JAR) and enable jar task to use the thin JAR,2019-12-06,Merged,2178,187,28,java gradle ,12
Fix typo,2019-11-25,Merged,2177,1,1,,1
Use ConsoleLogger instead of native Gradle logger,2019-11-25,Merged,2176,16,5,,3
Minor fixes,2019-11-22,Merged,2171,4,2,md ,1
Detect Spring Boot fat-JAR repackaging and use original thin JAR,2019-12-04,Merged,2170,519,106,java ,2
Missing underscore in FAQ for USE_CURRENT_TIMESTAMP,2019-11-21,Merged,2169,1,1,,0
Small cleanup,2019-11-20,Merged,2167,12,15,,1
Update ISSUE_TEMPLATE.md,2019-11-19,Merged,2164,2,2,,0
