Bump docutils from 0.15.2 to 0.16,2020-01-13,Merged,2390,1,1,,0
Bump setuptools from 44.0.0 to 45.0.0,2020-01-13,Merged,2389,1,1,,0
Bump zest-releaser from 6.19.1 to 6.20.0,2020-01-08,Merged,2388,1,1,,0
Bump pyramid-tm from 2.3 to 2.4,2020-01-07,Merged,2387,1,1,,0
Bump waitress from 1.4.1 to 1.4.2,2020-01-03,Merged,2386,1,1,,0
Bump codemirror from 5.50.0 to 5.50.2 in /kinto/plugins/admin,2020-01-07,Merged,2385,4,4,,2
Bump setuptools from 42.0.2 to 44.0.0,2020-01-07,Merged,2384,1,1,,0
Bump setuptools from 42.0.2 to 43.0.0,2020-01-02,Closed,2383,1,1,,0
Bump tox from 3.14.2 to 3.14.3,2020-01-07,Merged,2381,1,1,,0
Fix 'kinto init' command (ref #2375),2019-12-27,Merged,2380,62,35,py ,4
[Security] Bump waitress from 1.4.0 to 1.4.1,2019-12-26,Merged,2379,1,1,,0
Bump redux from 4.0.4 to 4.0.5 in /kinto/plugins/admin,2019-12-27,Merged,2378,4,4,,2
Bump codemirror from 5.49.2 to 5.50.0 in /kinto/plugins/admin,2019-12-27,Merged,2377,4,4,,2
Bump sphinx from 2.2.2 to 2.3.1,2019-12-27,Merged,2376,1,1,,0
[Security] Bump waitress from 1.3.1 to 1.4.0,2019-12-23,Merged,2374,1,1,,0
Bump newrelic from 5.4.0.132 to 5.4.1.134,2019-12-20,Merged,2373,1,1,,0
Bump sqlalchemy from 1.3.11 to 1.3.12,2019-12-17,Merged,2372,2,2,,0
Bump sphinx from 2.2.2 to 2.3.0,2019-12-23,Closed,2371,1,1,,0
Bump pytest from 5.3.1 to 5.3.2,2019-12-17,Merged,2370,1,1,,0
Bump transaction from 2.4.0 to 3.0.0,2019-12-12,Merged,2369,1,1,,0
Bump colorama from 0.4.1 to 0.4.3,2019-12-12,Merged,2368,1,1,,0
Bump react-scripts from 3.2.0 to 3.3.0 in /kinto/plugins/admin,2019-12-12,Merged,2367,"1,683","1,127",,0
Bump cornice from 3.6.1 to 4.0.1,2019-12-03,Merged,2366,2,2,,0
Bump tox from 3.14.1 to 3.14.2,2019-12-03,Merged,2365,1,1,,0
Bump sphinx from 2.2.1 to 2.2.2,2019-12-03,Merged,2364,1,1,,0
Bump setuptools from 42.0.1 to 42.0.2,2019-12-02,Merged,2363,1,1,,0
Bump certifi from 2019.9.11 to 2019.11.28,2019-12-02,Merged,2362,1,1,,0
