Merge master into next 2020-01-10,2020-01-10,Merged,5434,103,17,rockspec lua ,7
Merge master into next 2020-01-10,2020-01-10,Closed,5433,60,5,,5
fix(go) don't try to check members of non-table results,2020-01-10,Merged,5432,1,1,,1
fix(router) detect changes on router/plugins iterator while rebuilding (backported),2020-01-10,Merged,5431,37,2,,3
fix(router) split paths to properly sort for routing priority,2020-01-10,Merged,5430,21,3,,2
fix(router) detect changes on router/plugins iterator while rebuilding,2020-01-13,Closed,5429,0,0,,0
feat(conf) add status_ssl_cert and status_ssl_cert_key configuration values,2020-01-13,Merged,5428,86,20,lua template ,8
Release: 1.4.3,2020-01-10,Merged,5422,49,3,rockspec lua ,2
Release: 1.3.1,2020-01-10,Closed,5421,37,9,LICENSE rockspec lua ,10
Release: 1.2.3,2020-01-10,Closed,5420,37,9,LICENSE rockspec lua ,10
Merge master into next 2020-01-09,2020-01-09,Merged,5419,786,609,LICENSE Makefile md rockspec lua ,10
feat(router) remove path handling - v1,2020-01-09,Closed,5417,247,457,,6
fix(go) remove spurious assertion,2020-01-09,Merged,5415,0,2,,1
fix(clustering) remove the unnecessary condition for checking the,2020-01-09,Merged,5414,2,2,,1
chore(*) add go reports,2020-01-10,Merged,5413,328,36,gitignore requirements yml lua ,10
style(go) add more comment and make the Kong <-> Plugin server,2020-01-09,Merged,5412,15,4,,1
fix(declarative) remove a leftover print for security reasons,2020-01-09,Merged,5411,0,1,,1
tests(*) fix fixture template,2020-01-08,Closed,5410,0,2,,1
chore(ci) [skip travis] signed centos nightly releases,2020-01-08,Merged,5409,1,1,,1
tests(invalidations) use wait to reduce flakiness,2020-01-08,Merged,5408,638,534,,0
chore(ci) bump the kong-build-tools version,2020-01-09,Merged,5407,1,1,,1
chore(*) gmp is not a Kong dependency,2020-01-08,Merged,5405,1,3,Makefile ,2
chore(deps) bump lua-resty-openssl to 0.4.2,2020-01-07,Merged,5403,1,1,,1
chore(reports) add go stats,2020-01-08,Closed,5399,61,10,requirements yml lua ,6
chore(*) the year is 2020,2020-01-07,Merged,5398,5,5,md lua ,4
chore(deps) bump kong-plugin-aws-lambda to 3.1.0,2020-01-06,Merged,5395,1,1,,1
fix(schema) add empty string handling on updates for auto generated f…,2020-01-07,Closed,5393,2,1,,1
fix(router) do not ignore header-matched routes when retrieving matches from cache,2020-01-09,Merged,5392,90,24,,2
feat(cache) Allow configuring neg_ttl for caching database entities,2020-01-06,Closed,5391,11,1,lua ,4
feat(config) add more nginx configuration injections,2020-01-09,Merged,5390,"1,209",653,lua ,3
fix(*) use FFI-based lua-resty-openssl library,2020-01-06,Merged,5387,84,71,lua ,12
chore(deps) bump lua-resty-openssl to 0.4.1,2020-01-02,Closed,5384,1,1,,1
fix(router) longest path routes are no longer matched as expected,2020-01-07,Merged,5383,24,21,,2
test(config) expose KONG_SPEC_TEST_CONF_PATH env,2020-01-13,Merged,5382,1,1,,1
chore(ci) stop using the deprecated `openresty-build-tools` and,2019-12-27,Merged,5377,6,7,,1
chore(deps) bump kong-plugin-azure-functions(0.4.2) and kong-plugin-z…,2019-12-23,Closed,5372,2,2,,1
Release: 2.0.0rc1,2020-01-10,Closed,5370,"9,286","7,421",gitignore requirements yml md ,4
hotfix(go) do not assume Kong prefix ends with a slash,2019-12-23,Merged,5369,1,1,,1
tiny tweaks in CP/DP,2019-12-23,Merged,5368,59,10,lua ,4
feat(go) plugin server process management,2020-01-08,Merged,5366,63,148,lua ,5
Update UPGRADE.md,2020-01-13,Merged,5365,8,0,,0
chore(ci) bump the kong-build-tools version,2019-12-23,Merged,5364,1,1,,1
Merge master into next 2019-12-20,2019-12-20,Merged,5363,33,19,lua rockspec scripts/autodoc-admin-api ,5
chore(deps) bump zipkin to 0.2.1,2019-12-20,Closed,5362,1,1,,1
feat(migrations) better support for using already existing C* keyspaces,2019-12-20,Merged,5361,14,12,,1
"feat(router) path handling algorithms, with migrations",2019-12-20,Merged,5360,492,358,,7
chore(rockspec) bump lua-resty-healthcheck to 1.1.2,2019-12-20,Merged,5359,1,1,,1
docs(autodoc) generate lists of possible values from `one_of`,2019-12-19,Merged,5358,24,15,scripts/autodoc-admin-api ,2
feat(utils) provide useful msg if module fails to load,2019-12-19,Merged,5357,9,6,,2
chore(deps) bump acme plugin to 0.2.x,2019-12-19,Merged,5356,1,1,,1
tests(rate-limiting) wait for minute flip when retrying a test,2019-12-18,Merged,5355,1,0,,1
test(invalidator) a slight bump in the POLL_INTERVAL,2019-12-20,Closed,5354,1,1,,1
chore(proxy) remove serviceless proxying,2019-12-19,Merged,5353,169,530,,4
fix delete targets larger then (1-cleanup_factor)*targets-count,2019-12-18,Closed,5352,1,1,,1
chore(conf) remove KONG_ORIGINS,2019-12-18,Merged,5351,0,436,,10
chore(conf) remove transparent listen flag,2019-12-18,Merged,5350,15,121,lua conf ,7
fix(stream) fix TLS route support in stream mode after mesh removal,2020-01-08,Merged,5346,127,133,,10
feat(core) check the existence of `lua_ssl_trusted_certificate` and use,2019-12-18,Merged,5345,27,7,,4
Update run_tests.sh,2019-12-18,Closed,5344,2,0,,1
fix(schema) default entities with empty fields,2019-12-20,Merged,5343,5,0,,1
feat(core) update cipher suites to match Mozilla v5 cipher suites,2019-12-17,Merged,5342,216,76,rockspec default lua ,9
Feat/router path handling migrations,2019-12-20,Closed,5341,616,356,,8
Release/1.4.2,2019-12-15,Closed,5340,"36,838","2,098",md gitignore requirements yml ,5
fix(docs): UPGRADE.md - fix spelling,2019-12-13,Merged,5339,2,2,,0
feat(rate-limiting) add support for draft-rfc rate-limiting headers,2019-12-19,Merged,5335,184,31,,1
Merge master into next 2019-12-12,2019-12-13,Merged,5334,"2,835",370,requirements yml md ,3
feat(plugins) add the acme plugin,2019-12-13,Merged,5333,1,0,,1
feat: enable `reuseport` option for Nginx `listen` directive by default,2019-12-14,Merged,5332,61,22,lua ,4
feat(scripts) make-patch-release script,2019-12-12,Merged,5331,601,0,,0
Fix: #233. Add generic X-RateLimit-* and X-RateLimit-Reset too.,2019-12-19,Closed,5330,89,37,,3
feat(rate-limiting) add support for Retry-After header on 429 response,2019-12-17,Merged,5329,107,52,,2
feat(plugins) Go plugin support,2019-12-20,Merged,5326,553,1,default lua ,4
fix(http-log) do not use a queue when queue_size is 1,2019-12-11,Merged,5323,7,0,,1
fix(acl) get acl by group fails when more consumers share the same group,2019-12-12,Merged,5322,206,48,lua ,3
fix(admin-api) incorrect PUT behavior for /certificates,2019-12-11,Merged,5321,118,43,,3
Release: 1.4.2,2019-12-11,Merged,5320,31,3,rockspec lua ,2
chore(deps) bump lua-resty-dns-client to 4.1.2,2019-12-10,Merged,5319,1,1,,1
fix(balancer) a couple of balancer fixes,2019-12-10,Merged,5318,8,5,,3
tests(*) grpc logging plugins,2019-12-10,Merged,5316,286,10,,2
fix(schema) service url should cleanup existing url components,2019-12-09,Merged,5315,103,11,,2
