Add build script for Android,2019-03-02,Merged,1060,133,0,mk h ,5
Add setting of LEDs,2019-01-08,Merged,1052,77,0,h hpp cpp ,4
homebrew/versions formulae were migrated to hombrew-core,2018-12-05,Merged,1044,0,1,,0
Fix contructor usage in C++98,2018-11-03,Merged,1036,7,9,,1
Add exposure control of the color camera,2018-10-31,Merged,1033,281,0,h hpp cpp ,5
Cuda9.0,2018-09-22,Closed,1022,46,2,txt xml ,2
Pull forward build arguments hint required by downstream libs,2018-06-20,Closed,1003,7,0,,0
Update FindTegraJPEG.cmake for 28.2 Linux4Tegra,2018-06-09,Merged,999,2,0,,1
Add support for modern target-based CMake linking,2019-09-27,Closed,995,65,34,in ,1
fix headline/anchor for MacOS instructions,2018-05-15,Merged,994,2,2,,0
fix OSX RPATH handling,2018-04-22,Merged,982,4,0,,0
add libusb_set_option for using usbdk on windows,2018-02-24,Closed,970,4,0,,1
remove commands for building libusb usbdk dlls,2018-02-20,Merged,969,0,2,,2
Are you earthdarkness from the gba,2017-12-21,Closed,949,95,0,,1
Fix an error that std::bind is not a member of std in GCC7,2017-12-12,Closed,945,1,1,,1
Freenect2Replay continued,2017-12-06,Merged,942,491,0,,1
Freenect2ReplayDevice: API aligned with Freenect2Device,2017-12-06,Closed,937,577,0,,1
fix memory leak in DumpDepthPacketProcessor,2017-11-25,Merged,934,4,0,,1
add osx library path for brew install,2017-10-25,Merged,922,1,0,,1
"Add compatibility for L4T 28.1, added make install for udev rules",2017-10-25,Closed,914,6,0,cmake ,1
Changed MIN GL Version from 3 to 2,2017-09-16,Merged,903,1,1,,1
Fixes memory leak in VT processor,2017-09-16,Merged,900,4,1,,1
Fixed missing include,2017-08-06,Closed,882,48,4,aur/PKGBUILD h rules ,4
fix the cmake conditional expression error,2017-06-27,Merged,859,2,2,,0
Fix version check when trying to find freenect2 with find_package,2017-05-03,Merged,837,13,1,in ,2
usb: Retry a few times with libusb_open(),2017-04-24,Merged,830,14,1,,1
Update README.md,2017-03-31,Merged,819,1,1,,0
