Added action_delayer and remove gamma correction control.,2020-01-02,Merged,5574,53,7,h ,5
Add sensor extensions - fix playback and record issues,2020-01-01,Closed,5572,"2,928","20,480",cpp txt h rc md ,8
Z16H - Compressed Depth format,2020-01-05,Merged,5564,"9,603",181,h cpp hpp sh patch ,13
Fix motion and motion correction routines,2020-01-05,Merged,5534,98,87,h ,7
.NET VideoStreamProfile.Clone added,2019-12-30,Merged,5529,65,0,,3
suppress -Wpadantic in glad.c,2019-12-29,Merged,5526,8,2,md ,1
fix recording crash,2019-12-25,Merged,5522,6,0,h ,2
Fix extrinsics commutativity,2019-12-25,Merged,5521,10,4,,1
Upgrade T265 firmware to 0.2.0.908,2020-01-07,Merged,5504,2,2,h ,1
Added python constructor for region of interest,2019-12-29,Merged,5495,2,1,,1
Add sensor extensions,2019-12-30,Merged,5468,443,16,hpp cpp cs js ,15
Add sensor extensions,2019-12-17,Closed,5467,210,9,hpp cpp ,14
Fix: realsense2-gl headers not installed,2019-12-29,Merged,5465,14,6,,0
"CMake: unix_config, set CMAKE_POSITION_INDEPENDENT_CODE",2019-12-29,Merged,5444,3,2,,1
"common: fw-update-helper, don't compare addresses",2019-12-29,Merged,5443,4,4,,1
Typo removed,2019-12-10,Merged,5421,1,1,,1
Map Preservation Fixes,2019-12-10,Merged,5415,2,1,cpp ,1
rs-dnn-vino compilation fix for Linux,2019-12-09,Merged,5413,4,1,,1
Some fixes to auto calibration,2019-12-09,Merged,5411,37,32,hpp cpp def ,4
Promote recommended D400 firmware to 5.12.1.0,2019-12-08,Merged,5402,4,4,h ,1
Merging master back to dev,2019-12-08,Merged,5400,572,89,gitignore h cs cpp ,34
Fix xhci_build flags handling,2019-12-08,Merged,5399,10,7,,1
Some updates to auto calibration,2019-12-08,Merged,5398,352,167,h ,2
polling_device_watcher: fix race between construction and start,2019-12-30,Merged,5387,3,4,,1
Warning fixes,2019-12-08,Merged,5386,7,6,h ,6
fix openni2 wrapper convertDepthToColorCoordinates,2019-12-05,Merged,5380,16,2,h ,2
Change default RGB resolution,2019-12-08,Merged,5377,20,7,cpp js ,4
fix pipeline recording,2019-12-05,Merged,5375,6,0,h ,2
Update tinyfiledialog to v3.4.1 and set map extension,2019-12-05,Merged,5370,"6,698","4,804",,1
Roi fix,2019-12-03,Merged,5364,2,2,,2
Add rs-dnn-vino sample,2019-12-08,Merged,5360,574,106,txt ,0
Fix l500 resolutions,2019-12-02,Merged,5357,67,47,h ,12
T2XX sample: new `ar-advanced` sample to show map import/export and get/set static node APIs.,2019-12-30,Merged,5356,552,0,md ,0
ds5 default sync by timestamp,2019-12-02,Merged,5353,13,81,,1
Version compatibility enhancement,2019-12-02,Merged,5352,56,5,xml txt cpp ,6
Added API for depth auto calibration.,2019-12-02,Merged,5346,"1,251",463,h ,3
Android add pipeline profile partial support,2019-12-02,Merged,5344,22,8,java ,4
Add __version__ to python wrapper,2019-12-01,Merged,5337,1,0,,1
Fix save_to_ply symbols in python,2019-12-01,Merged,5336,7,7,,1
Fix a minor bug in sorting streams,2019-12-01,Merged,5334,3,3,,1
fix global timestamp domain query crash,2019-12-01,Merged,5331,2,1,,1
Update t265_rpy.py,2019-12-05,Merged,5325,2,2,,1
T2xx sample: add import/export map and get/set static node to rs-ar-basic.cpp,2019-12-02,Closed,5322,112,20,,1
Android multicam example,2019-11-26,Merged,5312,648,40,gitignore gradle wrappers/android/examples/multicam/gradlew bat pro xml ,7
Fix for BUILD_WITH_CUDA option,2019-11-25,Merged,5311,21,15,txt cuh ,6
UE4 wrapper 4.24 update and Linux build,2019-12-05,Merged,5306,572,89,gitignore h cs cpp ,34
[test-PR] Add map import/export functionality to rs-ar-basic.cpp,2019-11-26,Closed,5301,"6,310","2,976",NOTICE h ,3
UVC control transfer timeout,2019-11-21,Closed,5289,1,1,,1
Openvino sample,2019-12-02,Merged,5283,"1,353",2,cpp md txt jpg ,4
doc/t265: updated wheel odometry documentation,2019-11-20,Closed,5280,105,1,md ,2
fix SR300 enumeration on linux,2019-11-20,Merged,5278,23,9,,5
Typo fix,2019-11-19,Closed,5268,2,2,md ,1
fix sources reflection in sensor,2019-11-21,Merged,5265,14,16,h ,2
Update installation_osx.md,2019-12-30,Merged,5264,3,3,,0
Add zero-order state toggle option,2019-11-21,Merged,5263,107,26,cpp cs m ,10
minor changes to sensor refactoring,2019-11-21,Merged,5254,65,72,h ,13
Wheeled Odometry Calibration Setup Examples,2019-11-21,Merged,5244,106,2,md ,2
F416-RGB and LED controls,2019-11-18,Merged,5243,137,17,h ps1 cpp java ,15
Upgrade T265 firmware to 0.2.0.879,2019-12-01,Merged,5234,2,2,,0
Fix paragraph formatting,2019-11-12,Merged,5226,1,1,,0
Replace libtm with direct communication with T265,2019-12-26,Merged,5213,"1,681","20,448",txt h rc cpp md hpp ,11
Option to preserve T265 maps in memory for subsequent starts,2019-12-05,Merged,5208,36,3,cpp cs m js ,10
Kernel patch adjustment for 4.4 branch,2019-11-10,Merged,5205,224,15,xml patch sh ,4
Zero the high 32 bit of 64 bit imu timestamp.,2019-11-10,Merged,5204,4,0,h ,4
Disable GLOBAL_TIME option,2019-11-07,Merged,5202,3,0,,3
"Add new functions to Python wrapper, update some more documentation",2019-11-21,Merged,5200,88,32,cpp ,9
"Alternative, possibly simpler approach for obtaining pitch, roll and …",2019-11-21,Merged,5198,18,16,py ,1
Fix link in t265.md,2019-11-07,Merged,5190,1,1,,0
Fix link in t265.md,2019-11-05,Closed,5189,1,1,,0
UVC CMake options fix,2019-11-05,Merged,5180,6,5,txt ,1
USB Host license,2019-11-07,Merged,5179,16,4,sh h ,3
USB Host license,2019-11-04,Closed,5171,16,4,sh h ,3
.NET Development,2019-11-21,Merged,5170,50,27,,9
Upgrade T265 firmware to 0.2.0.857,2019-11-02,Merged,5169,8,2,h cpp ,2
Hex formatting,2019-11-02,Merged,5157,5,5,cpp ,3
update pyglet to 1.4.x,2019-12-30,Merged,5155,9,4,,1
Upgrade T265 firmware to 0.2.0.841,2019-11-01,Closed,5133,2,30,cpp ,1
Sensor refactoring,2019-11-15,Merged,5111,"4,294","2,635",h hpp cpp ,10
PLY export,2019-11-12,Merged,5110,687,105,cpp ,7
Full portChain in physical port info,2019-11-02,Merged,5109,5,1,,1
Read the depth units from intrinsics.,2019-10-23,Merged,5106,4,5,,1
On-chip calibration crash fix,2019-10-23,Merged,5077,9,2,,1
rs-rosbag-inspector crash fix,2019-10-23,Merged,5066,1,0,,1
Fix memory leak in hid sensor,2019-10-17,Merged,5065,2,0,h ,2
T265 Mask API,2019-12-10,Closed,5061,776,16,txt hpp cpp ,2
Upgrade T265 firmware to 0.1.0.508,2019-10-30,Closed,5060,2,2,,0
Upgrade T265 Firmware to 0.1.0.508,2019-10-16,Closed,5059,44,28,md cpp hpp txt cs ,13
Adding Support-Matrix and updating Jetson docs,2019-11-18,Merged,5053,102,11,jpg md ,6
Raspbian buster - Cleanup,2019-10-23,Merged,5043,170,190,c cpp h ,8
Fix default path bug in viewer,2019-10-10,Merged,5028,7,0,,1
Raspbian Linux 10 Buster fix. (Kernel 4.19),2019-10-23,Merged,5025,63,58,c cpp h ,6
Rename foreach to foreachRS,2019-10-15,Merged,4987,14,14,cpp ,6
Fix min Z offset for disparity domain colorization mode,2019-10-23,Merged,4981,6,2,,2
Rsusb backend,2019-11-03,Merged,4975,"3,920","18,546",cmake txt cpp h ,8
DQT/Viewer metrics record fixes and improvements,2019-10-23,Merged,4967,25,12,h ,3
Added wrappers/dlib/face example,2019-10-23,Merged,4966,700,15,md txt h ,3
illustration for project,2019-10-17,Merged,4953,5,0,png ,1
rs-ar-basic: fix extrinsic pose to camera transformation,2019-10-02,Merged,4945,7,11,cpp ,1
Merge of 2.29 to master,2019-09-26,Merged,4941,550,158,txt h rules hpp xml ,14
Notification category for Relocalization,2019-10-02,Merged,4936,14,1,cpp cs ,5
Update doxygen of pose_sensor,2019-09-25,Merged,4927,44,59,h ,3
Fixing Tare Calibration UI + Bump version,2019-09-25,Merged,4925,60,51,h cpp xml ,5
libuvc: fix QW_TO_QUAD losing data due to 32-bit type,2019-10-16,Closed,4922,2,2,,1
Fix WB control and generate UV-map test artifacts,2019-10-23,Merged,4914,230,6,hpp cpp txt ,4
get_distance to verify user-provided pixel indexes.,2019-10-23,Merged,4910,2,0,,1
Added to align sse support on distortion parameters and fixed bug on playback,2019-09-24,Merged,4909,3,1,,2
"Remove ""not supported for rendering"" error",2019-10-23,Merged,4907,43,2,cpp ,3
PLY options,2019-11-02,Closed,4906,505,97,h ,4
Wheel odometry python sample,2019-10-23,Merged,4889,103,0,py ,2
Fixing typo in readme.md,2019-09-23,Merged,4886,1,1,,0
rsutil: functions to read/write binary files,2019-09-25,Closed,4870,78,0,,1
On-Chip Calibration Adjustments,2019-09-16,Merged,4867,269,185,h ,3
Added support on  RGB distortion.,2019-09-16,Merged,4866,13,1,,2
Disable depth invalidation by default.,2019-09-16,Merged,4863,2,2,,1
Fixing typo in align-depth2color.py,2019-09-12,Merged,4851,7,8,,1
Android - ROI sensor added,2019-09-10,Merged,4836,87,1,java ,4
Wheel odometry unit test fix,2019-09-16,Merged,4830,8,2,cpp ,1
Update Firmware logger - added enums,2019-09-12,Merged,4826,139,12,h ,7
Firmware update support,2019-09-25,Merged,4825,443,47,rules h txt ,17
Make save_single_frameset more robust,2019-09-12,Merged,4809,43,9,cpp h ,3
Minor Python Fixes,2019-09-16,Merged,4808,20,8,,5
Version bump to 2.28,2019-09-03,Merged,4791,2,2,xml ,2
Merge from Master to Development,2019-09-03,Merged,4790,0,0,,0
Updated frame validator,2019-09-03,Merged,4788,244,84,h ,4
Fix Jupyter notebooks,2019-09-03,Merged,4787,2,0,,1
Disable default decimation for RGB sensors,2019-09-03,Merged,4786,8,2,hpp ,2
Fix a potential out-of-order initialization for A-factor,2019-09-03,Merged,4785,14,10,cpp ,2
Adjust branches for the kernel patches,2019-09-03,Merged,4774,15,9,patch ,26
frame_queue can automatically keep frames for you,2019-09-12,Merged,4773,116,5,m cpp py ,5
Fixing basic threading issues within on-chip calibration UI,2019-09-02,Merged,4772,86,42,h ,6
Fix std::string error on VS2019,2019-08-31,Merged,4759,1,1,h ,2
Fix deadlock on pipeline.stop() with playback device in realtime=false mode,2019-09-02,Merged,4758,"1,640","1,398",h cpp txt m ,11
Merge of 2.27,2019-08-29,Merged,4757,"2,028",301,cpp txt h rc ,6
Android stability,2019-09-03,Merged,4752,101,77,h ,3
Python binding updates,2019-09-01,Merged,4749,"1,613","1,391",txt m cpp ,7
Adding option to use Pre-Release firmware,2019-08-28,Merged,4746,186,73,txt h rc ,6
T26x calibration write api bug fix,2019-08-28,Merged,4741,10,5,cpp ,3
Enhance frame::get_timestamp() documentation,2019-08-27,Merged,4739,18,1,,1
Fix legacy branch for kernels prior to v4.16,2019-08-27,Merged,4738,4,0,,1
Merge from Master branch,2019-08-27,Merged,4737,3,1,,0
Follow-up on the On-Chip Calibration,2019-08-27,Merged,4735,8,17,txt h ,5
Adding Depth-Filter OpenCV example,2019-08-27,Merged,4733,790,7,h hpp xml def cpp txt json ,11
android java example fix,2019-08-27,Merged,4731,6,2,md ,1
Fix Ubuntu 32bit compilation,2019-08-27,Merged,4729,211,65,h cpp txt ,6
Record and playback L500 data,2019-08-27,Merged,4727,241,57,h ,11
Fix format-security warnings (again),2019-08-27,Merged,4721,13,13,cpp ,4
Automatically set supported profiles in viewer,2019-11-21,Merged,4720,286,24,h ,2
Upgrade T265 firmware to 0.1.0.279,2019-08-27,Merged,4717,30,30,txt ,2
Viewer playback - enable step backwards,2019-08-27,Merged,4706,16,30,,1
Android - GLFrame resource release,2019-08-22,Merged,4698,31,6,gradle ,8
Merge from Master,2019-08-21,Merged,4697,4,0,h cpp ,2
fix flickering in rs-multicam (should save previous frames for render…,2019-08-21,Merged,4692,3,3,,1
Update python's readme.md,2019-08-22,Merged,4690,3,1,,0
Revert a WA to handle extrinsic data externally,2019-08-21,Merged,4688,3,0,h ,2
tm_sensor - doxygen doc of relocalization functions,2019-08-27,Merged,4685,40,0,,1
Fix stbi build errors on static build,2019-08-21,Merged,4684,1,0,,1
Android - fix crash on device release,2019-08-20,Merged,4683,2,2,java ,2
Promote version to 2.26.0,2019-08-20,Merged,4679,3,3,xml ,2
Android UVC backend - Out of memory error fix,2019-08-20,Merged,4678,860,122,java ,4
Android Pointcloud,2019-08-20,Merged,4677,705,116,java ,4
Frame Validator,2019-08-20,Merged,4675,137,0,cpp h ,4
Promote T265 FW to version 0.1.0.242,2019-08-20,Merged,4673,2,2,,0
Exposed depth offset,2019-08-20,Merged,4668,19,5,cpp ,5
Sync Wrapper Options,2019-08-20,Merged,4666,129,2,js cpp h ,5
D400 On-Chip Calibration,2019-08-20,Merged,4658,"2,695",838,,0
Tm2 calibration write api,2019-08-27,Merged,4650,442,9,hpp def cpp ,7
python: add _repr_ for motion_device_intrinsics,2019-08-15,Merged,4645,33,4,,1
Fix links to Python T265 examples,2019-08-14,Merged,4638,3,3,,0
Fix range for stream_index in filters.,2019-08-13,Merged,4631,1,1,,1
Enable MJPEG,2019-08-20,Merged,4622,184,79,hpp cpp ,8
Community Project: update realsense on cyber,2019-08-12,Merged,4620,1,0,,0
Update Win7 INF driver,2019-08-12,Merged,4618,68,9,,1
correct method syntax,2019-08-13,Merged,4616,1,1,,1
Cross platform HID device (IMU),2019-08-19,Merged,4605,"1,145",420,cpp h ,7
increase frame queue size for tm2,2019-08-12,Merged,4602,3,0,cpp ,2
Added support for XVGA resolution and fixed enumaration of usb device of l500,2019-08-08,Merged,4599,20,6,,2
rs-multicam bug fix,2019-08-12,Merged,4596,23,15,cpp ,1
Fix IMU handling for D400 series,2019-08-13,Merged,4587,171,78,cpp ,7
Android SR300 firmware update,2019-08-12,Merged,4583,6,6,java ,4
lrs_options.cmake edit,2019-08-13,Merged,4582,1,5,txt ,1
Merge master to dev,2019-08-05,Merged,4566,378,0,py png md JPG ,6
DQT: fix plane and metric annotations when stream is paused,2019-08-04,Merged,4562,27,3,,2
fix offline build errors,2019-08-04,Merged,4561,40,27,txt cpp h ,4
Viewer - fix unresponsive UI on errors,2019-08-05,Merged,4560,51,25,h ,2
Merge of 2.25 to master,2019-08-01,Merged,4548,"2,253",591,h cpp md ,3
Add syncer support for sensor start method,2019-08-04,Merged,4546,3,0,,1
rs-enumerate-devices robustness enhancement,2019-08-04,Merged,4545,11,5,,1
Enalbe RGB undistort for certain modes,2019-08-01,Merged,4544,33,23,cpp ,5
Updates to l500,2019-08-01,Merged,4541,32,11,h ,4
Conform to ROS name convention,2019-08-04,Merged,4537,19,6,cpp ,2
"Remove ""Depth Visualization"" tab under unrelated sensors in viewer",2019-08-04,Merged,4535,16,15,,1
Add missing include to uvc_types,2019-08-01,Merged,4533,2,0,,1
"Use full GPG Key IDs for installing in linux, since short ones may be…",2019-08-14,Merged,4531,1,1,,0
Updates to zo and defaults stream of l500,2019-07-29,Merged,4520,81,175,h ,5
Add t265 options to Python wrapper,2019-08-01,Merged,4511,3,0,,1
Pose as extrinsics reference,2019-08-14,Merged,4507,23,3,cpp ,4
Added Ethernet client server example code.,2019-08-04,Merged,4492,378,0,py png md JPG ,6
Adding support for new calibration query command,2019-07-23,Merged,4478,68,4,h ,4
SR300 RGB auto exposure ROI,2019-07-22,Merged,4472,14,1,cpp ,4
T265: Add frame time metadata,2019-07-22,Merged,4448,20,1,,1
T265 documentation update,2019-07-17,Merged,4438,64,50,,0
Unsigned firmware update,2019-08-04,Merged,4433,801,104,h hpp ,7
Android backend - Out of memory error fix,2019-08-20,Closed,4428,224,222,h txt ,5
Tm2 timestamp domain,2019-07-11,Merged,4403,3,3,,1
Update realsense_device_manager.py,2019-07-11,Merged,4402,45,47,,2
Edit comments at realsense_device_manager.py,2019-07-11,Closed,4401,25,25,,1
