v3.27 Version Release,2020-01-13,Merged,1413,317,214,txt json sql ,7
Widget Version 2 (beta),2020-01-06,Merged,1411,"6,147",11,eot ttf woff woff2 ,10
Master 3.26v,2019-12-10,Merged,1408,456,39,,9
"For AWS S3 plugin, we always use original name",2019-11-06,Merged,1400,2,2,,2
Jason fun888 patch 1  fix the mismatched security hash,2019-11-06,Merged,1399,3,10,,2
"For AWS S3 plugin, we always use original name",2019-10-30,Merged,1394,5,1,,1
Auto start chat for bot and new chat everytime,2019-10-24,Merged,1392,131,19,,8
Auto responder support operator not replying workflow.,2019-10-07,Merged,1383,391,49,,2
Removing the unnecessary constructor method.,2019-10-07,Merged,1382,1,6,,1
3.25v,2019-09-25,Merged,1380,"3,694","1,450",txt ts json sql php ,13
Updating some methods' encapsulation.,2019-09-23,Merged,1379,3,3,,1
Auto mobile layout for mobile devices,2019-09-13,Merged,1378,71,11,js php ,9
Remember nick,2019-08-28,Merged,1377,97,7,,11
Add hungarian language,2019-07-31,Merged,1374,21,2,,1
Hungarian language,2019-07-31,Merged,1373,"11,761",0,,1
Audit For Objects,2019-07-29,Merged,1372,214,5,,12
Master trans,2019-07-29,Merged,1371,181,17,php ,6
Preload iframes,2019-07-12,Merged,1368,136,30,json sql ,10
HTML Snippet execution,2019-06-22,Merged,1360,379,19,php ,15
Update requests Bing translation to v3.0 and add support to Yandex translations API,2019-04-29,Closed,1347,535,260,,3
Merge master to master-dashboard,2019-04-19,Merged,1345,30,21,js php ,6
Master textinput,2019-04-14,Merged,1344,99,73,php ,14
Survey Support By department,2019-04-14,Merged,1343,113,30,php ,9
fix #1328,2019-04-14,Closed,1339,29,0,php ,2
Master tags,2019-03-21,Merged,1338,38,17,,10
add identicon.js,2019-03-17,Merged,1336,468,15,js ,4
Master dashboard,2019-03-14,Closed,1335,0,0,,0
07.03.2019,2019-04-14,Closed,1333,65,74,php ,13
3.21v,2019-02-09,Merged,1325,441,283,,5
3.20v,2019-02-01,Merged,1323,260,25,txt json sql ,14
3.19 Bot translations,2019-01-30,Merged,1322,"1,432",530,txt ,13
Teste merge,2019-01-29,Closed,1321,"6,877","4,627",,1
Event args extract arguments,2019-01-28,Merged,1319,105,32,php ,6
More fluent js variables workflow,2019-01-26,Merged,1318,266,15,php ,9
Fix links operator side. Update app.css,2019-01-23,Closed,1316,4,1,,1
Fatal errors catch and custom error window for all exceptions,2019-01-23,Merged,1315,112,18,,4
"Fix text align widget, pop. tested. Update app.css",2019-01-23,Closed,1313,6,1,,1
Update app.css fix for emojoy,2019-01-23,Closed,1312,2,1,,1
3.18v,2019-01-23,Merged,1310,527,344,php txt ,12
Remove limits for body email text.,2019-01-21,Merged,1309,3,3,,1
3.16v,2019-01-20,Merged,1308,"10,407","3,733",txt sh ,4
Custom colors by operator,2019-01-18,Merged,1304,156,14,json sql ,14
Version with extensive logging.,2019-01-13,Merged,1303,483,46,txt json sql ,10
XMPP fatal error on PHP7.2,2019-01-10,Merged,1302,4,4,,1
Migration to bootstrap - v4,2019-01-13,Merged,1301,"3,479","6,075",,1
FIX #1299 leves of logs messages,2019-01-10,Merged,1300,106,24,php ,2
Bot improvements 3.14v,2018-12-28,Merged,1295,"1,033",151,,9
3.13v,2018-12-20,Merged,1293,"1,205",92,,5
Store events execution counter,2018-12-02,Merged,1286,41,10,json sql php ,10
3.11v,2018-11-23,Merged,1283,697,42,php txt ,17
Master 310,2018-11-19,Merged,1277,728,215,php ,7
Master theme headers,2018-11-14,Merged,1276,556,67,js_new php ,12
Password handling improvements,2018-09-28,Merged,1268,388,23,txt json sql ,12
Mobile invitation,2018-09-19,Merged,1264,49,4,php ,3
Mobile invitation v2,2018-09-19,Merged,1263,"1,336",51,js php ,13
3.08v,2018-09-17,Merged,1262,"1,021",24,js php txt json sql ,13
Support for custom HTML in proactive invitation. Work in progress..,2018-08-29,Merged,1257,554,72,php txt gitignore sh ,17
Add tag improvements,2018-08-23,Merged,1256,179,165,,0
Online visitors filter,2018-08-17,Merged,1253,120,25,php ,5
Master 304,2018-08-13,Merged,1246,"11,832",285,txt ,1
3.03v,2018-08-01,Merged,1242,864,22,txt csv ,7
3.02v,2018-07-26,Merged,1241,275,61,json sql ,10
3.01v,2018-07-24,Merged,1239,279,29,js php txt json sql ,15
3.00v,2018-07-22,Merged,1237,183,7,txt json sql ,8
2.99v initial changes before code review,2018-07-05,Merged,1234,536,94,,12
Web push notifications for visitors,2018-07-02,Merged,1231,"3,848",525,json png js php ,13
Corrected typos,2018-07-05,Closed,1230,2,2,,1
Master 297,2018-06-10,Merged,1225,355,24,txt json sql ,12
2.96v,2018-05-28,Merged,1222,907,287,js php ,6
"Fix #1219 RESTful API index broken, removed erroneous comma",2018-05-28,Merged,1220,2,2,,1
2.95 Bot improvements,2018-05-02,Merged,1216,518,29,php txt ,10
Master 294,2018-05-01,Merged,1215,"8,376","29,866",js ,6
2.93 - department availability statistic,2018-04-13,Merged,1209,"40,630","4,876",js ,6
2.92v,2018-04-08,Merged,1208,218,44,php txt json sql ,21
Update show_status_widget.tpl.php,2018-03-11,Merged,1198,2,2,,1
Checkbox for groups assignment,2018-03-10,Merged,1195,"15,120","1,499",js php ,4
Group objects 2.90v,2018-02-28,Merged,1194,373,11,txt json sql ,15
Pending time 2.88v,2018-02-16,Merged,1189,260,123,php txt json sql ,10
Subject funcionality,2018-02-14,Merged,1187,618,34,js php txt json sql ,17
Do not interfere with browser back/forward button history,2018-02-13,Merged,1186,162,100,php ,10
Update lhrestapivalidator.php,2018-02-12,Merged,1184,2,2,,1
Proper explain,2018-02-07,Closed,1179,1,2,,1
Master transferfilter,2018-01-15,Merged,1169,22,5,,3
Changes 2.81v,2018-01-12,Merged,1167,"10,734","6,406",txt ts ,5
"Fix livehelperchat version reporting, github issue #1165",2018-01-05,Merged,1166,2,2,,1
Master 280,2017-12-22,Merged,1163,"4,279",669,php ,5
Amended the spelling of module,2017-12-11,Merged,1160,2,2,,1
Master archive 2.79,2017-12-10,Merged,1159,569,243,txt json sql ,12
278v,2017-12-04,Merged,1153,533,152,js ,5
Autoassign improvements,2017-12-04,Merged,1152,510,146,js ,5
Option to have custom div id for wrapper,2017-11-21,Merged,1148,14,11,,4
Option to change lhc prefix to something else,2017-11-21,Merged,1147,61,58,,1
fixed Non-static method erLhcoreClassSiteaccessGenerator::trimArrayEl…,2017-11-21,Merged,1146,2,2,,1
fix getLanguages,2017-11-21,Merged,1145,2,2,,1
2.77v invitations on mobile,2017-11-16,Merged,1141,79,8,txt json sql ,12
Themes enhancements,2017-11-13,Merged,1139,88,12,php txt json sql ,11
2.75v,2017-10-31,Merged,1135,235,31,json sql ,14
update fa_FA translation.ts,2017-10-31,Closed,1128,"8,924","8,924",,0
Master 273,2017-09-03,Merged,1095,536,80,php txt json sql ,9
Offline request and more improvements,2017-08-29,Merged,1092,276,162,json sql ,12
Autoassign,2017-12-04,Closed,1088,344,72,php json sql ,11
Master 271,2017-08-10,Merged,1081,99,29,js php txt json sql ,17
Master 270,2017-08-08,Merged,1080,363,87,js php txt json sql ,17
Master department start form 2.69v,2017-08-02,Merged,1074,680,44,txt json sql ,12
V268,2017-07-17,Merged,1067,59,11,txt json sql ,11
2.67v,2017-07-13,Merged,1063,674,101,txt json sql ,8
2.66v,2017-07-10,Merged,1061,63,23,php txt json sql ,12
Master autoresponder,2017-06-30,Merged,1053,"1,096",300,txt ,3
Statistic general performance,2017-06-20,Merged,1047,431,2,,6
Fixed an I/O-problem for simplexml,2017-06-13,Merged,1043,1,1,,1
Upgrade 2.64,2017-06-12,Merged,1041,720,26,txt json sql ,10
Create avenger,2017-06-12,Closed,1028,1,0,,1
Master update dynamic v3,2017-05-22,Merged,1027,375,1,json sql ,11
