Using library that is shared across more IDEs,2019-09-30,Merged,1390,1,1,,1
Remove double link,2019-08-08,Merged,1312,1,1,,1
Updated Jupyter Notebook's Selected cell color,2019-08-08,Merged,1308,65,0,,12
Experimental transparent title bar for JDK 11,2019-07-28,Merged,1290,99,0,,1
rename 'procfile' icon and assign it also to '.slugignore' file,2019-07-11,Merged,1275,2,2,svg ,2
Completion Window Background Issue Fix,2019-06-17,Merged,1257,21,0,,1
Add SilverStripe template icon,2019-06-08,Merged,1238,7,0,svg ,2
Enable Kotlin icon patching,2019-05-12,Merged,1233,67,29,svg ,11
New file icons,2019-04-22,Merged,1211,43,3,svg ,6
Added reference to find material_theme.xml,2019-04-09,Merged,1195,1,1,,0
Fix tooltip for Tab Highlight Position combobox,2019-04-08,Merged,1189,1,1,,1
Update icon_associations.xml,2019-04-04,Merged,1180,1,1,,1
Create AyuDarkTheme.java,2019-04-17,Closed,1168,123,0,,1
Added Tailwind CSS config icon,2019-02-05,Merged,1122,2,0,svg ,2
Various grammar and spelling fixes,2019-01-24,Closed,1102,462,462,,0
Jayatanaag startup issue fix.,2019-01-05,Merged,1098,4,58,,1
add a comfortable height to compact statusbar,2018-12-06,Merged,1072,1,1,,1
Small Classloading Change,2018-11-17,Closed,1043,2,2,,1
Update README.md,2018-10-16,Merged,996,2,2,,0
Added Jenkins icon,2018-10-16,Merged,992,39,0,svg ,2
Fix readme inconsistencies,2018-10-07,Merged,963,42,67,,0
Fix hex colors,2018-10-07,Merged,962,34,36,,0
Added ids to iconProviders,2018-09-17,Closed,926,2,2,,1
swagger file icon association extended regex,2018-08-20,Merged,903,2,1,,1
Add typescript option for Webpack icon,2018-06-25,Merged,831,1,1,,1
Update MaterialThemeBundle.properties,2018-06-19,Merged,822,1,1,,1
Add HighContrast variant of Material Lighter editor color scheme (#783),2018-06-05,Closed,784,"3,613",0,,1
Activating Open Collective,2018-05-04,Merged,751,32,0,,0
Increase max tree indent to 20,2018-03-29,Closed,698,2,2,java ,1
Remove unused variable: `updateNotificationShown`,2018-03-29,Closed,680,0,4,,2
update webpack and yarn config file names,2018-02-24,Merged,662,2,2,,1
Update README.md,2018-02-05,Closed,627,14,14,,0
Update jsx,2018-02-10,Merged,626,0,0,,2
add browserslist file icon support,2018-02-10,Merged,625,1,0,png ,3
add icon support for postcss configs,2018-01-25,Merged,610,1,0,,1
Add angular icons,2018-01-24,Merged,609,8,1,png ,17
Fix: Replace old project URL with current in description,2018-01-24,Closed,605,1,1,,1
Adds icon association for cfg files,2018-01-18,Closed,588,1,1,,1
"appropriate icons for "".dockerignore"", "".eslintignore"", "".flowconfig"" and "".yarnclean"" files",2018-01-07,Merged,569,4,4,,1
Develop,2018-01-02,Merged,563,68,51,properties java ,5
Develop,2018-01-01,Merged,558,"5,745","1,319",gradle ,1
Create CODE_OF_CONDUCT.md,2017-11-20,Closed,503,46,0,,0
init file color descriptors statically,2017-11-04,Merged,475,13,17,,1
directory icon optimization,2017-10-12,Merged,457,17,17,,1
Add optional .json extension to babelrc,2017-09-12,Merged,432,1,1,,1
Add Material Theme - One Dark,2017-09-04,Closed,428,"3,211",0,,0
Fixed string text color in the darker color scheme,2017-07-12,Merged,385,1,1,,1
Updates docker-compose icon association,2017-07-09,Merged,372,1,1,,1
"Fixed paths for ""fileTypes""",2017-06-14,Merged,355,6,6,xml png ,4
"Fix: Java icon overrides class,interface,enum,abstract,etc icons",2017-04-27,Closed,329,0,1,,1
Fixes for WebStorm 2017.1,2017-03-21,Merged,317,20,8,gradle java xml ,5
Fix path of Dart file icon (#300),2017-03-27,Merged,301,1,1,png ,3
Adds '.yaml' as valid file extension for YAML file icon,2017-01-22,Merged,297,1,1,,1
Added Dart file icon.,2017-01-23,Merged,296,1,0,png ,3
Fix #272: Only replace icons on elements representing a file.,2017-03-27,Merged,285,17,599,xml ,2
Context and Menu border,2017-01-22,Merged,281,2,2,,1
Adding build icons,2017-01-23,Closed,280,5,2,png ,8
fix patching IDE font,2017-01-22,Merged,279,41,3,java ,2
Update Material Theme - Darker.xml,2017-05-25,Closed,277,3,3,,1
Fixe for #272 by removing iconProvider extension,2016-11-21,Closed,273,0,1,,1
fix UI icons,2016-11-20,Merged,266,32,2,,1
Issue #258 fix crashes on Windows for IntelliJ IDEA 2016.3,2016-11-15,Merged,259,0,15,,3
More sensible colors for diffs,2016-11-20,Merged,256,4,4,,1
Fix latest eap,2016-11-15,Closed,254,32,2,,1
Update README.md,2016-10-18,Merged,252,3,3,,0
"Add missing color schemes for Ruby, Python, Django, ERB, and SASS",2016-08-21,Merged,232,"1,224",6,,0
"Refactoring, target IntelliJ 15 (see #226), convert project to Gradle",2016-10-12,Merged,225,642,877,name xml iml zip md gradle jar properties ,16
Fix deadlock by using platform icon loader,2016-07-13,Merged,219,19,7,iml zip jar java ,6
Adding Latest Rubymine + Adding ES6 and ES to javascript icon class,2016-07-12,Closed,212,10,3,,2
Use better visible colors for diffs on default color scheme,2016-07-12,Merged,208,8,6,,1
#201 Clarify how to switch IDE theme in README,2016-07-12,Merged,202,2,1,,0
Fix 187 intellij crashing on launch,2016-05-07,Merged,188,367,0,css ,2
Fix diff separator color,2016-04-30,Merged,185,4,0,,2
fix possible NPE:,2016-04-07,Merged,176,6,3,,1
Update plugin zip package to v0.1.8,2016-03-10,Merged,168,1,1,zip ,2
Scheme update to fix #133 PHP parameter,2016-03-03,Merged,160,6,1,,1
Fixed vertical tabs highlight and PHP file icon association Regexp,2016-02-19,Merged,158,2,2,java ,2
Don't grab blade files with PHP regex,2015-12-08,Merged,129,2,2,,1
Update install steps in README,2015-11-01,Closed,85,3,3,,0
Adding Keyboard shortcut for one of the setup steps,2015-11-01,Closed,80,1,1,,0
Update README.md,2015-11-01,Closed,66,2,2,,0
initial active tab painting,2015-10-13,Merged,59,103,0,java ,2
Add PyCharm ad IDE supported,2015-10-13,Closed,58,2,1,,0
Darker and default theme improvements and better Java icon support,2015-10-17,Closed,50,676,38,png java ,32
Update DL link changed in #44,2015-10-10,Merged,49,2,2,,0
Update DL link changed in #44,2015-10-10,Closed,48,2,2,,0
Improvements in Java syntax support,2015-10-10,Merged,44,20,20,jar zip xml ,4
File icon lookup mechanism refactored,2015-10-10,Merged,43,430,235,iml jar java ,8
SpeacePeacock - Colors Variant,2015-10-08,Closed,26,"1,004",1,jar ,2
"Some fields and calls is unreadable in dark theme, using Android Studio.",2015-10-07,Closed,23,13,13,,1
IDEA files added and MTFileIconProvider refactored,2015-10-08,Closed,22,335,255,name xml jar iml ,12
java6 & better dependencies,2015-10-06,Merged,19,13,6,jar java ,4
