Ensure the focus stays in the editor after execAction for Firefox. #1496,2019-06-02,Merged,1497,6,0,,1
Ensure paragraph is selected for firefox. #1455,2019-06-02,Merged,1495,14,0,,1
Added list of options for the button,2018-11-01,Closed,1479,4,0,,0
Modify method name in comment,2019-05-04,Merged,1471,1,1,,1
Remove IE check,2018-04-17,Merged,1438,7,7,,1
Cleanup after ordered/unordered list item removal,2018-04-17,Merged,1437,54,7,,2
Cleanup after ordered/unordered list removal in Chrome,2018-04-16,Merged,1436,103,8,,2
Fixed custom class option checkbox,2018-02-27,Merged,1423,2,2,,1
fix null error on pastedPlain.split,2017-12-19,Merged,1397,4,0,,1
Fix broken browser tests,2017-12-19,Merged,1396,25,2,,3
Fix Jasmine Unit Test errors,2017-12-19,Merged,1385,17,15,,4
Buttons are not properly aligned in toolbar,2018-01-21,Closed,1375,2,1,,1
Do not check only for null targets or it will fail when it's undefined.,2017-09-28,Merged,1373,1,1,,1
Bug fix for #1369,2017-09-13,Merged,1370,1,1,,1
Update jsDelivr links,2017-09-05,Merged,1368,3,3,,1
Update jsDelivr links,2017-09-05,Merged,1367,2,2,,0
Update jsDelivr links,2017-09-05,Merged,1366,2,2,,0
fix crash when 'extensions' in 'isElementDescendantOfExtension' is undefined,2017-12-10,Merged,1362,4,0,,1
medium-editor-insert plugin css fixes on beagle theme,2017-08-16,Merged,1361,6,0,,1
add noopener & noreferrer into targetBlank,2017-07-27,Merged,1355,17,0,,3
Added undefined check and fallback in Paste extension,2017-07-28,Merged,1346,3,1,,1
Add label-checkbox relation in CreateLink form #1275,2017-06-26,Merged,1340,2,2,,1
remove src from bower ignored files,2017-05-09,Merged,1330,0,1,,1
Update paste.js,2017-05-03,Closed,1327,4,0,,1
Fix #1216 from previous PR #1217,2017-02-08,Merged,1293,62,5,,2
Update README + Add simple dev server for running locally,2017-02-08,Merged,1292,18,4,js json ,2
Adding new 'html' button from #1235,2017-02-07,Merged,1291,37,2,html js ,4
Update gh pages,2017-02-05,Merged,1289,136,32,js svg html jade ,6
Updated Readme,2017-01-26,Merged,1286,2,0,,0
Fix PR 1203,2017-01-19,Merged,1280,3,1,,1
WALKTHROUGH-BUTTON.md: Fix typo,2017-01-19,Merged,1279,2,2,md ,1
Editing the documetation/read-me #1276,2017-01-26,Closed,1277,2,"8,523",css ,6
Delete key,2017-01-02,Closed,1272,154,66,js ,5
Save some CPU calculations,2017-01-19,Merged,1271,4,5,,1
Demo Page: Adding links to all other demos,2017-01-19,Merged,1267,25,2,css ,3
Fix broken carousel,2017-01-19,Merged,1264,3,1,,1
Only add schemes to URLs with hostnames,2017-02-09,Merged,1258,76,10,,2
Don't encode fragment as part of linkValidation,2017-02-05,Merged,1257,34,4,,2
Fix for #1151,2016-11-24,Merged,1249,11,9,,1
Update WALKTHROUGH docs,2016-11-04,Merged,1243,3,3,,0
Fix-autolink Fixed problem of moving cursor when auto-linking,2017-01-19,Closed,1239,13,0,,1
Eval html toolbutton,2017-02-06,Closed,1235,34,1,,3
Removed obsolete code,2016-10-19,Closed,1233,1,1,,1
Efficiency: Compile RegEx once,2016-10-11,Merged,1230,6,4,,1
Fixes an issue where while a user is holding down delete and clicks around both in and out of the content editable the node is null.,2017-02-10,Closed,1225,7,2,,1
fix #1221 commonJS/electron environment detection,2016-09-29,Merged,1223,1,1,,1
support encoded urls,2016-09-21,Merged,1219,113,8,,2
#1216 issue fix,2017-02-08,Closed,1217,135,77,,2
Fix paste blur,2018-06-05,Closed,1213,36,7,,2
Stops mouseout errors on hover over anchors,2017-02-10,Closed,1204,4,0,,1
Check for this.anchorPreview when hiding,2017-01-19,Closed,1203,3,1,,1
Fuseboard,2016-09-03,Merged,1198,4,1,html jade ,9
Fix #1156 - placeholder text color in flat theme,2016-08-22,Merged,1192,1,1,,1
Update landing page,2016-08-21,Merged,1189,94,29,pxm html css jade ,11
Add new extensions to extensions README,2016-08-26,Merged,1188,12,4,,0
remove first empty paragraph on backspace,2016-08-19,Merged,1187,27,0,,2
update grunt-contrib-jasmine,2016-08-19,Merged,1185,1,1,,1
Added Embed Button links to Readme.md,2016-08-19,Merged,1183,2,0,,0
fixed iframe div,2016-08-22,Merged,1179,29,23,,1
Added unwrapTags option to paste extension,2016-08-20,Merged,1177,47,9,js ,3
Add option to disable tab key.,2017-02-28,Closed,1176,8,1,js ,1
add external button example,2016-08-11,Merged,1175,2,0,,0
"Fix #1173: When caret is at the end of Div and you press enter, create p not a Div",2017-02-08,Closed,1174,13,0,,1
handle new google docs font weights,2016-08-04,Merged,1168,12,2,,2
add regex to clean font tag provided by word / open office on paste,2016-08-20,Closed,1163,4,1,,1
"when caret is at the end of blockquote and you press enter, create paragraph, not another blockquote",2016-07-30,Merged,1162,43,0,,2
Fix #224 and #857 - toolbar in absolute container,2016-07-21,Merged,1152,193,18,js ,5
add label[for] and input[id] for anchor form,2016-07-19,Closed,1147,12,12,,1
add label[for] and input[id] for anchor form,2016-07-15,Closed,1146,12,12,,1
fix anchor labels for targetCheckbox and customClassOption,2016-07-15,Closed,1144,6,4,,1
Make linkValidation allow hash links,2016-07-20,Merged,1143,33,1,,2
#1135 | Target Blank for Anchor tag not working properly,2016-07-07,Closed,1136,11,0,,1
#1127 | Placeholder is visible when only empty table is in Editor.,2016-06-21,Merged,1128,7,1,,2
#1123 Fixes issue with electron environment,2016-06-20,Merged,1125,2,1,,1
Fixes for paste and placeholder extensions + add/remove element events,2016-06-20,Merged,1124,127,20,js ,7
Improve documentation for toolbar.relativeContainer option,2016-06-14,Merged,1122,12,2,,0
Fix slow CSS selector,2016-06-06,Merged,1115,12,5,scss ,4
Fix test failure in Chrome 51,2016-06-06,Merged,1114,1,1,,1
Fix #234 - Cursor rendering incorrectly in firefox,2016-06-17,Merged,1113,32,3,scss ,3
Fix #1105 - Fix bug with anchor-preview when clicked,2016-06-02,Merged,1112,5,2,,2
Support any extension preventing blur of editor (Fix #830),2016-06-02,Merged,1108,102,24,md ,5
Changes at Package JSON,2016-06-01,Merged,1107,5,3,,1
documented the showOnEmptyLink option,2016-06-01,Merged,1106,8,0,,0
Fix #719 - Respect form.reset for textarea elements within forms,2016-06-01,Merged,1104,145,5,js ,3
Add getContent method (Fix #492),2016-06-01,Merged,1103,43,4,js ,2
Expose method for getting editor instance from an element,2016-05-31,Merged,1102,137,20,js ,4
Allow preview to be shown on empty links,2016-05-26,Merged,1100,26,2,,2
Fix #1098 - editablePaste not triggering on keyboard paste,2016-05-27,Merged,1099,79,1,,3
Fix failures from new tests in IE & Edge,2016-05-21,Merged,1095,30,0,,1
Deprecate some execAction and createLink options,2016-05-21,Merged,1094,46,0,,2
Update API.md with more details about arguments,2016-05-21,Merged,1093,74,2,,0
Fix null pointer during the cleanupElement event,2016-05-18,Merged,1089,3,1,,1
Allow passing options to 'non-medium' commands,2016-05-21,Closed,1088,1,1,,1
Ensure #869 is fixed,2016-05-17,Merged,1087,"1,045",2,,0
execActionInternal should pass opt to document.execCommand if action …,2016-05-21,Merged,1086,74,26,,6
Fix #942 - Expose method to check for changes to html,2016-05-07,Merged,1077,85,9,html js ,3
fix typo,2016-04-22,Merged,1070,1,1,,0
Add issue and PR templates,2016-04-18,Merged,1062,38,0,,0
Fix #1057 - replace break-all with break-word,2016-04-14,Merged,1058,1,1,,1
Fix #994 - Prevent Firefox NS_ERROR_FAILURE: on keyup,2016-04-10,Merged,1052,103,69,,2
Fix #1047 - Add 'positionedToolbar' custom event,2016-04-12,Merged,1050,127,36,js ,4
Support function chaining in event functions and allow multiple targets when adding event listeners,2016-04-08,Merged,1046,69,20,js ,3
Fix IE CSS bugs,2016-04-08,Merged,1043,3,0,,1
Add/remove elements to existing instance,2016-05-16,Merged,1038,861,155,html ,1
Fix failing anchor test,2016-03-30,Merged,1033,22,6,,1
Updated test - Made the diff between input and validUrl only spaces,2016-03-30,Closed,1030,1,1,,1
Add directions for running external fork PRs in SauceLabs,2016-03-30,Merged,1029,34,10,json ,1
merge yaw/medium-editor,2016-03-28,Merged,1026,2,2,,1
Fix 1014 - Convert spaces to %20 in links if linkValidation is true for the anchor extension,2016-03-29,Merged,1025,39,3,js ,2
Dynamic add elements,2016-04-01,Closed,1024,582,38,md html ,2
Use innerHTML in Events.updateInput() function only once to improve performance,2016-03-25,Merged,1022,5,3,,1
Fix #994 - Prevent Firefox NS_ERROR_FAILURE: on keyup,2016-04-10,Closed,1020,1,1,,1
Update extensions on landing page,2016-03-24,Merged,1019,121,21,,0
Adding clearSelection method to selection.js,2016-03-24,Merged,1018,40,0,,2
Use function as keyboard command,2016-03-25,Merged,1017,40,1,,2
Fix anchor showform,2016-03-20,Merged,1012,1,1,,1
Fix anchor showform,2016-03-14,Closed,1011,50,11,js ,5
Added support for multiple instances of contenteditable areas on the …,2016-03-10,Closed,1009,137,31,css js ,6
Add Butter CMS,2016-03-08,Merged,1004,126,51,md js png html jade ,6
Destroy ie autolinks,2016-03-08,Merged,1001,45,1,,2
Update OS X to 10.11 in Sauce Labs,2016-02-27,Merged,996,5,2,,1
Remove hardcoded inlined display style for anchor editor,2016-02-29,Merged,995,51,5,scss ,4
Fix #992,2016-02-25,Merged,993,114,20,,4
Integration for #990,2016-02-25,Closed,991,37,13,,2
Fix for #985,2016-02-25,Merged,990,59,17,,2
Documentation of placholder-option 'hideOnClick',2016-02-23,Merged,989,17,3,,0
handle extra space when space already exists 🚧,2016-02-21,Merged,987,20,1,,2
Fix #834 - Don't call formatblock when cursor is within block element,2016-02-23,Merged,986,54,9,,2
core.clearSelection,2016-03-24,Closed,984,10,0,,1
ImageDragging insert image at the end of dropping target,2016-02-18,Merged,981,6,1,,1
Demo Page updates,2016-02-14,Merged,975,855,265,md ,1
Fixed missing `editableInput` event on autolinking,2016-02-23,Merged,974,15,0,,2
Better Paste Handling,2016-05-07,Merged,973,536,53,,2
add instruction to disable file dragging all together,2016-02-12,Merged,971,12,0,,0
fix for #939 🔨,2016-02-12,Merged,967,73,0,,4
