Move Canary Note,2019-12-31,Merged,424,3,3,,0
Add ZEIT Now Disclaimer,2019-11-29,Merged,421,2,0,,0
Update README.md,2019-09-16,Merged,416,4,0,,0
Remove usage of now from socket.io examples,2019-09-08,Closed,413,1,13,,0
Bump `raw-body` version,2019-07-22,Merged,411,42,36,lock ,2
Bump `raw-body` version,2019-07-22,Merged,410,52,31,lock ,2
"Revert ""Bump `raw-body` version (#408)""",2019-07-22,Merged,409,36,42,lock ,2
Bump `raw-body` version,2019-07-22,Merged,408,42,36,lock ,2
Boot up http server in cli,2019-07-01,Merged,406,2,2,js ,2
Add .d.ts for TypeScript compatibility,2019-05-13,Merged,401,18,1,json ,2
Automatic publishing,2019-05-12,Merged,400,"4,119","1,126",Dockerfile ,2
Add new programmatic usage,2019-05-11,Merged,399,18,10,js ,4
Bring in is-stream,2019-05-02,Merged,397,47,3,json lock ,4
Decrease install size,2019-05-02,Merged,396,33,65,md json lock ,5
Decrease install size,2019-05-02,Merged,395,33,65,md json lock ,5
Automatically set Content-Length 0 if 204 status,2019-05-08,Closed,389,4,0,,1
Automatically set Content-Length 0 if 204 status,2019-02-25,Closed,387,15,0,,2
Fix #369 - New Response Type,2019-07-22,Closed,383,"3,986","3,779",json gitignore Dockerfile md js ,7
Typescript migration,2018-12-27,Closed,382,297,194,js json ts ,7
remove unused argument for sendError,2018-12-12,Closed,381,5,5,js ,2
convert getURL fn to more ergonomic one liner,2018-12-12,Merged,375,1,5,,1
chore(examples/with-https): using destructuring,2018-09-14,Merged,372,2,6,,1
Updated link to Spectrum,2018-08-09,Merged,370,1,1,→ LICENSE md ,1
Listen to process.env.PORT || 3000,2018-12-12,Closed,367,1,1,,1
Update dependencies to enable Greenkeeper 🌴,2018-05-29,Closed,365,25,10,md ,3
Add badge to display install size,2018-05-29,Merged,362,1,0,,0
errors: fix invalid socket title,2018-05-15,Merged,361,1,1,,0
Added hint about the port to example,2018-05-15,Merged,358,1,1,,1
Allow listening on multiple endpoints,2018-04-24,Merged,356,260,95,json ,4
Move to CircleCI,2018-04-24,Merged,355,19,32,dockerignore Dockerfile json md lock ,6
Added our linting setup,2018-04-24,Merged,354,"1,195","1,790",gitignore js ,6
Add support for `--unix-socket`,2018-04-23,Merged,353,170,19,md lock ,2
Remove unnecessary async/await from readme,2018-04-16,Closed,351,2,2,,0
Avoid printing errors in test,2018-12-03,Closed,349,7,0,,1
Update readme wording,2018-04-03,Merged,348,1,1,,0
Splat listen() args to only specify host when supplied,2018-03-10,Merged,347,6,2,,1
Create handler test file and test promise cases,2018-03-28,Merged,346,69,0,js ,6
Create snapshot test for CLI help,2018-03-28,Merged,345,29,0,md snap ,2
Remove unused var from with-graphql example,2018-02-14,Merged,342,1,1,,1
Lint Socket.IO Example,2018-02-14,Merged,341,23,26,json ,2
Create README file for https example,2018-02-14,Merged,340,27,0,,0
[WIP] feat: support es6 module default export,2018-01-19,Merged,336,1,1,,1
Make it possible to export a promise that will eventually be a function,2018-01-08,Merged,335,"4,422",17,,2
Tim is at ZEIT!,2017-12-17,Merged,332,1,1,,0
Update index.js,2017-12-02,Merged,330,1,1,,1
Replace exponential operator with Math.pow as it causes errors,2017-11-20,Merged,328,1,1,,1
detect error parameter instance type and console accordingly,2017-11-20,Merged,327,30,7,,2
just testing,2017-11-10,Closed,324,1,0,,0
Use `Number.isNaN` instead of `global.isNaN`,2017-11-03,Merged,322,4,3,,1
Add port type and range validation to micro.,2017-11-02,Merged,320,23,1,md ,1
Replace media-typer module with content-type,2017-10-20,Merged,316,3,3,json ,2
Remove console logging error stacks,2017-11-20,Closed,315,0,35,,2
ci: `.yml` file should be written in proper `.yml` syntax,2017-09-24,Closed,313,5,7,,1
Don't recommend installing async-to-gen globally,2017-09-13,Merged,311,1,1,,0
Bumped dependencies to the latest version,2017-09-12,Merged,310,369,263,,0
Simplified `sendError` method,2017-09-07,Merged,307,2,7,,1
HTTP `error` should be `status` code in `readme.md`,2017-08-26,Merged,303,1,1,,0
Set encoding to utf-8 for JSON response,2017-09-12,Merged,302,10,1,,2
Added support for abstract streams,2017-08-31,Merged,299,62,61,json ,3
"Show hint, if error is about async on older Node.JS",2017-08-17,Merged,298,7,16,,1
Fix-up example in `body parsing` section,2017-08-17,Merged,297,2,1,,0
Close HTTP service in testing section safely,2017-08-08,Merged,293,1,0,,0
Simplify bin flags,2017-08-01,Merged,291,5,3,,1
