fix #550,2019-10-07,Merged,551,2,5,,1
docs: mention scala2.12 distros,2019-08-15,Merged,549,20,2,,0
Error handing fixes,2019-07-24,Merged,547,52,33,py scala ,10
Complete doobie migration,2019-04-01,Merged,542,414,533,groovy scala sbt conf ,7
Doobie integration,2019-03-04,Merged,541,630,19,sbt sql conf scala ,11
Fix #538,2019-02-14,Merged,540,2,2,,1
[feature/aws_setup] Fix dependency on default VPC and avoid recreating ingress rule.,2018-11-29,Merged,532,15,11,,1
fix worker jar url for cluster mode,2018-11-12,Merged,529,74,8,,3
"Prepare to Spark 2.4.0, scala 2.12 support",2018-11-08,Merged,527,154,65,conf groovy scala sbt ,10
aws emr preview - docs,2018-10-01,Merged,524,62,0,md ,1
manual starter - …,2018-09-21,Merged,522,2,1,,1
job cancellation,2018-09-21,Merged,521,63,15,,2
job execution - fix error message building,2018-09-21,Merged,520,3,7,,1
JobActor - suppress ConnectionTerminated messages,2018-09-21,Merged,519,100,2,,3
http - fix put method handler for function update,2018-09-20,Merged,518,38,2,,2
Fix/info provider startup fix,2018-09-17,Merged,517,26,14,,2
Fix/spark context init,2018-09-09,Merged,516,89,68,scala sbt ,11
networking - separate binding host and public host,2018-09-06,Merged,515,72,55,scala sbt ,7
fix enableHiveSupport for spark 2.3.0+,2018-08-29,Merged,514,8,2,,2
exclusive worker mode as default,2018-08-23,Merged,513,121,29,conf scala ,3
restart function info provider process,2018-08-18,Merged,512,106,7,,2
docker - remove libmesos.so,2018-08-16,Merged,511,0,3,,1
mqtt - enable auto reconnect,2018-08-16,Merged,510,1,0,,1
Fix #501 - provide full stack traces from job invocation errors,2018-07-26,Merged,508,6,3,,1
Chore/delete methods,2018-07-26,Merged,507,285,170,scala ,9
library- add encoder for List,2018-07-26,Merged,506,1,0,,1
Update icons,2018-07-24,Merged,505,0,0,,12
Fix #503 - handle DELETE /v2/api/jobs/{id},2018-07-19,Merged,504,14,1,,2
Added some fields to ws initialized event,2018-07-09,Merged,500,5,5,,4
arg with default value shouldn't ignore input value with invalid type,2018-06-21,Merged,497,11,4,,2
Fix -  remote logs stream closes during `finalize` of AppenderSkeleton,2018-06-21,Merged,496,1,1,,1
Feature/expose job timeouts,2018-06-20,Merged,495,135,50,scala ,11
