Disable failing spanish datetime test,2020-01-13,Merged,2451,1,1,,1
Add TTS tests,2020-01-13,Merged,2450,964,605,,12
Add setting for padatious single_thread in mycroft.conf,2020-01-07,Merged,2448,9,5,py ,2
Prepare for gTTS 2.1.0,2020-01-06,Merged,2447,1,1,,1
Add self.root_dir to readthedocs documentation,2020-01-06,Merged,2446,3,0,,1
Add test cases for the translate methods,2020-01-07,Merged,2443,76,0,list value template ,11
Fix documentation mistake,2019-12-26,Merged,2441,1,1,,1
The command to run unittests was wrong documented,2020-01-03,Merged,2440,1,1,,0
Make venv-activate.sh compatible with sh and zsh,2020-01-03,Merged,2439,1,1,,1
Bugfix/settings sync,2019-12-20,Merged,2433,27,3,,2
clean up nice_duration handler,2019-12-18,Merged,2432,9,10,,1
Switch to the messagebus client module,2019-12-16,Closed,2428,17,474,,4
Fix typo in MycroftSkill documentation,2019-12-16,Merged,2427,1,1,,1
Fix incorrect porcupine shutdown,2019-12-12,Merged,2424,2,2,,1
Disregard DEBUG entry in CLI filter,2019-12-09,Merged,2421,3,2,,1
Make sure hotword entry has phonemes and threshold,2019-12-09,Merged,2418,76,12,,2
Workaround for gui connection,2019-12-07,Merged,2416,12,0,,1
Fix --clean option of dev_setup.sh,2019-12-06,Merged,2414,1,1,,1
"Fix extractnumber_en failure on ""%"" (#2110)",2019-12-07,Merged,2413,2,1,,2
use default python version on redhat,2019-12-07,Merged,2412,1,1,,1
Fallback to 'en-us' when resource fails,2019-12-05,Merged,2411,15,2,,1
Upgrade msk to 0.3.14,2019-12-05,Merged,2410,1,1,,0
Restore Ctrl+C exit of simple CLI,2019-12-03,Merged,2409,5,5,,2
readd fedora installation,2019-11-30,Merged,2406,5,0,,1
improve test runtime,2019-12-02,Merged,2405,7,9,,1
Remove cryptography dependency,2019-12-04,Merged,2404,0,1,,0
Fixing dev_setup.sh for Arch Linux,2019-12-05,Merged,2403,2,1,,1
improve runtime,2019-11-29,Merged,2402,25,38,,1
Add --clean option to dev_setup.sh,2019-12-03,Merged,2401,34,0,,1
Fix broken test case on Python 3.8,2019-12-05,Merged,2400,13,5,py ,2
Upgrade readthedocs build,2019-12-16,Merged,2399,21,4,py txt ,2
Dina al bassam patch 1,2019-11-27,Closed,2398,"2,631",132,mycroft/client/speech/recognizer/model/ar-sa/hmm/README params mycroft/client/speech/recognizer/model/ar-sa/hmm/mdef mycroft/client/speech/recognizer/model/ar-sa/hmm/means mycroft/client/speech/recognizer/model/ar-sa/hmm/noisedict mycroft/client/speech/recognizer/model/ar-sa/hmm/sendump mycroft/client/speech/recognizer/model/ar-sa/hmm/transition_matrices mycroft/client/speech/recognizer/model/ar-sa/hmm/variances conf word dialog voc json txt ,42
cleanup python2 unicode,2019-11-27,Merged,2396,246,283,,17
Fix using of hotword structure for custom wakeword,2019-12-03,Merged,2395,11,8,,1
Update adapt,2019-12-02,Merged,2394,1,1,,0
Feature/geolocation api,2019-11-26,Merged,2393,34,9,,4
Issue 2120 - Fallback to 'en-us' when resource loading fails,2019-12-05,Closed,2392,37,3,,2
Upgrade requirements to eliminate Pytest warnings,2019-11-20,Merged,2391,2,2,,0
Cleanup of package install section of dev_setup,2019-11-21,Merged,2390,60,30,,1
Bugfix/audioservice mimetypes,2019-11-19,Merged,2389,9,0,,1
Adding pulseaudio dependencies,2019-11-19,Merged,2388,2,2,,1
add some more time idioms,2019-11-27,Merged,2386,114,99,,3
Adds rudimentary Dutch parsing support,2019-11-15,Merged,2385,"1,925",6,,1
Master,2019-11-13,Closed,2384,"1,925",6,,1
Drop Python 3.4 support,2019-11-07,Merged,2381,2,7,txt ,1
Bump pillow from 4.1.1 to 6.2.0,2019-11-04,Closed,2379,1,1,,0
Use specific date in the past during the test,2019-11-01,Merged,2378,1,1,,1
frames to read must be greater than 0,2019-11-01,Merged,2377,1,1,,1
Fix Shutdown of removed skills,2019-11-07,Merged,2376,12,11,,1
Fix reference leak when using bus.remove_all_listeners,2019-11-07,Merged,2375,51,2,,5
Fallback to Mimic if launch of TTS fails,2019-10-29,Merged,2374,15,3,,1
add *.log into gitignore,2019-10-29,Closed,2373,1,0,,1
Speech client error handling,2019-10-31,Merged,2372,45,9,,3
Speed up the send command,2019-10-29,Merged,2371,53,32,,3
Stabilize skill settings download,2019-12-18,Merged,2370,108,37,txt ,4
Feature/restart mic,2019-10-20,Merged,2368,48,5,,2
"Added ""found_wakeword"" event to message bus",2019-11-11,Merged,2367,9,8,,2
Send listen flag for special picroft case as well,2019-10-18,Merged,2366,1,1,,1
Lock mic mute unmute,2019-10-20,Merged,2365,34,31,,1
"BUGFIX parsing of ""this quarter of an hour""",2019-11-04,Merged,2364,0,2,,1
Bug/listen arg,2019-10-10,Merged,2361,6,6,,3
Bug/audio end missing arg,2019-10-10,Merged,2360,2,2,,1
Make skill's logging visible in tester,2019-10-10,Merged,2359,6,0,,1
make os_is_like handle multiple values,2019-10-21,Merged,2358,1,1,,1
fix bug in isFractional_es and improve coverage,2019-10-14,Merged,2356,144,13,,2
[WIP] Add test for CommonPlaySkill,2019-11-26,Closed,2355,45,0,,1
Add missing __delitem__ method,2019-10-07,Merged,2354,10,0,,2
Remove event before running event handler,2019-10-07,Merged,2353,1,1,,1
Fixed some readme errors for #hacktoberfest,2019-10-11,Merged,2352,2,2,,0
Send listen on last sentence of utterance,2019-10-08,Merged,2351,47,26,,2
Mycroft AI,2019-10-10,Closed,2349,923,268,yml sh py ,5
"Fix extractnumber_es, add extract_numbers_es",2019-10-04,Merged,2347,40,4,,3
"fix bug, redundancy in parse_en; improve coverage",2019-10-07,Merged,2346,74,14,,2
Feature/mic listen direct,2019-10-03,Merged,2345,79,67,,4
Add support for KDE Neon,2019-11-20,Closed,2344,1,1,,1
add default value to nice_number param,2019-10-04,Merged,2342,40,12,,12
Fix clearing of once events,2019-10-01,Merged,2338,6,2,,2
Remove duplicate load of skill settings,2019-10-03,Merged,2336,3,4,,1
Fixes index error in parse_en.extract_datetime(),2019-09-30,Merged,2335,3,1,,2
gitignore vscode workspace and html coverage data,2019-09-30,Merged,2334,2,0,,1
Exception logging for AudioProducer,2019-09-30,Merged,2331,11,6,,1
Nice duration fix,2019-10-02,Merged,2330,480,74,,0
Remove ntp sync reboot,2019-09-25,Merged,2326,10,46,,1
Fix TestSettings,2019-09-27,Merged,2325,4,4,,1
Replace custom logger with logger instance,2019-12-12,Closed,2324,68,125,,5
Catch inspect error in logger,2019-09-25,Merged,2323,17,12,,1
Update version number in preparation for 19.08,2019-09-23,Merged,2321,2,2,,1
Bugfixes/skills manifest,2019-09-20,Merged,2320,32,14,,6
Stop settingmeta upload on skill shutdown,2019-09-19,Merged,2319,12,1,,2
add 'affirmative' to yes vocab,2019-09-19,Merged,2318,1,0,,1
Add muted state to mic_level for mic watchdog,2019-09-25,Merged,2317,15,10,,2
Add a safety harness in skill_manager main loop,2019-09-18,Merged,2316,11,5,,1
Fix 404 when first retreiving skill settings,2019-09-23,Closed,2315,27,6,,2
Restructure to get skill_gid after startup,2019-09-18,Merged,2314,18,15,,3
Apply skill uuid directly after reload from disk,2019-09-18,Merged,2313,17,12,,1
settingsMeta API call to be issued without a device ID in the URL.,2019-09-18,Merged,2312,38,15,,2
Catch all exceptions from upload device info,2019-09-17,Merged,2311,1,2,,1
Fix import of mplayer,2019-10-16,Closed,2309,2,1,txt ,1
Handle HTTP errors when updating device attributes,2019-09-16,Merged,2306,2,1,,1
