Add legal discontinuation notice,2019-05-22,Merged,468,2,0,,0
Update tox_requirements.txt,2019-04-18,Merged,466,2,2,,0
Update requirements to use jinja 2.8.1,2019-04-10,Closed,465,1,1,,0
MKL build for Windows(msys64),2017-11-17,Closed,407,79,24,neon/backends/mklEngine/Makefile bat py ,6
docker with MKL,2017-10-16,Closed,403,1,0,,1
Resolves issue #401,2017-10-16,Closed,402,1,1,,1
docfix code-block directive renders as serif font on linux oses; fix …,2017-10-02,Closed,399,2,2,,1
Fix regexp left brack escape for Perl 5.26,2017-11-18,Closed,397,1,1,,1
Add dist to .gitignore,2017-09-26,Closed,396,1,0,,1
Raise ValueError on shape mismatch in CrossEntropyBinary,2017-09-26,Closed,395,7,1,,1
Documentation of examples and minor modifications to scripts.,2017-08-16,Closed,392,255,17,py ,5
Fixed use of reset_cells hyperparameter in examples/imdb_lstm.py,2017-10-02,Closed,391,14,4,py loader/Makefile ,3
Makefiles now check for virtualenv and pkg-config.,2017-08-17,Closed,383,10,0,loader/Makefile ,2
fix duplicate dir name when saving image in examples/cifar10_msra/data.py,2017-10-16,Closed,380,1,1,,1
Documentation_update,2017-09-27,Closed,378,5,4,rst ,1
Clean cifar10 docs,2017-11-27,Closed,377,1,1,,1
Implement Randomized Leaky ReLU,2017-10-02,Closed,373,24,12,,2
Fix missing links in api.rst.,2017-05-04,Closed,366,5,11,py ,2
Fixed docstring for --datatype option.,2017-05-04,Closed,357,1,1,,1
"More general perl shebang, allow to build with numpy 1.12",2017-05-04,Closed,356,6,6,py ,3
Replace `os.path.join` with `'/'.join`,2017-05-04,Closed,351,1,1,,1
replace `type is` check with `isinstance` check,2017-02-08,Closed,348,2,2,,1
Add test only for cpu,2017-10-02,Closed,343,218,80,,3
put const calculation out from loop,2017-10-02,Closed,340,1,1,,1
use xrange based range,2017-11-02,Closed,339,22,20,py ,10
fix documentation errors,2016-12-29,Closed,331,18,4,md ,4
fixed typo in data loading docs,2016-11-21,Closed,319,1,1,,1
"Fix a typo in the doc ""Convolutional Neural Network example""",2016-11-21,Closed,315,1,1,,1
fix incorrect comments for deconv_layer in cpu backend,2016-09-21,Closed,301,15,14,,1
fix conv/deconv tests for CPU execution and fix i32 data type,2016-09-06,Closed,291,14,4,,2
Fix broken link in mnist docs,2016-09-06,Closed,284,1,1,,1
Fix for PrecisionRecall.__call__ unexpected calcrange kwarg,2016-07-15,Closed,268,1,1,,1
python3 compatibility changes,2016-06-22,Closed,256,7,7,,3
"add prototype installdeps.sh, works for ubuntu 16.04",2017-11-23,Closed,247,36,0,,1
Updating API in MNIST tutorial,2016-06-22,Closed,225,1,1,,1
Give information about depth if present when printing Convolution layers,2016-04-13,Closed,222,17,6,,1
Add support for FreeBSD,2016-04-13,Closed,219,4,0,,1
Update tutorials.rst,2016-03-17,Closed,215,1,1,,1
Fix typos in `tests` module (except `backend.py`).,2016-03-08,Merged,211,22,22,,20
Fix typos in comments and strings in `examples` module.,2016-03-04,Closed,209,7,7,md ,6
small typo in docstring for pool_layer (str_d -> str_j),2016-03-04,Merged,207,1,1,,1
Merge pull request #1 from NervanaSystems/master,2016-02-26,Closed,205,0,0,,0
"Correct ""validation_freq"" to ""eval_freq""",2016-01-30,Merged,190,1,1,,1
Add Docker images to docs,2016-01-14,Merged,187,9,0,,1
Update loader Makefile,2016-01-13,Closed,181,1,1,,1
check next_error's shape consistant with output,2016-01-31,Closed,174,3,0,,1
Support transpose in autodiff,2016-01-31,Closed,173,49,28,,4
PreTrained initializer,2016-03-29,Closed,167,42,1,py ,4
PreTrained initializer,2015-12-19,Closed,166,42,1,py ,4
PreTrained initializer,2015-12-19,Closed,165,217,3,py ,7
Parameter alpha is not found in Explin,2015-12-16,Closed,164,2,1,,2
Quick fix for the DeconvCallback,2015-12-16,Closed,162,4,4,,1
Masked data iterator,2015-12-19,Closed,149,175,2,,3
Precision Recall callback and metrics fixes #147,2015-12-17,Closed,148,111,0,,2
image: Allow undefined global_mean in ImageEndpoint,2015-11-18,Merged,140,2,1,,1
Allow subclassing BatchWriter,2015-11-18,Merged,137,13,13,,1
Fix for #122,2015-11-16,Closed,136,3,2,,1
Instruction error in bin/neon,2015-11-08,Closed,133,1,1,,1
Makefile changes to simplify builds for default CUDA installations,2015-11-18,Merged,132,18,0,,1
Fix Callback parameter in IMDB LSTM example,2015-11-03,Merged,130,1,1,,1
Bug fix in bin/neon,2015-11-02,Merged,127,1,1,,1
Filled in variable name in declaration line,2015-11-02,Closed,123,2,2,,1
Add the patch to C-interface for the modified interface of the gemm kernels.,2015-10-19,Closed,120,6,4,,1
Possibility to print the model. Closes #113,2015-10-13,Closed,114,5,2,,1
Add python-dev to the list of requirements.,2015-10-12,Merged,101,1,1,,1
Fix bug in examples/text_generation_lstm.py,2015-09-16,Merged,92,1,1,,1
The name is Graves.,2015-09-12,Merged,87,2,2,,1
[WIP] Adam optimizer,2015-09-09,Closed,67,103,2,,6
Prints validation metric. Closes issue #56.,2015-07-28,Closed,61,168,4,py ,4
Adds split_set to datasets. Closes issue #57 including comments from #58,2015-07-20,Closed,60,153,2,py ,11
Adds split_set to datasets. Closes issue #57,2015-07-15,Closed,58,71,0,,3
fix broken link in README,2015-06-03,Merged,46,1,1,,0
fix `sudo make install` on ubuntu with GPU enabled,2015-05-22,Closed,38,5,3,,1
Adds CIFAR100. Closes #28 and comments in #29.,2015-05-18,Merged,31,23,8,yaml py ,6
Added CIFAR100 loader. Closes issue #28.,2015-05-18,Merged,29,168,0,,3
Update readme with Docker images. Addresses issue #24.,2015-05-18,Merged,27,4,0,,0
Adds Docker images for CPU and CUDA environments.  Closes issue #24,2015-05-16,Closed,25,209,0,rst sh docker/neon-cpu/Dockerfile docker/neon-cuda/Dockerfile ,7
Change GPU check to CUDA SDK check. Closes issue #19,2015-05-11,Merged,20,1,1,,1
Update readme with correct using neon link,2015-05-06,Merged,13,1,1,,0
LReLU,2015-03-24,Merged,5,14,15,,0
