remove workflow file that is not being used,2020-01-10,Merged,2254,0,11,,1
Clean up GitHub actions because they are not being used,2020-01-10,Closed,2253,0,82,yml ,1
LEGO: Pull request from lego/hb_935_20200107160025223 to master,2020-01-07,Merged,2252,4,4,,2
LEGO: Pull request from lego/hb_935_20200106041608994 to master,2020-01-06,Merged,2250,6,6,,2
Add action,2019-12-06,Merged,2248,11,0,,1
Create workflow to lint templates,2020-01-10,Closed,2247,"2,066",12,eslintrc yml gitignore ,4
LEGO: Pull request from lego/hb_935_20191114220029883 to master,2019-11-14,Merged,2246,2,2,,2
Update templates to be lint-clean under new default config,2019-11-08,Merged,2245,17,17,ts ,7
LEGO: Pull request from lego/hb_935_20191016220030998 to master,2019-10-16,Merged,2244,6,6,,2
LEGO: Pull request from lego/hb_935_20191014160025403 to master,2019-10-14,Merged,2243,8,8,,2
LEGO: Pull request from lego/hb_935_20191014040029948 to master,2019-10-14,Merged,2242,8,8,,2
LEGO: Pull request from lego/hb_935_20191013040028402 to master,2019-10-13,Merged,2241,6,6,,2
LEGO: Pull request from lego/hb_935_20191011220034433 to master,2019-10-11,Merged,2240,8,8,,2
LEGO: Pull request from lego/hb_935_20191009160027601 to master,2019-10-09,Merged,2239,2,2,,2
LEGO: Pull request from lego/hb_935_20191004220036398 to master,2019-10-04,Merged,2236,2,2,,2
Fixed project properties that are not marked as dirty when edited,2019-10-04,Merged,2234,5,0,,1
LEGO: Pull request from lego/hb_935_20191002160026115 to master,2019-10-02,Merged,2233,2,2,,2
LEGO: Pull request from lego/hb_935_20191001160029122 to master,2019-10-01,Merged,2232,2,2,,2
Updating the Readme.MD,2019-09-19,Merged,2231,7,10,,0
LEGO: Pull request from lego/hb_935_20190917160027466 to master,2019-09-17,Merged,2229,6,6,,2
LEGO: Pull request from lego/hb_935_20190909220043911 to master,2019-09-09,Merged,2228,4,4,,4
LEGO: Pull request from lego/hb_935_20190906220033758 to master,2019-09-06,Merged,2227,2,2,,2
Updated VsSDK Preview Nuget feed,2019-09-04,Merged,2226,1,1,,1
Changed how unit tests shows on the Test Explorer,2019-08-29,Merged,2225,295,304,js ,5
Updated template tags,2019-08-05,Merged,2224,63,0,,15
Added tags for Vue templates,2019-08-02,Merged,2223,6,0,,2
LEGO: Pull request from lego/hb_935_20190802213439722 to master,2019-08-02,Merged,2222,130,52,,12
DISREGARD Test PR for Validation,2019-08-02,Closed,2221,1,0,,1
LEGO: Pull request from lego/hb_935_20190802160054816 to master,2019-08-02,Closed,2220,130,52,,12
LEGO: Pull request from lego/hb_935_20190802100059585 to master,2019-08-02,Closed,2219,130,52,,12
LEGO: Pull request from lego/hb_935_20190802040103049 to master,2019-08-02,Closed,2218,130,52,,12
LEGO: Pull request from lego/hb_935_20190801220059341 to master,2019-08-02,Closed,2217,130,52,,12
LEGO: Pull request from lego/hb_935_20190801160059032 to master,2019-08-02,Closed,2216,130,52,,12
LEGO: Pull request from lego/hb_935_20190801100107218 to master,2019-08-02,Closed,2215,130,52,,12
LEGO: Pull request from lego/hb_935_20190801040103077 to master,2019-08-02,Closed,2214,130,52,,12
LEGO: Pull request from lego/hb_935_20190731220058599 to master,2019-08-02,Closed,2213,130,52,,12
LEGO: Pull request from lego/hb_935_20190731160055735 to master,2019-08-02,Closed,2211,130,52,,12
LEGO: Pull request from lego/hb_935_20190731100058938 to master,2019-08-02,Closed,2210,130,52,,12
LEGO: Pull request from lego/hb_935_20190731040052795 to master,2019-08-02,Closed,2209,130,52,,12
LEGO: Pull request from lego/hb_935_20190730220106177 to master,2019-08-02,Closed,2208,130,52,,12
Removed typo from Vue package.json,2019-07-30,Merged,2207,1,1,,1
LEGO: Pull request from lego/hb_935_20190730100102740 to master,2019-08-02,Closed,2206,130,52,,12
LEGO: Pull request from lego/hb_935_20190730040057993 to master,2019-08-02,Closed,2205,130,52,,12
Fixed ordinal case when renaming,2019-07-30,Merged,2204,2,6,,1
LEGO: Pull request from lego/hb_935_20190729220100190 to master,2019-08-02,Closed,2203,130,52,,12
LEGO: Pull request from lego/hb_935_20190729160059871 to master,2019-08-02,Closed,2202,130,52,,12
LEGO: Pull request from lego/hb_935_20190729100105330 to master,2019-08-02,Closed,2201,130,52,,12
LEGO: Pull request from lego/hb_935_20190727160101221 to master,2019-08-02,Closed,2200,130,52,,12
LEGO: Pull request from lego/hb_935_20190727100100460 to master,2019-08-02,Closed,2199,130,52,,12
LEGO: Pull request from lego/hb_935_20190727040102008 to master,2019-08-02,Closed,2198,130,52,,12
LEGO: Pull request from lego/hb_935_20190726220054790 to master,2019-08-02,Closed,2197,130,52,,12
LEGO: Pull request from lego/hb_935_20190726160058448 to master,2019-08-02,Closed,2196,120,48,,12
LEGO: Pull request from lego/hb_935_20190726100052398 to master,2019-08-02,Closed,2195,70,28,,7
LEGO: Pull request from lego/hb_935_20190726040036374 to master,2019-08-02,Closed,2194,50,20,,5
LEGO: Pull request from lego/hb_935_20190725220036026 to master,2019-08-02,Closed,2193,40,16,,4
Eliminate redundant flags on ProjectNode build methods,2019-07-22,Merged,2191,21,22,,1
Do not disable the Install npm package menu option,2019-07-23,Merged,2190,5,12,cs ,3
Update to Microsoft400 authenticode,2019-07-11,Merged,2189,9,9,targets ,9
Fix broken link,2019-08-27,Merged,2188,1,1,,0
Only end the build if it started successfully,2019-07-19,Merged,2187,45,54,,1
Removed typo from vue template,2019-06-21,Merged,2186,1,1,,1
Change all template files to encoding to UTF8 without BOM,2019-06-18,Merged,2183,118,120,md config js pug css ccproj csdef ts ,57
Port VS crash in test file discovery upon file change notifications,2019-06-13,Merged,2181,30,6,,3
DISREGARD Test pull request,2019-08-02,Closed,2180,1,0,,1
Updated Newtonsoft.Json and JavaScript.UnitTests dependencies,2019-06-05,Merged,2178,8,7,nuspec ,6
Changed nuget prefix,2019-06-05,Merged,2177,13,12,nuspec props targets csproj ,5
Rollback change on GetAbsoluteFilePath,2019-05-31,Merged,2175,3,1,,1
Update null check to handle null receiver,2019-05-30,Merged,2174,2,2,,1
Fix .Net Core unit tests,2019-05-24,Merged,2173,30,10,nuspec csproj ,6
LEGO: Pull request from lego/hb_935_20190514040034111 to master,2019-05-14,Merged,2172,2,2,,2
LEGO: Pull request from lego/hb_935_20190511040028426 to master,2019-05-11,Merged,2171,2,2,,2
LEGO: Pull request from lego/hb_935_20190510100122802 to master,2019-05-10,Merged,2170,223,262,,8
LEGO: Pull request from lego/hb_935_20190502100031933 to master,2019-05-02,Merged,2168,3,0,,1
LEGO: Pull request from lego/hb_935_20190502040037194 to master,2019-05-02,Merged,2167,3,0,,1
Added VersionPrefix and VersionSuffix to TestAdapterNetStandard,2019-05-01,Merged,2166,6,3,csproj ,2
LEGO: Pull request from lego/hb_935_20190430220040806 to master,2019-04-30,Merged,2165,12,0,,4
LEGO: Pull request from lego/hb_935_20190430160037603 to master,2019-04-30,Merged,2164,15,0,,5
LEGO: Pull request from lego/hb_935_20190430040034854 to master,2019-04-30,Merged,2163,3,0,,1
Added missing System.Xml.XDocument nuget package,2019-04-30,Merged,2162,4,1,,2
LEGO: Pull request from lego/hb_935_20190429220033017 to master,2019-04-29,Merged,2161,3,0,,1
LEGO: Pull request from lego/hb_935_20190426100055302 to master,2019-04-26,Merged,2160,312,117,,13
Migrates all references/dependencies to Nuget,2019-04-24,Merged,2159,221,309,csproj ,9
Change tsconfig item types back to content,2019-04-23,Merged,2158,6,6,,6
Added NotificationTextBox,2019-04-12,Merged,2153,183,5,cs resx xaml ,9
LEGO: Pull request from lego/hb_935_20190409040030181 to master,2019-04-09,Merged,2152,10,4,,2
LEGO: Pull request from lego/hb_935_20190404160037087 to master,2019-04-04,Merged,2151,50,20,,10
LEGO: Pull request from lego/hb_935_20190404100033764 to master,2019-04-04,Merged,2150,10,4,,2
LEGO: Pull request from lego/hb_935_20190404040026577 to master,2019-04-04,Merged,2149,10,4,,2
LEGO: Pull request from lego/hb_935_20190403220216815 to master,2019-04-03,Merged,2148,28,10,,6
LEGO: Pull request from lego/hb_935_20190403160047653 to master,2019-04-03,Merged,2147,10,4,,2
Use DefaultDllImportSearchPathsAttribute,2019-04-02,Merged,2146,8,0,,2
LEGO: Pull request from lego/hb_935_20190402160029829 to master,2019-04-02,Merged,2145,10,4,,2
Removed URI from CommonUtils and used as Path instead.,2019-04-01,Merged,2144,53,147,,1
LEGO: Pull request from lego/hb_935_20190327160103165 to master,2019-03-27,Merged,2143,546,144,,13
Fixes accessibility issues,2019-03-26,Merged,2142,180,208,cs resx csproj ,15
Fix Jasmine specFilter deprecation,2019-03-07,Merged,2141,11,4,,1
Handle beginning of list in span list search,2019-03-01,Merged,2139,3,0,,1
LEGO: Pull request from lego/hb_935_20190226220039075 to master,2019-02-26,Merged,2137,6,12,,2
Refactored ProcessOutput.Run to not use cmd.exe,2019-02-21,Merged,2136,4,6,,1
Delete ProcessOutput.RunElevated,2019-02-13,Merged,2133,0,137,,1
Delete some unused externs,2019-02-12,Merged,2132,20,981,csproj ,2
Fix missing threading dll,2019-01-23,Merged,2126,1,0,,1
Fix a deadlock when updating test files and directories,2019-01-14,Merged,2124,21,8,,1
Use TypeScript compiler from the root node_modules instead of the TypeScript SDK,2019-02-12,Merged,2123,428,435,njsproj json ,14
Make VSHPROPID_IsNonSearchable return true for project files,2018-12-28,Merged,2122,10,0,,1
Distinguish between project and user project file,2018-12-22,Merged,2121,12,5,,1
Fix VS crash in test file discovery upon file change notifications,2018-12-21,Merged,2120,30,6,,3
LEGO: Pull request from lego/hb_935_20181218004057072 to master,2018-12-18,Merged,2119,39,45,,2
Add EventSource and telemetry for OnItemAdded,2018-12-14,Merged,2118,132,6,csproj ,5
Added FailFast to OnItemAdded,2018-12-14,Closed,2116,8,0,,1
Filter out unconfigured unit tests projects,2018-11-30,Merged,2115,81,25,,5
Update AssemblyResolver probe path for dev16,2018-11-13,Merged,2114,2,1,,1
Suppress ObjectDisposedException on BoldStartupItem to avoid crash…,2018-10-29,Merged,2108,8,6,,2
Change references to version 15 to 16,2018-10-11,Merged,2105,23,23,vsixmanifest cs targets ,9
Merge fixes from Release 15.9,2018-10-01,Merged,2091,37,27,vstemplate json cs ,8
Merge fixes from Release 15.9,2018-10-01,Closed,2090,65,32,vstemplate json cs js ,15
fix spelling of 'high-level' in CONTRIBUTING.md,2018-10-01,Merged,2089,1,1,,0
LEGO: Pull request from lego/hb_935_20180929150246926 to master,2018-09-29,Merged,2088,39,39,,39
LEGO: Pull request from lego/hb_935_20180929090258116 to master,2018-09-29,Merged,2087,663,"1,404",,5
LEGO: Pull request from lego/hb_935_20180928090336997 to master,2018-09-28,Merged,2086,117,702,,10
Update vuejs 3.0.4,2018-10-01,Merged,2085,16,16,,3
Code defensively when casting IVsBuildPropertyStorage,2018-09-27,Merged,2083,13,2,,2
Fix chrome admin issue,2018-09-27,Merged,2081,180,16,cs ,4
Remove windows azure contracts,2018-09-27,Merged,2080,2,730,,1
LEGO: Pull request from lego/hb_935_20180913090805510 to master,2018-09-13,Merged,2078,39,39,,39
LEGO: Pull request from lego/hb_935_20180913030242160 to master,2018-09-13,Merged,2077,663,78,,10
LEGO: Pull request from lego/hb_935_20180912150243212 to master,2018-09-12,Merged,2076,117,702,,10
LEGO: Pull request from lego/hb_935_20180909150253301 to master,2018-09-09,Merged,2074,39,39,,39
LEGO: Pull request from lego/hb_935_20180909030238129 to master,2018-09-09,Merged,2072,663,78,,10
LEGO: Pull request from lego/hb_935_20180908150142371 to master,2018-09-08,Merged,2071,234,0,,13
Cherry pick fixes from Master to Release 15.9,2018-09-07,Merged,2070,22,2,js ,2
Merge Release 15.8 into Release 15.9,2018-09-07,Merged,2069,3,0,,3
Merging Release 15.8 into 15.9,2018-09-07,Closed,2068,14,10,json ,6
Merging Release 15.8 into Master,2018-09-07,Merged,2067,3,0,,3
Exclude files that shouldn't be in our vsixes,2018-09-07,Merged,2066,3,0,,3
LEGO: Pull request from lego/hb_935_20180907150251973 to master,2018-09-07,Merged,2065,117,936,,8
2055: TestAdapter: Test discovery fails on test projects that contain a large number of test files,2018-09-07,Merged,2064,22,2,js ,2
Fixed missing files in vstemplate,2018-09-07,Merged,2063,8,9,vstemplate ,3
LEGO: Pull request from lego/hb_935_20180901090344210 to master,2018-09-01,Merged,2061,39,39,,39
LEGO: Pull request from lego/hb_935_20180901030255198 to master,2018-09-01,Merged,2060,663,78,,10
LEGO: Pull request from lego/hb_935_20180831150254744 to master,2018-08-31,Merged,2059,156,741,,8
Cherry pick System.ValueTuple,2018-08-31,Merged,2058,1,1,,1
Port Release 15.8 to Master,2018-08-30,Merged,2057,1,1,,1
Move System.ValueTuple package to 4.3.0,2018-08-30,Merged,2056,1,1,,1
LEGO: Pull request from lego/hb_935_20180818210342385 to master,2018-08-18,Merged,2054,39,39,,39
LEGO: Pull request from lego/hb_935_20180818150243694 to master,2018-08-18,Merged,2053,663,78,,10
LEGO: Pull request from lego/hb_935_20180818030243141 to master,2018-08-18,Merged,2052,169,676,,10
Merge release 15.9 into Master,2018-08-17,Merged,2051,88,49,babelrc js njsproj html json ts ,16
Removed process.exit for process.exitCode on Mocha test adapter,2018-08-17,Merged,2050,2,2,,2
Merge Release 15.9 into master,2018-08-17,Merged,2049,93,49,babelrc js njsproj html json ts cs ,17
LEGO: Pull request from lego/hb_935_20180814210145098 to master,2018-08-14,Merged,2047,18,6,,2
LEGO: Pull request from lego/hb_935_20180814150136079 to master,2018-08-14,Merged,2046,163,73,,9
LEGO: Pull request from lego/hb_935_20180814090202462 to master,2018-08-14,Merged,2045,18,6,,2
LEGO: Pull request from lego/hb_935_20180814030141011 to master,2018-08-14,Merged,2044,36,9,,4
Update Vue.js templates and packages,2018-08-17,Merged,2043,88,48,babelrc js njsproj html json ts ,16
LEGO: Pull request from lego/hb_935_20180813210149078 to master,2018-08-13,Merged,2042,18,6,,2
LEGO: Pull request from lego/hb_935_20180813150102453 to master,2018-08-13,Merged,2041,18,6,,2
Removed process.exit for process.exitCode on Mocha test adapter,2018-08-17,Merged,2040,2,2,,2
LEGO: Pull request from lego/hb_935_20180808030057221 to master,2018-08-08,Merged,2039,6,3,,1
LEGO: Pull request from lego/hb_935_20180807030050009 to master,2018-08-07,Merged,2038,6,3,,1
