Fix typo,2019-07-08,Closed,1435,1,1,,0
bump redis-parser,2019-05-10,Closed,1433,1,1,,1
removing use of function.prototype.apply which internally uses queuin…,2019-04-26,Closed,1431,2,2,,1
Added timestamp to debug traces,2019-05-07,Merged,1426,4,2,,2
Update to recent redis-commands,2019-05-07,Merged,1425,1,1,,1
test: Fix typo in assertEquals message,2019-02-05,Merged,1408,4,4,,3
Fix build failure,2019-02-05,Closed,1404,1,1,,1
Fix typo in createClient.js,2018-12-28,Merged,1403,1,1,,1
Add delay option for socket.setKeepAlive,2018-12-04,Merged,1396,6,1,js ,1
Added 'NOACK' to xreadgroup call,2018-11-15,Merged,1388,2,2,,1
add a simple streams example,2018-11-12,Merged,1386,47,0,,1
Dependency Bump,2018-12-25,Closed,1381,1,1,,1
Update README.md,2018-10-10,Closed,1380,7,3,,0
bump redis-commands and redis-parser,2018-10-14,Closed,1379,2,2,,1
Avoid distributing unnecessary development files,2018-08-23,Merged,1370,3,0,,1
Update client.quit definition in README.md to include callback,2018-08-10,Merged,1368,1,1,,0
fix incorrect code for eslint rules,2019-02-06,Merged,1367,93,92,,8
Remove clientError handler,2019-02-07,Merged,1361,0,6,,1
Clarify reconnecting delay,2018-06-21,Merged,1356,1,1,,0
fixed typo in readme example,2018-06-14,Closed,1353,1,1,,0
Added documentation for REDIS optimistic lock system.,2018-06-13,Merged,1352,122,0,,0
[tests] fix broken utils tests,2018-05-22,Merged,1342,12,5,,1
Adapt Alibaba Cloud kvstore,2018-05-22,Merged,1341,1,1,,1
Simpler bluebird promisifyAll usage,2018-05-22,Merged,1332,1,2,,0
Fix travis ci testing,2018-04-03,Merged,1325,9,3,js ,2
Update readme to reflect usage of .add_command,2018-03-28,Merged,1323,1,1,,0
fix: client duplicate function now allows db param to be passed,2018-02-23,Merged,1311,4,1,,2
Updated README for syntax highlighting,2018-02-19,Merged,1307,33,29,,0
Performance Increase - Minor,2018-05-22,Merged,1304,4,4,json ,4
readme update: Native Promises with util.promisify,2018-01-09,Merged,1284,25,1,,0
Add promisify example for node.js 8,2017-11-08,Closed,1283,9,0,,0
feat: add support for rediss protocol in url,2018-01-09,Merged,1282,36,7,js ,2
remove unused var in readme example,2017-08-30,Merged,1271,1,1,,0
Export commands list,2018-01-09,Closed,1266,2,0,,1
"Fix ""therefor"" vs. ""therefore"" typo in README.md",2017-07-18,Merged,1259,1,1,,0
Don't assume port_arg is a string,2017-07-20,Merged,1258,3,2,,1
:memo: fix typo: To / Too,2017-07-14,Merged,1255,1,1,,0
Fixing documentation typo,2017-07-07,Merged,1253,1,1,,0
Improve style of menu,2017-06-21,Merged,1246,8,0,,1
quick expire example,2017-04-27,Merged,1229,16,5,,0
Fix typos in Readme,2017-04-18,Merged,1227,3,3,,0
Fix error code in the readme,2017-04-03,Merged,1221,1,1,,0
change `times_connected` to `attempt` in the `retry_strategy`,2017-03-18,Merged,1215,1,1,,0
Minor grammar fix,2017-03-18,Merged,1213,1,1,,1
Generalise monitor_regex,2017-03-14,Merged,1211,1,1,,1
Fix option param null bug,2017-03-11,Merged,1204,1,1,,1
Repurpose retry_strategy + add connection_strategy,2017-04-25,Closed,1201,112,43,md js ,3
Support retry after flush,2017-10-31,Closed,1200,57,4,md js ,3
Add a Codacy badge to README.md,2017-02-01,Closed,1195,1,0,,0
fix #1193,2017-03-11,Closed,1194,38,62,,1
error: uncaughtException: Cannot read property 'callback' of undefined #1037,2016-12-11,Closed,1177,1,1,,1
enabled adding abritary commands,2017-08-01,Closed,1173,55,9,,3
Update retry_strategy example,2016-11-14,Merged,1171,1,1,,0
Check options.error,2016-11-25,Merged,1168,1,1,,0
chore(package): update mocha to version 3.1.2,2017-02-22,Merged,1167,1,1,,1
Fix domain and camelCase bug,2016-10-31,Merged,1166,34,6,js ,5
Update dependencies to enable Greenkeeper 🌴,2016-10-31,Closed,1165,2,2,,1
Update eslint to version 3.9.0 🚀,2016-10-30,Closed,1164,1,1,,1
Update eslint to version 3.8.1 🚀,2016-10-20,Closed,1160,1,1,,1
Update eslint to version 3.8.0 🚀,2016-10-20,Closed,1158,1,1,,1
Update mocha to version 3.1.1 🚀,2016-10-20,Closed,1156,1,1,,1
Update eslint to version 3.7.1 🚀,2016-10-09,Closed,1154,1,1,,1
metrics@0.1.10 breaks build ⚠️,2016-10-09,Closed,1153,1,1,,1
Update mocha to version 3.1.0 🚀,2016-10-09,Closed,1149,1,1,,1
Update eslint to version 3.6.1 🚀,2016-10-09,Closed,1148,1,1,,1
Update eslint to version 3.6.0 🚀,2016-10-09,Closed,1146,1,1,,1
Update nyc to version 8.3.0 🚀,2016-09-16,Merged,1143,1,1,,1
coveralls@2.11.13 breaks build 🚨,2016-09-16,Closed,1142,1,1,,1
Update eslint to version 3.5.0 🚀,2016-09-16,Closed,1140,1,1,,1
bluebird@3.4.5 breaks build 🚨,2016-09-16,Closed,1137,1,1,,1
Update eslint to version 3.4.0 🚀,2016-09-16,Closed,1135,1,1,,1
bluebird@3.4.3 breaks build 🚨,2016-09-16,Closed,1134,1,1,,1
Update README.md,2016-09-16,Closed,1131,1,1,,0
Update eslint to version 3.3.1 🚀,2016-09-16,Closed,1129,1,1,,1
Update nyc to version 8.1.0 🚀,2016-09-16,Closed,1127,1,1,,1
Update nyc to version 8.0.0 🚀,2016-09-16,Closed,1126,1,1,,1
Update eslint to version 3.3.0 🚀,2016-09-16,Closed,1124,1,1,,1
Update mocha to version 3.0.2 🚀,2016-09-16,Closed,1123,1,1,,1
Update mocha to version 3.0.1 🚀,2016-09-16,Closed,1121,1,1,,1
Update eslint to version 3.2.2 🚀,2016-09-16,Closed,1119,1,1,,1
Update eslint to version 3.2.1 🚀,2016-09-16,Closed,1118,1,1,,1
Update mocha to version 3.0.0 🚀,2016-09-16,Closed,1117,1,1,,1
Update eslint to version 3.2.0 🚀,2016-09-16,Closed,1116,1,1,,1
Update eslint to version 3.1.1 🚀,2016-07-21,Closed,1109,1,1,,1
Update eslint to version 3.1.0 🚀,2016-07-21,Closed,1107,1,1,,1
Convert snake_case options to camelCase before sending into tls || net (FIXES #1103),2016-10-31,Closed,1104,10,2,,1
Update nyc to version 7.0.0 🚀,2016-07-15,Merged,1100,1,1,,1
Update eslint to version 3.0.1 🚀,2016-07-15,Closed,1099,1,1,,1
Update eslint to version 3.0.0 🚀,2016-07-04,Closed,1098,1,1,,1
eslint@2.13.1 breaks build 🚨,2016-06-26,Closed,1091,1,1,,1
eslint@2.13.0 breaks build 🚨,2016-06-26,Closed,1090,1,1,,1
nyc@6.6.0 breaks build 🚨,2016-06-16,Closed,1088,1,1,,1
Noting in docs that retry_max_delay and connect_timeout are deprecated,2016-06-16,Merged,1087,2,2,,0
