Upgraded to Roslyn 3.5.0-beta3-20058-03 and removed Humanizer,2020-01-11,Merged,1680,2,3,props csproj ,2
Use Mono 6.6.0,2020-01-07,Merged,1679,5,5,,1
Do not discover abstract types as candidates for code fix providers,2020-01-08,Merged,1677,10,7,,1
added implement type options,2020-01-09,Merged,1672,210,0,,4
fixed symbol decoding from completion items,2020-01-06,Merged,1670,5,4,cs ,2
Updated build process to use Mono 6.6.0,2019-12-20,Merged,1669,9,6,yml json ,2
Update CHANGELOG.md,2019-12-10,Merged,1664,1,1,,0
Update Roslyn to 3.5.0-beta2-19606-01,2019-12-09,Merged,1663,14,10,props cs config ,5
updated to msbuild 16.4.0 and Microsoft.NETFramework.ReferenceAssemblies 1.0.0,2019-12-09,Merged,1662,8,7,props config ,2
"do not crash on ""="" in solution path",2019-12-04,Merged,1661,49,2,cs ,2
Support #line directive in find references,2019-12-05,Merged,1660,80,3,cs ,2
enabled some GoToDefinitionFacts for CSX,2019-11-28,Merged,1659,40,24,,1
added #1656 to the changelog,2019-11-26,Merged,1658,3,0,,0
do not set mono paths in standalone mode,2019-11-23,Merged,1656,6,67,,4
Updated changelog for release,2019-11-21,Merged,1654,2,1,,0
Update Roslyn to 3.5.0-beta1-19571-01,2019-11-21,Merged,1653,2,2,props ,1
updated to Roslyn 3.5.0-beta1-19564-02,2019-11-15,Merged,1652,14,11,props cs config ,5
make platform identification POSIX-compliant,2019-11-15,Merged,1651,5,5,,1
moved scripting tests and test assets to .NET Core 3.0,2019-11-12,Merged,1648,4,4,csx cs ,4
Updated release date of 1.34.7 to today,2019-11-06,Merged,1646,1,1,,0
Update tools\packages.config,2019-11-06,Merged,1645,18,19,config ,2
Update Roslyn to 3.4.0-beta3-19551-02,2019-11-05,Merged,1644,5,4,props ,1
Added #1640 to changelog,2019-10-30,Merged,1643,3,0,,0
removed project.json left over from symbol finder,2019-11-13,Merged,1642,1,2,,1
updated release date of 1.34.6 to today,2019-10-25,Merged,1641,1,1,,0
Use mono 6.4.0,2019-10-28,Merged,1640,44,28,sh ,3
removed jabbr link from CONTRIBUTING.md,2019-10-24,Merged,1638,1,1,,0
embed icon into nuget packages,2019-10-23,Merged,1637,4,1,png ,2
improved mono 6.4.0 log messages,2019-10-25,Merged,1635,6,6,cs ,2
updated to Roslyn 3.4.0-beta3-19516-01,2019-10-18,Merged,1634,23,6,props cs ,5
Moved the build process to .NET Core 3.0 SDK,2019-10-16,Merged,1633,110,54,json csproj cs ,18
correctly use cancellation token in Metadata service,2019-10-12,Merged,1631,2,1,cs ,1
Readme updates for latest release and recent changes,2019-10-11,Merged,1630,8,3,,0
raise minimum Mono version to 6.4.0,2019-10-10,Merged,1629,7,7,cs ,4
Use ConcurrentDictionary in CachingScriptMetadataResolver,2019-10-10,Merged,1627,8,7,,2
"Fixed ""go to metadata""",2019-10-05,Merged,1625,5,1,cs ,2
Remove diagnostic id from message,2019-10-13,Merged,1623,32,24,,8
fixed default diagnostic suppressions for script project system,2019-10-08,Merged,1621,19,6,,2
Codify azure devops branch based triggers and pr configuration,2019-10-01,Merged,1618,14,0,,1
update changelog for 1.34.4,2019-10-01,Merged,1617,4,0,,0
Make sure we include msbuild 16.3 in Linux distro,2019-09-30,Merged,1616,3,2,cake ,2
Support plugins configuration in omnisharp.json,2019-11-21,Merged,1615,59,18,,9
Fix no params,2019-09-29,Closed,1614,"1,018",121,sln json cs ,11
use msbuild from Mono 6.4.0 on linux/macos,2019-09-28,Merged,1612,24,11,cake json cs ,4
upgrade GitVersion to 5.0.1 (fixes build on Ubuntu 18.04 and other distros),2019-09-26,Merged,1611,2,2,cake ,2
Bump Dotnet.Script.DependencyModel to version 0.50.0,2019-10-02,Merged,1609,81,26,cs ,6
copy MsBuild 16.3 on Mono too,2019-09-26,Closed,1607,10,7,cake json cs ,4
upgrade msbuild to 16.3,2019-09-24,Merged,1606,11,10,props config ,3
updated metadata on the nuget packages,2019-09-17,Merged,1603,8,1,,1
removed dotnet node from omnisharp.json,2019-09-12,Merged,1601,0,3,,1
1.34.3 release date,2019-09-11,Closed,1600,0,0,,0
Fix possessives of its,2019-09-11,Merged,1599,7,11,cs ,5
added Roslyn 3.4 to the changelog,2019-09-10,Merged,1598,2,1,,0
Roslyn 3.4,2019-09-10,Merged,1597,13,11,cs config ,6
updated to Roslyn 3.3.1 beta3,2019-09-10,Closed,1596,2,1,props ,1
Fix using task assemblies which reference older v4/v12 msbuild assemblies,2019-09-09,Merged,1595,4,2,,2
Update rolsyn version for .NET Core 3.0 preview 9,2019-08-21,Closed,1590,3,2,props ,1
run the complex analyzer test only on Windows,2019-08-20,Merged,1588,2,8,,2
added support for CheckForOverflowUnderflow in csproj,2019-08-22,Merged,1587,21,5,cs csproj ,6
Update release date for 1.34.1,2019-08-16,Merged,1586,1,1,,0
retarget test projects to .NET Core 2.1 (LTS),2019-08-14,Merged,1584,38,55,json csproj cs ,20
test for #1566,2019-08-15,Merged,1583,56,1,json cs csproj ,5
Fixes bugs when there are multiple handlers are defined for a language for a given request,2019-09-28,Merged,1582,411,21,,8
updated to Roslyn 3.3.0-beta2-19401-05 to address a StackOverflowException,2019-08-05,Merged,1579,4,1,props ,1
changelog updates for 1.34.1,2019-08-05,Merged,1578,3,1,,0
Enhanced override completion.,2019-08-06,Closed,1577,826,63,,8
Update roslyn version,2019-08-02,Merged,1574,2,1,,0
renamed NullableContextOptions to Nullable,2019-08-09,Merged,1573,8,7,cs csproj ,4
Fix invalid xml in XmlDocComment of PackageVersionRequest.cs,2019-07-30,Merged,1571,1,1,,1
run script tests as part of the build script,2019-07-29,Merged,1570,7,5,cs rsp ,4
Unit test support in non-English countries.,2019-07-31,Merged,1568,16,3,,5
fixed AllowUnsafe regression,2019-07-22,Merged,1567,41,1,cs csproj ,4
Fixed analyzer timeout issue.,2019-07-23,Merged,1566,17,5,,1
"Added support for ""sync namespace"" refactoring",2019-07-31,Merged,1563,374,71,cs config ,12
Upgraded to latest lsp,2019-08-20,Merged,1562,284,226,props cs ,6
Update release date for 1.34.0,2019-07-15,Merged,1560,1,1,,0
Run editor config options provider last,2019-07-15,Merged,1559,45,4,cs ,2
Escape markdown to fix plaintext returns.,2019-07-19,Merged,1557,9,1,,2
changelog updates for 1.34.0,2019-07-14,Merged,1555,18,0,,0
Support for AdditionalFiles,2019-07-10,Merged,1547,156,5,csproj txt ,10
removed unused build code,2019-07-10,Merged,1546,0,43,,1
improve msbuild instance scoring,2019-07-12,Merged,1545,160,22,,10
Respect the disabling of a project system in services,2019-07-05,Merged,1543,89,18,cs ,15
Enable LSIF indexer in Azure Pipelines,2019-07-16,Closed,1540,5,0,,1
End of life for .NET Core 1.0 / 1.1 (project.json),2019-07-11,Merged,1539,14,"14,861",sln cake json cs ,5
ensure SQLite dependencies are included in the mono archive,2019-07-01,Merged,1538,2,2,,1
Release 1.33.0,2019-06-29,Merged,1535,1,1,,0
Update Roslyn for Preview 7,2019-06-28,Merged,1534,12,17,cake props cs ,6
Update Roslyn for Preview 7,2019-06-28,Closed,1533,8,6,props cs ,4
changelog updates for recent merges + bump to 1.33.0,2019-06-27,Merged,1532,17,2,,0
Fix/nugetpush,2019-06-25,Merged,1530,29,18,cake ,3
tried to fix nuget push target,2019-06-25,Merged,1529,2,2,,1
updated Roslyn to 3.2.0-beta4-19319-04,2019-06-21,Merged,1527,2,4,Config props csproj ,3
Added support for .editorconfig,2019-06-23,Merged,1526,756,79,props cs csproj ,10
Fixed declaration name completion regression,2019-06-06,Merged,1520,31,11,props csproj cs ,6
changelog updates for 1.32.20,2019-06-04,Merged,1516,6,2,,0
pin CI builds to use Mono 5.18.1,2019-06-03,Merged,1513,2,2,,1
Roslyn from Dev16.2p2,2019-05-31,Merged,1511,17,14,props cs config csproj ,9
Background analysis support,2019-07-10,Merged,1507,584,184,,11
updated to Roslyn 3.1.0 beta4-19266-03 to match dev16.1,2019-05-24,Merged,1504,2,1,props ,1
Update LSP libs,2019-05-23,Merged,1503,1,1,,1
Fixed mistake on shadow copying assembly loader.,2019-05-16,Merged,1497,67,10,,1
Added support for Roslyn rename options,2019-06-14,Merged,1495,184,32,cs ,8
fixed logical typo in CompletionItemExtensions,2019-05-14,Merged,1491,1,1,,1
Replace ToLanguageVersion switch with TryParse,2019-05-14,Merged,1488,3,22,,1
Load analyzers from .csproj without restart,2019-06-27,Merged,1486,71,3,,3
changelog updates for 1.32.19,2019-05-02,Merged,1480,6,3,,0
Update Roslyn build,2019-05-01,Merged,1479,27,22,cs ,2
Shadow copying analyzer assembly loader.,2019-04-30,Merged,1474,395,32,,4
fixed OmniSharp hanging on nuget references with wildcard,2019-04-18,Merged,1473,43,3,props cs csproj ,6
ignore shas creating incorrect version numbers,2019-04-18,Merged,1471,10,1,,1
only upload from azure pipelines,2019-04-18,Merged,1470,30,30,,2
correctly set 4.7.2 as framework sku in app.config,2019-04-17,Merged,1469,2,2,,2
Update gitversion and tweak config to avoid version increments from merge commits,2019-04-17,Merged,1467,8,2,cake ,3
Small 📚updates to bring them up to date,2019-04-17,Merged,1466,27,11,json ,1
switch to stable-xenial for linux CI builds on AzureDevOps,2019-04-15,Merged,1462,1,1,,1
added support for TreatWarningsAsErrors in csproj,2019-05-07,Merged,1459,36,13,cs csproj ,6
Rename msbuild directory to .msbuild,2019-04-12,Merged,1457,4,4,cs ,2
Fix HTTP logging,2019-04-17,Merged,1456,10,2,,1
Do not hash target frameworks and rename ProjectGuid->ProjectId,2019-04-12,Merged,1454,23,32,,4
Changlog update for 1.32.13 - through to 1.32.16,2019-04-11,Merged,1452,14,1,,0
Update changelog,2019-04-11,Closed,1451,5,0,,0
Copy lib mono system native,2019-04-10,Merged,1450,12,0,,1
"make ""dotnet build"" work on non-Windows platforms",2019-05-21,Merged,1449,37,1,csproj ,27
Updated to Roslyn 3.1,2019-04-10,Merged,1448,64,74,cs config ,9
Bump roslyn packages to 3.0.0,2019-04-11,Closed,1447,1,1,,1
Use mono 5.18,2019-04-08,Merged,1444,207,110,Config cake json props sh ,7
Suppress errors from rm when deleting build artifacts,2019-04-02,Merged,1442,8,8,,1
try to fix issue with pipelines deployment,2019-04-01,Merged,1441,7,7,,2
Load project to hold ruleset compilation options,2019-06-17,Merged,1440,295,203,csproj ruleset ,9
updated changelog with latest fixes and features,2019-04-03,Merged,1437,7,1,,0
fixed appveyor / travis publish with gitversion,2019-03-22,Merged,1434,10,0,,1
Added nuget package publishing,2019-06-24,Merged,1432,101,58,md cake props json csproj ,14
Stop nesting folders on upload to azure storage,2019-03-20,Merged,1431,2,2,,1
Fix/random,2019-03-20,Merged,1430,1,0,,1
try to avoid random ci failures with test WhenWorkIsWaitedButTimeoutF…,2019-03-20,Merged,1429,4,1,,1
promote blob key through,2019-03-20,Merged,1428,2,0,,1
Use BlockingCollection in SharedTextWriter,2019-04-09,Merged,1427,30,17,,4
Publish windows on unix,2019-03-20,Merged,1426,5,6,json cs ,5
Use LTS version of .NET Core 2.1 SDK,2019-03-20,Closed,1424,3,3,,3
Fix renaming in LSP,2019-06-17,Merged,1423,7,16,,1
Adds snippets support in LSP mode.,2019-06-23,Merged,1422,8,2,,1
include constant values in TypeLookup,2019-03-16,Merged,1420,36,1,cs ,2
Report project type and target framework,2019-03-13,Merged,1417,723,61,,10
updated changelog to mark 1.32.11 as released,2019-02-28,Merged,1415,1,1,,0
updated to Roslyn 3.0.0-beta4-19126-05,2019-02-28,Merged,1414,3,2,props ,1
Switch to use CodeStructureService in DocumentSymbolHandler.,2019-04-03,Merged,1411,68,57,cs ,5
Proposal to add roslyn 'tags' to diagnostic response,2019-03-19,Merged,1410,47,3,,3
support extern alias and add unit test,2019-03-11,Merged,1409,155,12,cs csproj sln ,11
Squashed copy of https://github.com/OmniSharp/omnisharp-roslyn/pull/1076/files,2019-03-19,Closed,1408,"1,563",349,,12
Codeactions with options/ui.,2019-07-10,Merged,1406,461,96,cs csproj ,9
Support for NullableContextOptions in csproj,2019-02-27,Merged,1404,78,4,json cs csproj ,9
Fix find references for indexer properties,2019-03-19,Merged,1399,55,37,,2
updated changelog to mark 1.32.10 as released,2019-01-30,Merged,1395,1,1,,0
Upgrade to 3.0 Roslyn packages to get better C# 8 support,2019-01-24,Merged,1391,18,13,Config props cs config ,8
Update CHANGELOG.md,2019-01-24,Merged,1390,1,1,,0
Update changelog,2019-01-22,Merged,1389,3,0,,0
added missing LSP note to CHANGELOG.md,2019-01-22,Merged,1388,1,1,,0
Update LSP to 0.11.x,2019-02-03,Merged,1387,207,425,props cs ,10
added roslyn 2.11.0-beta1-final to the CHANGELOG.md,2019-01-17,Merged,1385,1,1,,0
Fixed brew on Travis OSX,2019-01-10,Merged,1380,2,1,,1
update changelog,2019-01-09,Merged,1379,1,0,,0
Fix finding references to operator overloads,2019-01-09,Merged,1371,33,1,,2
include MIT license in build artifacts,2019-01-03,Merged,1369,12,0,,1
Detect when files move to empty directories,2019-01-15,Merged,1368,33,2,,2
updated to Roslyn 2.11.0-beta1-final,2019-01-02,Merged,1365,62,11,props cs csproj config ,11
removed unused stdio flag,2019-01-15,Merged,1362,1,4,cs ,1
Fix refusing HTTP connections ( #1274 ),2019-03-19,Merged,1361,4,25,cake ,1
OmniSharp.Abstractions cleanup,2019-03-16,Merged,1360,81,48,props cs csproj ,61
Set up CI with Azure Pipelines,2019-03-20,Merged,1359,358,24,md cake json ,6
"Fix ""Ambiguity"" errors appearing when files are modified during project load",2018-12-10,Merged,1357,1,1,,1
Move to msbuild,2018-12-08,Closed,1355,970,8,sln json cs csproj config ,17
Fix typo in error-message.,2018-12-07,Merged,1354,1,1,,1
expose IndentSwitchCaseSectionWhenBlock in OmniSharp FormattingOptions,2018-12-06,Merged,1353,6,1,cs ,2
Change the way to look for the default MSBuild instance,2019-01-22,Merged,1349,279,27,,5
Typo,2018-11-29,Merged,1348,1,1,,1
Fix devconsole MSBuild discovery,2018-11-29,Merged,1347,4,1,,1
Fixes #1269.,2018-12-11,Merged,1346,2,2,,1
Solve issue #1113.,2019-01-24,Merged,1345,6,0,cs ,1
updated to Roslyn 2.10.0,2018-12-03,Merged,1344,18,12,props cs config ,6
Fix VS MSBuild discovery,2018-11-14,Merged,1337,4,1,,1
Fix typo,2018-11-12,Merged,1335,1,1,,0
one more changelog update for 1.32.7,2018-11-12,Merged,1334,2,1,,0
Update changelog for 1.32.7,2018-11-12,Merged,1333,6,1,,0
Make adding transient documents more reliable.,2018-11-12,Merged,1330,1,1,,1
Improve MSBuild discovery for future scenarios,2018-11-08,Merged,1328,117,39,,6
updated the omnisharp.json file to not report CSI-specifc errors,2018-11-07,Merged,1327,5,1,,1
add supporting MSBuild.SolutionSdk(slnproj) for getting project files.,2019-03-19,Closed,1323,"8,600",6,cake json cs slnproj csproj ,12
On demand projects loading when working with big C# codebases,2018-12-18,Merged,1322,359,10,csproj sln ,18
Fixed a regression that broke FindSymbols for CSX,2018-10-31,Merged,1321,107,79,cs ,2
fix collecting unexpected solution file like 'sln*',2018-11-02,Merged,1320,5,1,,1
Removed unused / obsolete config.json from configuration system,2018-10-26,Merged,1319,3,5,cs ,2
Fix FindImplementationService not finding all implementations of the partial class,2018-11-03,Merged,1318,47,11,,2
allow setting a custom OmniSharp home directory,2018-10-17,Merged,1317,5,3,cs ,1
Add logging for miscellaneous files,2018-10-12,Merged,1314,2,0,,1
Update ChangeLog for 1.32.6,2018-10-02,Merged,1309,3,1,,0
Fix o# getting stuck after undoing delete/rename/move transient files,2018-12-12,Closed,1308,33,14,,2
Promote misc documents to projects after project load.,2018-10-02,Merged,1306,231,0,,4
Attempt to fix uploading by disabling check,2018-10-01,Merged,1305,5,5,,1
Use FindSourceDeclarationsWithPatternAsync to have nice fuzzy search,2018-10-24,Merged,1304,25,15,,4
"Fixed issue with ""go to implementation"" and symbol overrides",2018-10-31,Merged,1302,58,10,cs ,4
Fix more bash errors,2018-09-20,Merged,1299,1,1,,1
Test command unit test,2018-09-19,Closed,1298,883,6,sln cs csproj config ,16
Really fix syntax in travis.yml,2018-09-18,Merged,1297,1,1,,1
Fix syntax error in travis,2018-09-18,Merged,1296,1,0,,1
Catch exceptions thrown by IMSBuildEventSink and log them,2018-09-18,Merged,1295,8,1,,1
Don't check for Windows builds when uploading blob,2018-09-12,Merged,1294,1,4,,1
Fix OmniSharp log filtering,2018-09-12,Merged,1293,178,70,,10
Rollback NuGet.Build.Tasks,2018-09-11,Merged,1292,13,13,,1
Fix missing signatures for some cases,2018-11-02,Merged,1290,51,15,,2
Add MSBuild event sink API for project loaded notification,2018-09-07,Merged,1289,609,313,,13
Fix missing test results/discoveries when tests are run with vscode's TestCodeLens,2018-09-07,Merged,1288,27,20,,1
"Update Roslyn, MSBuild and NuGet",2018-09-06,Merged,1286,36,49,props cs config ,7
Fix enum members missing in code structure response,2018-09-05,Merged,1285,28,1,,2
"Introduce configuration for ""Go to Symbol in Workspace""",2018-09-20,Merged,1284,95,13,,6
Don't duplicate find symbols results from C# files,2018-09-06,Merged,1282,145,52,,5
1.32.3 release changelog update,2018-08-28,Merged,1279,1,1,,0
pinned gitversion,2018-08-28,Merged,1278,1,1,,1
Add the addition and deletion of Miscellaneous files to the Buffer Manager,2018-08-28,Merged,1277,87,294,cs csproj ,13
Only update latest.txt if every expected build is present,2018-08-23,Merged,1276,10,1,,1
construct scripting workspace information directly from the ProjectInfo,2018-08-28,Merged,1272,67,27,cs gitignore csx rsp ,9
Add environment variable to try and stabilize OSX builds,2018-08-14,Merged,1268,1,0,,1
Fix MiscFile system creating new project for each file,2018-08-14,Merged,1267,1,1,,1
Add changelog update,2018-08-14,Merged,1266,3,0,,0
remove entry,2018-08-10,Closed,1264,1,1,,1
1.32.2 release,2018-08-10,Merged,1261,1,1,,0
Add packaging scripts for embedded Mono and MSBuild bits,2018-08-07,Merged,1260,457,16,json sh ,3
revert from McMaster.Extensions.CommandLineUtils to Microsoft.Extensions.CommandLineUtils,2018-08-07,Closed,1259,8,8,cs csproj ,6
Added a changelog note about net461,2018-08-04,Merged,1257,1,0,,0
Add support for Miscellaneous Files,2018-08-13,Merged,1252,945,248,cs csproj ,13
Update xUnit to 2.4.0 release,2018-07-25,Merged,1250,2,2,config ,2
Removed unneeded file,2018-07-16,Merged,1249,0,0,,1
"Added ""msbuild-stable"" link to the Readme",2018-07-16,Merged,1246,1,1,,0
Ensure filename is handled correctly for textDocument/documentSymbol LSP requests,2018-07-17,Merged,1244,19,2,,2
add msbuild_stable to requires,2018-07-05,Merged,1241,2,0,,0
Changelog update for bug fix-1239,2018-07-03,Merged,1240,1,0,,0
Debug only when test manager is connected,2018-07-03,Merged,1239,9,3,,1
Upgrade dependencies,2018-07-19,Merged,1237,100,113,cake json props cs csproj config ,24
Ensure types from Scripting DLL are used before we start digging into the AppDomain,2018-07-02,Merged,1235,14,7,,5
Fixes bug https://github.com/OmniSharp/omnisharp-roslyn/issues/1225,2018-07-11,Merged,1234,184,16,cs csproj snk sln ,10
Add preselect property to autocomplete repsonse,2018-06-25,Merged,1232,36,15,,3
GH1229: Adds /blockstructure handler for .cake files,2018-07-10,Merged,1231,125,5,cs ,7
Pin Nuget package versions using the new SDK feature,2018-06-30,Merged,1230,181,497,targets sln csproj ,10
Update changelog.md for blockstructure,2018-06-18,Merged,1228,1,0,,0
Performance improvements to Cake line mappings,2018-06-28,Merged,1226,114,45,cs txt ,3
Use latest az tools installation methodology,2018-06-12,Merged,1223,4,2,,1
Fixtypo in build.cake script,2018-06-10,Merged,1221,1,1,,1
GH1214: Add cake handler for /codestructure endpoint.,2018-06-30,Merged,1217,322,3,cs ,3
Fix zero/one-based range and point models,2018-06-07,Merged,1216,409,14,,2
Clean up V2 models and helpers,2018-06-06,Merged,1215,408,357,,19
GH1204: Only return usages from current file if OnlyThisFile is true,2018-06-18,Merged,1213,147,33,cs ,4
GH1205: Add support for code actions in Cake,2018-06-06,Merged,1212,364,3,cs ,6
New /codestructure endpoint,2018-06-05,Merged,1211,"1,388",77,md props cs ,16
Initialize CSX file watcher also when no CSX files are available at startup,2018-06-05,Merged,1210,298,175,cs ,4
Add a /blockstructure endpoint that uses Roslyn's outlining implemention,2018-06-18,Merged,1209,194,1,,7
Update to .NET Core 2.1 RTM,2018-05-30,Merged,1207,5,5,cs ,4
Return the stdout messages to improve test logging,2018-05-29,Merged,1203,151,15,,7
Fix diagnostics from loaded cake files shown in the current file,2018-05-30,Merged,1201,59,9,cs cake config ,6
Enable latest C# features in Cake files to match runtime behavior,2018-05-28,Merged,1200,21,7,cs ,2
added a note about script RSP support to a CHANGELOG.md,2018-05-23,Merged,1197,23,0,,0
Fix bug when multi-TFM project reference is outside OmniSharp's target path,2018-05-21,Merged,1195,116,6,cs csproj sln ,8
