PerfViewJS Update,2020-01-08,Merged,1091,"11,179","10,597",cs ,3
Increment the Product Version Numbers,2020-01-08,Merged,1090,2,2,,1
Update ClrTraceEventParser with new assembly loader events,2020-01-08,Merged,1089,710,4,,0
Update `tha` to `the` in the xml for GCEnd,2020-01-05,Merged,1088,1,1,,1
Implement 'Merge and Zip All',2020-01-09,Merged,1086,35,0,cs ,2
Remove unnecessary conditional write,2020-01-06,Merged,1085,1,5,,1
Use a full size user mode session buffer to avoid lost GC events,2020-01-09,Merged,1083,5,3,,1
Pad addresses and objectId events to 8 hex digits,2020-01-09,Merged,1082,"1,030","1,035",cs ,1
Allows opt out nested activity id reducing,2020-01-07,Merged,1080,19,4,,3
Improve handling of OutOfMemoryException,2020-01-09,Merged,1078,42,9,,3
Simplify symbol resolution work for BTL files,2020-01-08,Merged,1076,142,109,,2
Get Perfview.csproj building in VS2019 and F5,2019-11-26,Closed,1061,3,3,json ,2
Increase PerfView and TraceEvent versions.,2019-11-21,Merged,1059,2,2,,1
Avoid ArgumentNullException when HeapDump encounters a type with no name,2019-11-20,Merged,1055,1,1,,1
Bump handlebars from 4.0.12 to 4.5.2 in /src/PerfViewJS/spa,2019-11-20,Merged,1053,4,4,,1
Bump lodash.template from 4.4.0 to 4.5.0 in /src/PerfViewJS/spa,2019-11-20,Merged,1052,4,4,,1
Bump mixin-deep from 1.3.1 to 1.3.2 in /src/PerfViewJS/spa,2019-11-20,Merged,1051,3,3,,1
Bump eslint-utils from 1.3.1 to 1.4.3 in /src/PerfViewJS/spa,2019-11-20,Merged,1050,13,3,,1
Fix IOStreamStreamReader to account for alignment padding,2019-11-20,Merged,1047,2,1,,1
pause mode and compact/expand mechanisms,2019-11-14,Merged,1046,33,16,txt ,2
Bump lodash from 4.17.11 to 4.17.15 in /src/PerfViewJS/spa,2019-11-14,Merged,1045,3,3,,1
fix flamegraph exception with negative metrics,2019-11-20,Merged,1044,34,12,htm png ,4
MethodDetails event processing,2019-11-07,Merged,1043,120,1,,1
Update to the latest version,2019-10-31,Merged,1034,2,2,,0
Fix Caching Issues in TraceCodeAddresses,2019-10-30,Merged,1030,37,11,cs ,2
Increment PerfView and TraceEvent versions.,2019-10-29,Merged,1028,2,2,,1
Parse EventPipe payloads for DiagnosticSourceEventSource events,2019-10-29,Merged,1027,350,71,,1
Setting font-family from docs.microsoft.com on all .htm files,2019-10-29,Merged,1023,102,20,htm ,6
Increase the version numbers for TraceEvent and PerfView.,2019-10-24,Merged,1022,2,2,,1
Remove unnecessary warning suppressions,2019-10-24,Merged,1021,0,45,,22
Fixed typo with .NGENPDB #1019,2019-10-20,Merged,1020,1,1,,1
Add UDP info to ParsedPacket,2019-10-23,Merged,1018,20,0,,1
Reduced allocations,2019-10-23,Merged,1015,50,17,csproj ,5
Fix IndexOfSetBit for the case of a negative pow2 input parameter.,2019-10-17,Merged,1012,16,44,txt ,1
Typos,2019-10-15,Merged,1008,10,10,,0
Move the PacketCapture parser to TraceEvent,2019-10-17,Merged,1007,9,9,,1
Fix handling of SegmentedList initial capacity,2019-10-15,Merged,1006,7,3,,1
Fixes for Linux Perf_Events Traces,2019-08-29,Merged,995,50,4,,1
Move PerfCollect to the PerfView Repo,2019-08-22,Merged,993,"1,944",0,,1
Fix #991,2019-10-09,Merged,992,2,2,,1
PayloadToken for .NET Core collected with dotnet-trace,2019-10-15,Merged,990,16,2,,1
Increase package versions,2019-08-09,Merged,989,2,2,,1
Switch Signing Certificates,2019-08-09,Merged,987,14,14,,13
Update profiler to use Win10 SDK,2019-08-06,Merged,984,2,0,,2
Support the 2 types of .NET Core 3.0 counters (Sum and Mean),2019-08-09,Merged,981,144,46,,1
"add ""join all threads"" to the list of pre-defined GroupPats, implement Select Process Window for LTTng traces",2019-08-07,Merged,980,80,38,,2
make sure that SymbolReader.Dispose closes all opened pdb files,2019-10-15,Merged,979,15,7,,3
fix SpeedScope exporter bug,2019-07-30,Merged,977,48,2,,2
FlameGraph zooming,2019-07-30,Merged,976,98,6,,1
Update NetTrace format doc,2019-07-29,Merged,975,1,1,,0
[WIP] Update CLRMD to version 1.1.37504,2019-07-25,Merged,973,8,40,cs ,3
Update the MethodJitTailCallFailed event ID,2019-07-22,Merged,972,2,2,,1
Fix typos memmory,2019-10-09,Merged,971,1,1,,1
Fix Issue with Colons in Perf Counter Instance Names,2019-10-15,Merged,968,2,2,,1
Add the CompilationVerbose keyword to CLRTraceEventParser,2019-07-15,Merged,966,4,0,,1
Add managed memory views for EventPipe,2019-07-03,Merged,965,209,2,,1
Bump the package version number,2019-07-01,Merged,964,2,2,,1
Fix parsing of ETLX files larger than 2GB,2019-06-28,Merged,963,45,6,,4
Update Package Versions,2019-06-27,Merged,960,44,25,yml csproj json ,5
Update Package Versions,2019-06-27,Closed,959,44,25,yml csproj json ,5
Update link to most recent version of PerfView in docs,2019-06-26,Merged,957,1,1,,0
Add support to BPerf reader for symbols from a different file.,2019-10-09,Merged,955,385,59,,3
Increment the PerfView and TraceEvent version numbers,2019-06-19,Merged,953,2,2,,1
"Support NetTrace >4GB streams, Processor Numbers and a few bugs",2019-06-19,Merged,952,427,94,md ,6
Cleanup ClrTraceEventParser.cs file generation,2019-10-15,Merged,950,51,22,,3
Support for the Nettrace file format,2019-06-12,Merged,948,"1,545",185,,4
[WIP] Take optimization tiers from the Linux perf trace and show them in the UI to see stacks separately for each code version (PerfView),2020-01-14,Closed,947,"1,043",189,,6
Add WPF trace event parser,2019-05-29,Merged,943,"9,633",5,,0
Makes CTRL+L keyboard shortcut discoverable in the menu and Tips,2019-06-11,Merged,937,13,1,cs htm ,3
Update UsersGuide.htm,2019-05-09,Merged,936,4,4,,1
Update UsersGuide.htm,2019-05-09,Merged,935,1,1,,1
Update UsersGuide.htm,2019-05-09,Merged,934,1,1,,1
Update UsersGuide.htm,2019-05-09,Merged,933,1,1,,1
Fix a typo and stale link,2019-05-07,Merged,931,2,3,cs ,1
Bump the Version Numbers,2019-05-06,Merged,930,2,2,,1
Fix an issue caused by unexpected stop of trace sessions when TraceEventSession is just created and attached to check if a session is active.,2019-05-09,Merged,929,8,1,,1
Update TraceEventProgrammersGuide.md,2019-05-02,Merged,926,1,1,,0
Fix GC suspension parser to coexist with stack sampler,2019-05-21,Merged,925,28,3,,1
Add BPerf Trace Log support to PerfView,2019-05-06,Merged,923,"4,767",2,,2
Display error message when PerfView64 wrapper can't load PerfView.exe,2019-04-25,Merged,921,31,1,csproj manifest ,3
Implement custom ETW module support,2019-04-24,Closed,920,76,5,,2
Enable EventPipe streaming,2019-04-23,Merged,915,493,286,,2
Add signing support for TraceParserGen,2019-04-09,Merged,911,9,1,,1
Add R2RGetEntryPoint event to ClrTraceEventParser,2019-04-03,Merged,909,93,1,,1
Small typos and other minor fixes.,2019-04-01,Merged,908,7,5,,4
Fix official build break.,2019-04-01,Merged,907,14,0,,3
Update the docs to refer to BufferSizeMB,2019-04-09,Merged,906,2,2,,1
Fix bug where after relogging process IDs -1 on CSWITCHES.,2019-03-29,Merged,905,55,46,cs ,2
Update logging of ngen PDB directory to pass the target directory,2019-03-29,Merged,904,1,1,,1
