Fixed #717,2019-12-22,Merged,718,4,0,php ,2
Fixed TypeError in lib/Phpfastcache/Drivers/Cookie/Driver.php,2019-12-17,Merged,716,1,1,,1
Fixed #713,2019-12-03,Closed,715,45,4,,2
Released 7.1.0,2019-09-15,Merged,708,132,12,md php ,5
Released 6.1.4,2019-09-15,Merged,707,6,0,,0
fixes #700 for v6: Psr16Adapter::deleteMultiple converts $keys to an array,2019-09-04,Merged,704,65,14,,2
fixes #700: Psr16Adapter::deleteMultiple converts $keys to an array.,2019-09-04,Merged,703,65,14,,2
Fatal type error with ssdb-server >1.9.7,2019-08-02,Merged,699,4,4,,1
Fixed #694,2019-07-04,Merged,697,1,1,,1
Fixed typo in docs/examples/files.php,2019-07-04,Merged,695,1,1,,1
Fixed typo in readme,2019-06-10,Merged,691,1,1,,0
Fixed typo in readme,2019-06-11,Merged,690,0,0,,0
Fix for Zend Server SHM & Disk,2019-06-10,Closed,688,13,2,,1
Create stale.yml,2019-04-19,Merged,686,17,0,,1
Minor bug - fatal error in psr16 adapter if an exception is thrown,2019-04-09,Merged,685,14,14,,3
Fixed #680,2019-03-27,Merged,682,1,1,,1
Released 7.0.5,2019-03-03,Merged,678,11,0,,0
Fixed #675,2019-03-03,Merged,677,154,40,,5
[v6] Fix composer package name should be all lowercase,2019-01-31,Merged,671,1,1,,0
[v5] Fix composer package name should be all lowercase,2019-01-31,Merged,670,1,1,,0
[master] Fix composer package name should be all lowercase,2019-01-31,Merged,669,1,1,,0
Updated Mongodb\Config docs,2019-01-28,Merged,668,5,4,,1
I think those lines are not needed,2019-01-09,Merged,667,1,4,,1
Released 7.0.4,2018-12-21,Merged,665,11,0,,0
Add mongo db driver options,2018-12-20,Merged,664,27,3,,2
Added CacheManager::clearInstance() method,2018-09-10,Merged,654,64,5,,2
Moved exclusive files-related configurations keys to IOConfigurationTrait,2018-09-08,Merged,653,61,54,,4
Released 7.0.3,2018-09-05,Merged,651,13,1,,0
Multiples fixes on Couchbaase and Predis,2018-09-05,Merged,650,26,1,,3
Fixed #647,2018-09-04,Merged,649,5,3,,1
Added PhpfastcacheDriverConnectException exception in case that a driver failed to connect,2018-08-26,Merged,645,40,4,,3
Fixed wrong copyright annotation in some file headers,2018-08-17,Merged,643,315,108,,16
Fixed #637 // Corrupted badges on Github readme pages,2018-07-24,Merged,639,2,2,,0
Released 7.0.2,2018-07-23,Merged,636,18,2,,0
