Fix name neupat,2020-01-13,Merged,3712,2,1,,1
Remove duplicated field in json example,2020-01-13,Merged,3711,1,2,,1
Fixed issue #3304,2020-01-10,Closed,3704,6,0,,1
Fixup bug where name isnt maintained by align_measures,2020-01-10,Merged,3701,2,1,,2
Pin pylint and astroid in requirements-dev.txt,2020-01-08,Merged,3699,2,3,,0
[Stable] Bump version to prepare for release,2020-01-07,Merged,3697,2,2,py ,1
[Stable] Fix bug where lo units were not being properly converted (#3597),2020-01-07,Merged,3696,51,41,,7
Assemble meas levels validation,2020-01-09,Merged,3694,29,0,,2
[Stable] Pin nbformat to 4.4.0 (#3691),2020-01-07,Merged,3693,1,0,,0
Pin nbformat to 4.4.0,2020-01-06,Merged,3691,1,0,,0
Update deprecated call to cmd_qubits in the rescheduler,2020-01-06,Merged,3687,2,2,,2
[Stable] Replace scipy.kron with numpy.kron in quantum_initializer. (#3623),2020-01-06,Merged,3686,2,3,,1
[Stable] Fixes issue 3607 (#3642),2020-01-07,Merged,3681,5,3,,1
[Stable] Add one time warnings for dt and qubit_freq_est turn into properties,2020-01-07,Merged,3680,50,9,,2
[Stable] Update melbourne gate map for new qubit (#3677),2020-01-04,Merged,3679,2,2,,1
update melbourne gate map for new qubit,2020-01-04,Merged,3677,2,2,,1
Fixed issue 3673,2020-01-09,Merged,3675,36,2,inc ,3
Fix ``Operator.transpose`` for rectangular operators,2020-01-03,Merged,3672,12,10,,2
Visualizers properly represent complex numbers,2020-01-05,Merged,3666,129,70,yaml ,3
slight change to quaternion class constructors,2020-01-03,Merged,3664,60,23,,4
Visualizers print physical qubits as integers,2020-01-02,Merged,3663,117,79,yaml png ,7
Document `Bit.index` and `Bit.register`,2020-01-02,Merged,3662,20,0,,2
Fix typo under qiskit directory,2020-01-09,Merged,3659,42,42,bat py json pyx yaml ,24
Slack invitation link changed,2019-12-27,Merged,3655,1,1,,0
Keeping randn in TwoQubitWeylDecomposition but seeded,2019-12-29,Merged,3653,9,2,,2
"Revert ""remove randomness from two_qubit_decompose""",2019-12-26,Merged,3652,2,2,,1
fix typo under test directory,2019-12-26,Merged,3651,29,29,ipynb ,18
"fix typo under qiskit/circuit, qobj, quantum_info, and visualization",2019-12-24,Merged,3650,25,25,,14
skip test_crosstalk_adaptive_scheduler when z3-solver not available,2019-12-23,Merged,3648,13,10,txt ,2
fix typo under python/test,2019-12-23,Merged,3645,13,13,,4
Inconsistencies in linefeed lines in mpl drawer corrected.,2020-01-05,Closed,3644,6,6,,1
fix typo in release notes,2019-12-20,Merged,3643,7,7,,6
Huge gaps between 'unitary' gates in mpl drawer corrected,2019-12-24,Merged,3642,5,3,,1
Add missing quotes to issue templates,2019-12-19,Merged,3638,2,2,,0
Make python 3.7 default in CI and remove duplicate job,2019-12-20,Merged,3636,8,12,,2
Bump pylint version to unify across elements,2020-01-07,Merged,3635,79,80,txt py ,25
output as first kwarg in circuit.draw,2019-12-20,Merged,3632,21,7,yaml ,2
Add CouplingMap.draw method.,2019-12-19,Merged,3630,32,0,yaml ,2
Remove quaternions from XYX synthesis algorithm,2019-12-31,Merged,3628,140,154,,1
"Revert ""Allow giving jobs names via execute for IBMQ devices""",2019-12-17,Merged,3624,2,9,,1
Replace scipy.kron with numpy.kron in quantum_initializer.,2019-12-17,Merged,3623,2,3,,1
Allow giving jobs names via execute for IBMQ devices,2019-12-17,Merged,3622,9,2,,1
reorganize passes directory,2020-01-09,Merged,3621,224,94,py pyx pxd ,58
Coupling map constructors,2019-12-18,Merged,3618,90,0,yaml ,3
Aer ibmq except import error 3613,2019-12-26,Closed,3616,16,9,yaml ,2
Replace tabs with spaces in .json schemas,2019-12-13,Merged,3608,26,26,,2
Update .mailmap,2019-12-19,Merged,3603,86,2,,1
Add Crx and Cry gates,2019-12-18,Merged,3600,357,19,,8
Fix bug where lo units were not being properly converted,2020-01-06,Merged,3597,51,41,,7
Added one time warnings for dt and qubit_freq_est turning into properties,2019-12-13,Merged,3594,50,9,,2
Corrected the error in the display of multi-letter subscript of a register,2019-12-31,Closed,3590,1,1,,1
Bump version string post release,2019-12-10,Merged,3589,2,2,py ,1
Fix bug where too many framechanges in table would cause plotting to fail,2019-12-10,Merged,3588,10,2,,2
remove randomness from two_qubit_decompose,2019-12-23,Merged,3585,2,2,,1
Add release notes for #3307.,2019-12-09,Merged,3584,7,0,,1
One time dt/dtm unit conversion warning,2019-12-10,Merged,3583,9,0,,1
Fix enum meas_return to_dict bug,2019-12-09,Merged,3582,113,55,,2
Fix transpile to only check for max qubits if backend is not a simulator,2019-12-09,Merged,3578,24,2,,3
Fix dynamic spacing for gate params in mpl circuit.draw(),2019-12-09,Merged,3575,16,8,,1
Deprecate cmd def,2019-12-10,Merged,3573,60,47,yaml ,10
Fix phase for controlled Rz,2019-12-09,Merged,3569,117,40,,3
Fix Scheduler MemorySlot mapping (issue #2704),2019-12-08,Merged,3567,112,43,,3
Decompose substitute_node only when gate width matches definition.,2019-12-09,Merged,3566,21,2,,4
Issue templates: add labels,2019-12-18,Merged,3560,3,42,,0
Updates to job monitor,2019-12-09,Merged,3559,23,10,,2
"Revert ""Run BarrierBeforeFinalMeasurements pass regardless of property_set['is_swap_mapped']""",2019-12-05,Merged,3558,43,53,,5
Use backend n_qubits to check if circuit can fit on device if coupling_map is None,2019-12-06,Merged,3557,164,7,yaml ,5
Fix visuals for 1Q devices,2019-12-05,Merged,3556,110,95,,2
Handle cregs in circuit_to_gate() converter,2019-12-06,Merged,3555,18,3,,2
Support datetimes in backend monitor job history,2019-12-06,Merged,3554,6,1,,1
Fix qobj json schema ref,2019-12-13,Merged,3553,1,1,,1
Handle string parameters in circuit drawer,2019-12-05,Merged,3552,3,1,,2
Scheduler release note,2019-12-05,Merged,3551,62,0,,1
Cleanup CONTRIBUTING.md file,2019-12-05,Merged,3550,21,483,,0
Prepare for 0.11.0 release,2019-12-10,Merged,3549,207,145,,34
Replaced relative imports with absolute imports in visualization tests.,2019-12-12,Closed,3548,5,5,,5
Remove implicit string cast of the snapshot label,2019-12-05,Merged,3544,4,8,yaml ,2
Remove deprecated CXBase gate,2019-12-05,Merged,3543,10,54,yaml ,5
Fix side effects of setting numpy.random.seed,2019-12-05,Merged,3541,67,10,yaml ,4
Remove deprecated UBase gate,2019-12-03,Merged,3539,7,70,yaml ,4
Make gate_map seaborn import occur at runtime,2019-12-04,Merged,3538,6,1,,1
Fix parallel flags,2019-12-03,Merged,3537,2,2,,1
Improve inverse function for ControlledGate class,2019-12-06,Merged,3534,44,0,,2
Crosstalk adaptive gate scheduling pass,2019-12-22,Merged,3532,916,2,,1
Add validation of backend memory support when executing with memory=True,2019-12-06,Merged,3528,14,0,yaml ,3
Format pulse defaults,2019-12-10,Merged,3526,938,51,,3
Fix control qubit channel bug in pulse backend configuration,2019-11-28,Merged,3524,2,6,,1
Merge pull request #1 from Qiskit/master,2019-11-30,Closed,3521,0,0,,0
add zxz decomposition,2019-12-13,Merged,3519,44,2,yaml ,3
Fixed noise adaptive layout choosing 0 reliability cx,2019-11-30,Merged,3518,16,14,,1
Setting a limit for CSPLayout,2019-12-16,Merged,3515,153,7,yaml ,3
Add ability to get counts from statevectors and density matrices,2019-11-27,Merged,3514,179,6,,7
A circuit without registers should have depth=0,2019-11-24,Merged,3513,10,0,,2
Add Hellinger fidelity discrete probability measure.,2019-11-25,Merged,3510,133,0,,4
Update error map colormap to cube helix,2019-11-27,Merged,3508,4,4,,1
Remove top-level sympy imports from multi-control gates.,2019-11-25,Merged,3507,2,2,,2
Revert auto-Parameter creation from param of type str.,2019-11-22,Merged,3506,2,2,,1
Revert addition of p as alias for s gate on QuantumCircuit.,2019-11-28,Merged,3505,0,10,yaml ,2
Add FakeRochester to mock backends.,2019-11-22,Merged,3504,94,3,json png ,8
fix pulse channel indexing,2019-12-06,Merged,3501,6,9,,1
Remove samples,2019-11-20,Closed,3500,859,50,py ,2
Lexer,2019-11-20,Closed,3499,490,1,py ,8
Issue #3496: empty filter bug for pulse.Schedule,2019-11-20,Merged,3498,43,4,,2
docstring proofreading fixes,2019-12-26,Merged,3497,144,143,,10
Refactor plot histogram,2019-11-20,Merged,3495,67,37,,1
Remove Jupyter tools,2019-11-21,Closed,3494,0,"2,346",py ,3
Use Enum for meas_level and meas_return,2019-12-06,Merged,3493,42,19,yaml ,8
parser,2019-11-19,Closed,3492,336,0,,10
Fix parallel_map for Python3.8 on Mac OSX,2019-12-02,Merged,3491,25,16,,2
Gate parameters support mix of indexes and bits,2019-11-20,Merged,3490,14,1,,2
Removing unused import modules from test_controlled_gate.py,2019-11-19,Merged,3487,1,7,,1
Fixed issue #3476 by updating matplotlib.py,2019-12-10,Closed,3486,22,19,,1
Fixed issue #3461 by updating matplotlib.py,2019-12-06,Merged,3484,2,2,,1
fix pulse draw failures on channels_to_plot,2019-11-16,Merged,3483,7,7,png ,4
"Revert ""Schedule: deprecate channels_to_plot parameter and use channels instead""",2019-11-16,Closed,3482,28,56,,4
MergeAdjacentBarriers to first check if barriers are adjacent.,2019-12-06,Merged,3481,100,64,,3
syncing qiskit/qasm/libs/qelib1.inc and qiskit/extensions/standard/cu3.py,2019-11-20,Merged,3479,8,4,inc ,3
fake almaden enhancement,2019-11-15,Merged,3478,20,26,py ,3
Docstrings updates for qiskit.transpiler.passes.[n-z],2019-11-15,Merged,3477,119,68,,14
Use \frac for fractions of pi with latex drawer,2019-11-20,Merged,3474,24,6,,1
Handle unicode parameters in latex circuit drawer,2019-11-20,Merged,3473,39,32,,1
Converter examples added,2019-12-04,Merged,3470,76,0,,4
add test for to_matrix method of standard gates,2019-11-27,Merged,3469,40,1,,1
added release notes for controlled gate class (#2862).,2019-11-30,Merged,3465,31,2,py ,2
Update visualization picheck to handle parameters,2019-11-14,Merged,3459,3,0,,1
Deal with None as return from job.queue_position(),2019-11-15,Merged,3458,12,2,yaml ,3
fix no IBMQ.backends(),2019-11-12,Merged,3456,6,5,,2
replace q_if with control,2019-11-20,Merged,3455,175,169,,8
Params in controlled gates,2019-11-12,Merged,3454,15,18,,3
Create codeowners for scheduler,2019-11-11,Merged,3452,1,0,,1
don't serialize private attributes,2019-11-21,Merged,3451,4,0,,1
