Update to currently supported ruby versions,2019-10-24,Merged,323,10,10,,1
Attempt to fix build,2019-10-24,Merged,322,27,21,,6
Use a CTE to prevent a nested loop from locking multiple jobs,2019-10-14,Merged,320,19,4,,1
scheduled_at should come back as a Time object,2019-10-14,Closed,315,5,1,,1
"Remove support for older Postgres versions, also add migrations for 4.0.0",2019-10-18,Merged,313,126,19,rb sql ,7
Fix PG::ConnectionBad issue,2019-10-18,Merged,312,18,19,,2
"Skip locked, merged with master",2019-07-18,Merged,311,10,74,rb sql ,3
Don't rescue Time.now exceptions in log_yield,2019-07-18,Merged,310,1,1,,1
Update README.md,2019-07-05,Merged,309,59,51,,0
Add some fixes for fresh installs with AR migrations,2019-07-18,Merged,308,103,91,gitignore md rb ,3
"Make QC fail with versions of PG < 9.6, add notes in readme and chang…",2019-07-03,Merged,307,24,21,rb ,4
Add frozen string literal to everything,2019-07-03,Merged,306,46,0,Rakefile rb ,23
Add testing for other versions of ruby and pg,2019-07-03,Merged,305,126,0,,1
Move to Circle CI,2019-07-03,Merged,304,71,39,gitignore Gemfile md changelog rb ,7
Use skip locked,2019-07-18,Closed,303,6,72,sql ,2
check that the connection is still able to make queries,2019-07-05,Closed,301,28,1,,4
Create CODE_OF_CONDUCT.md,2018-07-17,Merged,298,46,0,,0
Change ruby versions to currently supported ones.,2019-07-03,Merged,297,4,6,changelog ,2
Update max pg version to 2.1,2018-07-17,Closed,295,1,1,,1
Automatically retry enqueuing after connection reset,2019-07-03,Merged,294,64,2,,2
"CHANGELOG.md with dates, compare links",2019-07-03,Merged,293,65,31,,0
[refactor] tasks: use Kernel#abort,2019-07-03,Merged,292,2,5,,1
Change PG Version to <= 2.0,2018-07-17,Merged,291,8,8,gemspec ,5
use latest Rubies,2017-05-19,Merged,290,3,3,,1
Bump pg dep from < 0.20 to < 0.21,2018-07-17,Closed,289,1,1,,1
restore Forking section to README,2019-07-18,Closed,288,18,0,,0
CI against current newest stable rubies (take 2),2017-01-30,Merged,287,2,2,,1
Fix failing Travis CI builds,2017-01-30,Merged,286,6,2,,1
Bump pg version dependency,2016-09-27,Merged,284,1,1,,1
Update setup to reflect latest stable release,2016-07-29,Merged,282,1,1,,0
Change all SQL keywords to uppercase,2016-08-10,Merged,281,35,42,sql ,6
Fix custom worker example,2016-06-06,Merged,280,2,2,,0
Use correct gem version specification in README,2016-03-15,Merged,278,1,1,,0
show how to run a single test in the readme,2016-02-08,Merged,277,2,1,,0
Add handler when job is a success so it's easier to add custom logging / monitoring,2016-01-14,Closed,275,44,2,rb ,2
Fix typo in test name,2016-01-14,Merged,274,1,1,,1
more detailed example in the README,2016-01-14,Merged,273,19,0,,0
turn job into a class,2016-01-13,Closed,272,73,43,rb ,4
use https for rubygems urls,2016-01-12,Merged,271,2,2,md ,1
use require_relative everywhere,2016-01-13,Merged,270,5,8,,5
Don't rescue Time.now exceptions in log_yield,2016-01-12,Merged,269,1,1,,1
Fix typo,2016-01-10,Merged,267,1,1,,1
Rescue ScriptError and NoMemoryError as well as StandardError.,2019-07-03,Merged,263,155,4,,3
"`enqueue`, `enqueue_at`, `enqueue_in` return job hash with id",2015-08-13,Merged,262,26,2,rb ,3
Fix for postgres versions below 9.2,2016-01-15,Closed,261,5,1,rb ,2
Change json datatype to jsonb,2015-06-15,Merged,257,10,6,changelog sql ,2
Count scheduled vs ready jobs,2019-07-18,Merged,255,33,3,,2
Give some <3 to our unit tests,2015-02-19,Merged,254,31,31,Gemfile Rakefile rb ,7
Change QC::Queue interface to support setting the conn adapter in the constructor.,2019-07-03,Closed,253,10,3,,3
Added LICENSE and modernized gemspec,2015-02-18,Merged,251,44,18,Rakefile rb gemspec ,3
Make QC a bit thread safe,2015-02-17,Merged,248,49,6,,2
"Filename typo prevented ""gem build queue_classic.gemspec""",2015-01-18,Merged,245,1,1,,1
Add exception location to default `handle_failure` output,2015-01-15,Merged,243,1,1,,1
Handle edge case of a job mutating arguments,2015-02-16,Closed,242,40,1,,2
make it possible to inject a custom worker for QC's rake tasks.,2015-01-12,Merged,241,29,1,rb ,3
Unused variable que,2014-11-04,Closed,238,2,3,,2
Remove unused variable,2014-11-04,Closed,237,0,1,,1
Fix upgrade,2014-10-10,Merged,235,28,12,sql ,5
detect Rails DB connection and use it,2014-10-10,Merged,232,70,12,rb ,2
Fix Worker for use with DATABASE_URL,2014-09-02,Merged,226,46,1,,2
move unlock_jobs_of_dead_workers,2014-08-20,Merged,224,28,28,,4
remove useless require of thread,2014-08-28,Merged,223,0,1,,1
Asynchronous forked workers with specs,2019-07-18,Closed,220,269,39,,3
Change spec so it doesn't freak out on multiple pg connections,2019-07-03,Merged,219,6,5,,1
Fixes forking for workers. Should not corrupt pg connection anymore.,2014-05-14,Closed,218,105,10,,3
Support for scheduling jobs in the future,2015-01-07,Merged,217,113,6,rb sql ,9
handle_failure method gets access to queue from which the failing job originated,2014-05-01,Merged,215,5,2,,2
Bug: Travis Builds Are Failing,2015-05-14,Closed,212,0,2,,1
add conditional measure output,2014-04-03,Merged,211,21,4,md ,3
remove debug output,2014-04-03,Closed,210,0,4,,2
Resolved circular require warnings,2014-03-31,Merged,208,7,9,,3
Handle crashes,2014-04-04,Closed,206,122,5,Rakefile rb md sql ,13
Add code climate badge,2014-03-22,Merged,205,15,2,Gemfile md ,2
