Fix regression,2019-07-31,Merged,1889,25,16,,1
Added CyberPanel password changing plugin,2019-07-31,Merged,1888,214,0,plugins/change-password-cyberpanel/LICENSE plugins/change-password-cyberpanel/README md plugins/change-password-cyberpanel/VERSION ,5
Fix hide_x_mailer_header config option behaviour,2019-07-01,Merged,1878,2,0,,1
plugin hmail-alias integration,2019-04-11,Closed,1862,136,0,plugins/hmail-aliases/README plugins/hmail-aliases/VERSION php ,4
Added generic REST change password plugin,2019-03-27,Merged,1845,272,0,plugins/rest-change-password/README php plugins/rest-change-password/VERSION ,5
Use `random_bytes` if available in postfix plugin,2019-03-27,Merged,1833,5,1,,1
Content image max width size set to 100%,2019-03-27,Merged,1821,4,0,,1
"[WIP] Fix non quoted LIST command, failing on brackets [label]/",2019-01-02,Closed,1818,8,1,,1
Added missing 'LABEL_ALLOW_DRAFT_AUTOSAVE' and corrected small typo,2019-03-27,Closed,1810,2,1,,1
ldap-contacts-suggestions: Allow anonymous ldap_bind(),2019-03-27,Merged,1804,16,9,plugins/ldap-contacts-suggestions/VERSION ,3
auto-domain-grab use MX record for Host,2019-03-27,Merged,1802,20,4,,1
Custom SQL password plugin - SQL injection vulnerability fix,2018-10-20,Merged,1791,45,8,,2
Secured Data Folder,2018-12-28,Closed,1785,5,0,,1
Vacation Message Update,2019-03-27,Closed,1774,2,2,html ,2
Use random_bytes() in phpseclib/Crypt/Random.php,2019-03-27,Closed,1754,3,0,,1
Czech translation,2019-03-27,Closed,1725,50,50,,1
use default data directory if not defined in NextCloud config,2019-03-27,Merged,1719,1,1,,1
"Added support to additional search field (defaults to ""uid"")",2019-03-27,Merged,1716,31,8,,2
Allow anonymous bind to ldap for contact suggestion search.,2019-03-27,Closed,1702,2,3,,1
Remove unused GuzzleHttp library.,2018-05-16,Merged,1691,0,"14,006",,3
start tls and gecos,2019-03-27,Merged,1690,13,3,,2
fixed wrong PL translation,2019-03-27,Closed,1662,2,2,,1
Fix cs_CZ.yml BUTTON_REPLY_ALL typo,2019-03-27,Closed,1651,1,1,,1
Fix localStorage check when embedded in iframe (firefox),2019-03-27,Merged,1648,8,1,,1
Added MailEnable 'Junk E-mail' and 'Deleted Items' folders support.,2018-02-20,Merged,1636,4,0,,1
Hotfix plugins/auto-domain-grab/index.php,2018-02-20,Merged,1634,8,2,,1
Fixup switch statement in Cacher driver setup,2019-03-27,Closed,1633,31,24,,1
Clean up dependencies in package.json,2018-02-20,Merged,1611,2,4,json ,2
Add froxlor password change plugin,2018-02-20,Merged,1598,391,0,plugins/froxlor-change-password/LICENSE plugins/froxlor-change-password/README plugins/froxlor-change-password/VERSION ,5
Create index for id_contact and prop_type on rainloop_ab_properties,2018-02-20,Merged,1588,2,1,,1
Some improvement of CZech language,2018-02-20,Closed,1586,51,51,,1
Add PostgreSQL to postfixadmin-change-password Plugin,2018-02-20,Merged,1584,52,15,plugins/postfixadmin-change-password/VERSION ,3
Fix the case for 'Mime-Version',2018-02-20,Merged,1565,1,1,,1
