Update create app.js,2020-01-13,Merged,1760,149,62,js ,1
Fix cli links,2020-01-08,Merged,1756,3,3,,0
Update dependencies in example apps,2019-12-11,Merged,1742,5,5,,2
Update compatibility docs for react-native versions v0.60-v0.61,2019-12-11,Merged,1741,1,0,,0
Move PublicKey and ServerUrl properties to string resources,2019-12-11,Merged,1740,69,28,xml md json js ,9
Update titles for Android docs,2019-12-09,Merged,1739,9,9,js ,2
Update multi-deployment-testing-android docs for v0.60,2019-12-06,Merged,1738,62,21,,0
Add react-native@0.60 and above support,2019-12-06,Merged,1735,182,28,js ,1
Bump Microsoft.ChakraCore from 1.4.1 to 1.11.7 in /Examples/CodePushDemoApp-pre0.49/windows/CodePushDemoApp.Wpf,2019-12-11,Merged,1716,1,1,,1
Update README.md,2019-10-15,Merged,1700,2,0,,0
Chore: Migrate to new cli configuration to support RN 0.60.x,2019-10-18,Closed,1699,16,14,js ,2
Update to react native config from deprecated rnpm config. Configured as dependency.,2019-12-07,Closed,1678,17,14,js ,2
Bump code-push sdk version to 3.0.1,2019-08-20,Merged,1660,24,14,,2
Update server url,2019-08-19,Merged,1658,158,126,md m ,2
Migrate react native cli,2019-07-28,Closed,1644,14,16,json js ,4
Update packages,2019-07-19,Merged,1631,"2,011","1,995",,1
Replace app store version with binary version in docs,2019-06-18,Merged,1614,4,4,md h ,2
docs: update android staging config,2019-06-06,Closed,1595,3,1,,0
Сreate postunlink command for clearing CodePush setup changes,2019-05-30,Merged,1588,388,175,js ,4
Update setup-ios.md,2019-06-10,Closed,1587,1,1,,0
Update README screenshot,2019-05-08,Merged,1582,1,1,,0
Exposing downloadAndInstall method,2019-04-30,Closed,1574,160,19,project prefs java m ,8
Update README.md,2019-04-30,Merged,1573,1,1,,0
Update android multi deployment testing docs,2019-04-22,Merged,1562,3,0,,0
Clearing docs,2019-04-02,Merged,1555,40,40,,0
Change docs for react-native@0.59,2019-03-18,Merged,1545,32,2,,0
Add support react-native@0.59,2019-03-15,Merged,1543,51,29,js ,2
Handle JSON parsing exception,2019-03-15,Merged,1540,14,1,,2
Fix unnecessary asking of android deployment key with link command,2019-03-15,Merged,1538,29,11,js ,3
log when load bundle fails.,2019-03-18,Merged,1536,1,0,,1
Replaced new jsCodeLocation in docs,2019-02-12,Merged,1522,2,2,,0
Update react-native-code-push.d.ts,2019-02-20,Merged,1515,1,1,,1
Replaced codepush home page link,2019-01-23,Merged,1508,1,1,,0
Fixed Apple Developer Program License Agreement link,2019-01-18,Merged,1502,1,1,,0
Fixed issue with loss of the public key,2019-01-15,Merged,1501,8,8,,1
add android ci,2019-02-09,Closed,1499,24,2,gradle ,2
Update README.md,2019-01-15,Closed,1494,1,0,,0
Fixes typo in TypeScript typings: DowloadProgressCallback -> DownloadProgressCallback,2018-12-26,Merged,1491,3,3,,1
added ios/Frameworks to ignore list for ios/postLink.js,2019-02-09,Closed,1489,2,2,,1
Fix ios postlink,2018-12-21,Merged,1482,25,13,,1
Replace deprecated 'compile' gradle configuration with 'implementation',2019-01-15,Merged,1477,3,3,,1
Update api-js.md,2018-12-20,Closed,1475,6,0,,0
Validate hash and signature on restart,2019-02-09,Closed,1472,69,0,h m ,8
Remove android.support.annotation.NonNull import,2018-12-12,Merged,1471,2,3,,1
Updated docs for rollback retry mechanism,2018-12-07,Merged,1468,6,6,ts ,1
[Feature] Re-try mechanism for CodePush Rollbacks,2018-12-06,Merged,1467,292,4,java md h m ,7
DOC - exact way to use codepush when app is not launched from Activity,2019-02-09,Closed,1459,37,10,,0
Fixed the next issue,2018-11-15,Closed,1447,31,1,,1
