[Docs] withRouter API imported from react-router-dom,2020-01-08,Closed,7097,1,1,,0
Link: Add caveat doc about invariant,2019-12-25,Closed,7078,1,1,,0
explain same component in multiple routes,2019-12-10,Merged,7061,2,0,,0
docs(hashrouter): correction on link example,2019-11-27,Closed,7052,1,1,,0
Fixes link on web quick start docs.,2019-11-21,Closed,7042,1,1,,0
Added a note about how to redirect when using hooks,2019-11-17,Closed,7037,12,0,,0
Add third party animated transitions example,2019-11-16,Closed,7035,184,0,,2
fix(docs): fix broken link to primary components guide,2019-11-18,Merged,7034,1,1,,0
fix: website build (update packages),2019-11-18,Merged,7025,850,125,json ,2
add more detail to useRouteMatch hook documentation,2019-10-24,Merged,7009,10,0,,0
Add URL leading to `useRouteMatch` hook API,2019-12-30,Closed,7007,1,1,,0
Make react-router exports explicit,2019-10-22,Merged,7002,37,14,,2
fix typo in examples: change useRouterMatch to useRouteMatch,2019-10-10,Merged,6988,2,2,,0
release a deprecated react-router-dom,2019-10-09,Closed,6984,"3,136",18,,1
deprecate react-router & react-router-dom and lock on version 4.4.0,2019-10-09,Closed,6983,234,74,,1
Update hooks.md,2019-10-08,Merged,6977,2,2,,0
Update examples and docs to use hooks API,2019-10-08,Merged,6976,"1,045",774,md ,1
Updated examples to fix breaking layout,2019-10-07,Merged,6975,11,2,,0
Update quick-start.md,2019-10-05,Closed,6970,6,2,,0
Centralize jest + babel configs,2019-10-15,Merged,6967,557,883,json babelrc ,14
Use JSX for code block,2019-10-03,Merged,6966,2,2,,0
Fix code example in testing guide,2019-10-03,Merged,6963,1,1,,0
v3: fix React version detection for lifecycle renaming,2019-10-03,Merged,6961,2,2,,2
Fix recursive example,2019-10-02,Merged,6957,1,1,,1
Remove extra space before the ellipsis,2019-10-01,Merged,6956,1,1,,0
Fix documentation for nested routing,2019-10-01,Merged,6952,3,9,,0
pass routing props to children of <Route />,2019-10-01,Closed,6951,35,1,,2
typo: useMatch -> useRouteMatch,2019-09-29,Merged,6948,2,2,js ,1
fix regression to allow for empty-string paths,2019-09-27,Merged,6942,18,1,,2
fix(useParams): fix issue with useParams reading from null object,2019-09-27,Merged,6940,23,1,,2
ADD: status of feature `to function`,2019-09-26,Closed,6933,1,0,,0
add useRouter hook,2019-09-24,Closed,6925,79,17,js ,5
Centralize jest + babel config at repo root,2019-10-15,Merged,6922,469,915,json babelrc ,17
Fix typo in docs for location API,2019-09-14,Merged,6916,1,1,,0
Clarifying documentation <Redirect> exact & strict,2019-09-13,Merged,6915,20,1,,0
"Use forwardRef on Link, NavLink",2019-09-13,Merged,6914,208,102,,4
use getDerivedStateFromProps instead of componentWillReceiveProps,2019-09-11,Merged,6907,19,8,,0
docs: Fix missing comma in docs/api/location.md,2019-09-11,Merged,6904,1,1,,0
remove clever example in testing guide,2019-09-19,Merged,6903,96,101,,0
Fix quick-start guide: nested route doesn't work,2019-09-04,Closed,6895,1,1,,0
docs: fix typo in docs/guides/code-splitting.md,2019-08-28,Merged,6887,1,1,,0
Link - add element shape for innerRef,2019-08-27,Merged,6886,6,2,,1
Make to prop for Links optional,2019-08-22,Closed,6884,13,9,,1
react-router-v3: Add UNSAFE_ prefixes to deprecated lifecycle methods,2019-08-23,Merged,6883,48,18,json lock ,4
Improve documentation readability for matchPath,2019-08-08,Merged,6867,13,11,,0
add script for linting,2019-08-07,Closed,6864,20,0,js ,2
NavLink - pass currentLocation to isActive prop (#6862),2019-09-10,Merged,6863,17,3,,2
Add linting to react router native,2019-08-05,Closed,6859,"1,108",174,,1
add linting to travis build,2019-08-05,Closed,6857,9,0,,1
export default renderToStringStrict,2019-08-04,Merged,6856,1,1,,1
Fix a description mistake in the `Route.md`,2019-08-02,Merged,6853,1,1,,0
Add support `toLocation` to <NavLink /> method isActive,2019-07-27,Closed,6847,45,21,md js ,3
docs: Fix links to reactjs docs,2019-07-25,Merged,6841,6,6,,0
Update Link.md,2019-07-23,Merged,6837,1,1,,0
build: add sourcemaps,2019-07-10,Merged,6823,63,15,js ,6
Update CONTRIBUTING.md,2019-07-03,Merged,6816,4,2,,0
"Add useRouter(), useParams() and useLocation() hooks",2019-07-03,Closed,6812,479,16,md js ,4
matchPath() accepts an array of paths as 2nd argument,2019-06-25,Merged,6809,35,25,md js ,4
docs: update scroll-restoration code example,2019-06-24,Merged,6807,1,1,,0
Support react 16.6 for react-router v3,2019-06-25,Merged,6806,94,19,json lock ,5
Remove basename before pushing internal links,2019-06-18,Merged,6798,16,5,,3
Update Route.md,2019-06-16,Merged,6792,7,5,,0
Added on to the support comment.,2019-06-15,Merged,6788,3,1,,1
add hooks option to scroll restoration docs,2019-06-02,Merged,6762,14,0,,0
Small code change in matchPath.md,2019-05-31,Merged,6761,2,2,,0
esModule: false fix read only TypeError in exports,2019-05-29,Merged,6758,3,3,,3
export explicitly from react-dom to avoid cjs __esModule read only prop,2019-05-28,Closed,6757,24,2,,2
Rename __RouterContext to __FOR_INTERNAL_USE_ONLY__,2019-09-17,Closed,6753,68,145,js ,7
Updated some devDependencies to fix audit warnings,2019-05-11,Merged,6741,"22,345","20,544",,2
Fix build on windows.,2019-05-11,Merged,6740,57,25,json ,7
Replace onClick event listener,2019-05-09,Closed,6736,64,11,,2
remove mini-create-react-context,2019-04-21,Closed,6716,34,62,json ,4
matchPath: Fixed exception thrown if `path` is undefined,2019-04-20,Merged,6715,10,0,,2
change status to statusCode,2019-04-19,Closed,6712,2,2,,0
prevent reload of page if an error occurs in onClick event handler,2019-04-20,Merged,6711,61,19,js ,4
use huskyrc file,2019-04-16,Merged,6706,92,45,json ,3
Update matchPath docs,2019-04-14,Merged,6703,31,0,,0
Add a default value for context in StaticRouter.navigateTo,2019-04-09,Merged,6698,1,1,,1
Switch to mini-create-router-context,2019-04-07,Merged,6692,47,104,js ,5
add noMatchedParams prop to Redirect,2019-04-06,Closed,6691,55,11,md js ,3
call createLocation on 'to' regardless of type,2019-04-06,Merged,6690,36,5,,2
withRouter: Directly use RouterContext instead of Route.,2019-04-03,Merged,6685,36,29,js ,3
Pin create-react-context to 0.2.2,2019-04-01,Merged,6682,7,7,,2
fix(react-router): Allow string and object refs in withRouter,2019-05-15,Merged,6680,5,1,,1
Fix website internal links not prepended with public path,2019-04-09,Merged,6678,37,48,js ,4
fix: set DisplayName correctly for Named Context,2019-03-29,Merged,6677,2,2,,1
Document Redirect sensitive prop.,2019-03-29,Merged,6676,4,0,,0
Fixed maximum update depth exceeded caused by Redirect.,2019-04-02,Merged,6674,36,2,,2
Update Jest and react-router-native dev deps,2019-03-26,Merged,6668,"15,163","8,579",,3
Implemented Match component.,2019-06-12,Closed,6666,508,36,js ,3
Added onKeyPress handler to Link.,2019-03-24,Closed,6664,130,0,,2
Wrote event handling tests for Link.,2019-03-24,Merged,6663,95,2,,1
"Removing ""update blocking"" content",2019-05-15,Merged,6652,110,353,js ,1
Example references deprecated API,2019-03-19,Merged,6646,2,2,,0
Use Lerna file specifiers,2019-04-03,Closed,6644,"27,248","58,077",json ,3
Activating Open Collective,2019-09-17,Closed,6637,38,3,json ,1
Fix undefined Element #6610,2019-03-13,Closed,6624,156,27,js ,9
Don't override path in NavLink component. Fixes #6613,2019-05-16,Merged,6623,99,29,js ,4
Basic support of partial <Route /> paths (with passing tests),2019-06-12,Closed,6618,0,0,,0
Fix typo in comment,2019-03-06,Merged,6615,1,1,,0
"Adds missing ""const"" keyword to Element",2019-03-02,Merged,6609,1,1,,1
Polyfill Element for Node,2019-03-03,Merged,6607,2,0,,1
Fixes offset for sample code,2019-03-01,Merged,6606,1,1,,1
change from ariaCurrent to aria-current,2019-02-25,Merged,6599,1,1,,0
add note about promise in `getComponent`,2019-02-19,Merged,6586,4,1,,0
