expose TCP lifo runtime config via log,2020-01-13,Merged,1271,6,0,,1
Fix/kube multicolor traffic switch,2020-01-13,Merged,1267,269,25,,6
Forward headers from webhook filter responses,2020-01-07,Merged,1261,96,26,go ,4
fix two small issues in redis usage by cluster*Ratelimit filters,2020-01-06,Merged,1260,16,11,sum go ,3
"Fix: CPU hot busyloop by setting a default timeout to 30s, if not set",2019-12-19,Merged,1259,9,1,,1
list was no rendered correctly,2019-12-17,Merged,1257,2,0,,0
Remove excplict set of GOPROXY,2019-12-13,Merged,1256,18,19,,1
implement skipper httpclient and use it in all auth filters,2019-12-16,Merged,1255,541,230,,1
enhance opentracing support in auth filters,2019-12-16,Merged,1254,651,206,md ,8
Added new filter backendIsProxy,2019-12-04,Merged,1252,220,8,go ,6
Added option to disable HTTP keepalives,2019-11-28,Merged,1251,20,0,md ,3
close unused route and group lifo queues,2019-11-28,Merged,1250,27,1,,2
document security consideration,2019-11-24,Merged,1248,16,0,,0
improve error messages for the tracingTag filter tests,2019-11-11,Merged,1247,2,2,,1
add tracingTag filter,2019-11-11,Merged,1246,114,0,go ,3
doc: fix operations toc,2019-11-10,Merged,1245,25,26,,0
create result.csv on bench run by report.lua used in wrk,2019-11-06,Merged,1244,35,1,lua ,2
fix docker command run,2019-11-06,Merged,1243,1,1,,1
automate changelog for GH release,2019-11-05,Merged,1242,13,1,,1
Experiment/queue listener,2019-11-05,Merged,1241,"2,165",6,md ,3
fix bug when having at least 3 prepend filters,2019-10-31,Merged,1239,39,2,,2
doc: add redirectTo https example,2019-10-25,Merged,1236,9,3,,0
add major and minor from a fixed VERSION file,2019-10-24,Merged,1235,8,13,VERSION yaml ,3
show example yaml files and add a how to deploy all of these files,2019-10-24,Merged,1234,401,266,,8
"Allowed origin header should be a single value, not a list",2019-10-23,Merged,1232,33,2,,2
Move config code to own package,2019-10-22,Merged,1231,18,18,yaml ,17
Fix flaky tests,2019-10-18,Merged,1229,14,0,,1
doc fix typo,2019-10-17,Merged,1228,1,1,,0
Allow wildcard name collision,2019-10-30,Merged,1227,502,640,,2
use the version and commit hash in each build output,2019-10-22,Merged,1225,38,6,,1
improve config.yaml documentation,2019-10-15,Merged,1223,13,0,,0
remove reporting deprecated filter from startup,2019-10-22,Merged,1221,0,1,,1
Feature to include additional data to the access log,2019-10-14,Merged,1220,32,6,,6
trim origin markers after evaluated,2019-10-10,Merged,1219,164,2,,3
Clarify that flowIds must be of a certain format to be reusable,2019-10-09,Merged,1218,10,2,go ,1
set origin markers only when there were any changes to the routes,2019-10-14,Merged,1216,124,8,,2
set the go.mod go version to the automatically applied one,2019-10-09,Merged,1215,1,1,,1
update go version in go.mod,2019-10-08,Merged,1214,1,1,,1
update security reporting mechanism,2019-10-07,Merged,1213,8,1,,0
updated security reporting mechanism,2019-10-07,Closed,1212,2,1,,0
keep the trailing slash in the path for regexp matching,2019-10-08,Merged,1211,84,37,,3
Using YAML configuration file to pass args for skipper binary,2019-10-14,Merged,1205,"1,565",902,,3
Fix broken link in docs,2019-10-02,Merged,1204,1,1,,0
Add regex example for modPath,2019-10-02,Merged,1203,1,0,,0
Note that inlineContent filter is special,2019-10-02,Merged,1202,3,0,,0
Fix links to dataclients docs,2019-10-02,Merged,1201,4,4,,0
"fix conflict between Path(""/**"") and PathSubtree(""/"")",2019-10-09,Merged,1200,773,36,,2
logging auth errors,2019-10-01,Merged,1199,239,92,,3
set origin markers only when there were any changes to the routes,2019-09-30,Merged,1197,28,14,,1
add more unit test coverage for scheduler filters,2019-09-30,Merged,1196,170,12,,1
increase cluster ratelimit coverage report,2019-09-25,Merged,1194,100,1,go ,2
delete routes only on ENOEXIST when using file watching,2019-09-22,Merged,1193,1,1,,1
monitor route creation time,2019-10-15,Merged,1192,16,15,,3
monitor route creation time,2019-09-18,Merged,1191,42,31,,2
add logging for route creation time,2019-09-18,Merged,1190,19,3,,1
small doc fixes,2019-09-16,Merged,1189,9,5,,0
fix route creation time,2019-09-12,Merged,1188,10,9,,2
