add curl options for HEAD requests (otherwise HEAD fails),2017-02-24,Merged,120,13,0,,2
improved syntax and some codes.,2016-05-31,Merged,108,13,16,,1
Fixing current version in README.,2016-04-25,Merged,106,1,1,,0
Don't use CURLOPT_CUSTOMREQUEST for POSTs,2016-04-29,Merged,105,5,1,,1
Typofix,2016-04-14,Merged,102,2,2,,1
Fix composer package,2016-08-11,Merged,100,1,1,,1
Issue with priority of headers,2016-03-23,Merged,98,8,1,php ,3
Fix creating CURLFile,2016-02-16,Merged,91,1,1,,1
Fix PHPDoc,2016-02-16,Merged,90,37,25,php ,4
Fixed setting of default headers array,2016-01-20,Merged,89,26,1,,2
improved solution to override cURL options …,2015-12-15,Merged,88,18,7,,1
allow to override curlopts,2015-12-11,Merged,86,3,3,,1
fix composer command,2015-09-03,Merged,83,1,1,,0
phpdoc return type for ::post,2015-07-27,Merged,81,9,9,,1
Allow disabling of CURLOPT_SSL_VERIFYHOST,2015-06-08,Merged,79,13,0,,1
"Fixed ""Undefined variable: ch"" and add cookie string support",2015-04-03,Merged,77,23,2,php ,1
Add PHP version to readme.md's requirements,2015-03-30,Merged,76,1,0,,0
Fix Request.php,2015-03-27,Closed,75,9,10,php ,2
Native 'setMashapeKey' method for X-Mashape-Key header,2015-02-11,Merged,68,50,2,php ,2
Add cookie support,2015-04-02,Closed,67,"1,378","2,756",yml LICENSE README md json ,5
Add a Gitter chat badge to README.md,2015-01-15,Closed,65,2,0,,0
Add a Gitter chat badge to README.md,2015-01-15,Closed,64,2,0,,0
removing github image-url,2015-01-15,Merged,63,1,3,,0
v2.0.0,2015-01-15,Merged,60,"1,098",925,gitignore yml LICENSE md json php ,6
fixes #24,2014-12-18,Closed,59,51,51,,2
Update Unirest.php,2014-12-18,Closed,58,1,1,,1
No more dev-master.,2014-12-14,Closed,57,7,5,json ,1
Added support for relative paths,2014-12-18,Closed,54,22,10,,1
SSL verifier fix,2015-10-16,Closed,51,352,303,,0
Separated request from unirest class,2015-01-15,Closed,50,351,232,json php ,2
Added PHP 5.6 and HHVM to travis.yml,2014-12-18,Closed,49,2,0,,1
Remove PHP close tags,2014-12-18,Closed,48,0,4,,2
Add cookie and proxy support to Unirest,2015-02-05,Closed,47,27,0,,1
getArrayFromQuerystring URL decoding fix,2015-01-15,Closed,45,2,2,,1
Update HttpResponse.php,2015-01-15,Closed,44,2,2,,1
It needs to go to root namespace,2014-04-05,Merged,41,1,1,,1
file attachments/uploads assumes always in root namespace,2014-04-06,Merged,40,1,1,,1
Fixes file attachments/uploads,2014-03-27,Merged,39,34,6,,2
Fix querystrings getting urlencoded twice.,2014-03-19,Closed,37,1,1,,1
Check if $body is traversable before recursively sanitizing,2014-01-14,Merged,33,20,3,,2
Minor spelling fix,2014-01-08,Closed,32,1,1,,0
typo in doc,2014-01-08,Merged,31,1,1,,0
Add instructions for not verifying ssl cert,2014-01-07,Closed,30,8,0,,0
Added possibility to switch off SSL verify peer option using Unirest::verifyPeer #27,2014-01-06,Merged,29,6,1,,1
More detailed install instructions in README. ...,2013-11-02,Merged,22,17,21,,0
"Improving the library, indenting the code.",2013-11-02,Merged,21,270,271,,2
Added Debug tracing and response->raw_headers,2015-12-01,Closed,17,28,2,php ,2
Fix for class collision,2013-07-23,Merged,12,14,10,,3
"Support Extra curl_setopt's for timeout, basic auth etc.",2013-05-18,Closed,10,61,54,,1
Composer-compatiblity,2013-04-26,Merged,6,308,300,json php ,7
Patches & An Example,2013-04-16,Merged,3,39,14,,3
cosmetic change for better readability,2011-08-24,Closed,2,2,3,,1
Improve bad server response error handling,2011-07-14,Merged,1,5,1,,2
