Fix bug in CleanPath where it wasn't cleaning all invalid chars,2020-01-07,Merged,1338,78,35,,4
Add a Cloudflare DNS Validation Plugin,2020-01-07,Merged,1337,252,0,csproj md cs sln ,10
Update question.md,2019-12-28,Merged,1335,3,1,,0
Fix #1330,2019-12-19,Merged,1331,77,34,,3
Merge 2.1.2 into master,2019-12-17,Merged,1329,109,47,,11
Merge master into 2.1.2,2019-12-17,Merged,1328,0,0,,0
Update index.md,2019-12-16,Merged,1325,0,0,,0
fix bug in RegistryLegacyRenewalService when renewals are under HKEY_…,2019-12-16,Merged,1324,1,1,,1
2.1.2,2019-12-16,Merged,1323,"16,905","2,424",yml ps1 ,4
Check for unattended mode after validation success,2019-12-03,Closed,1302,2,1,,1
Update rds.md,2019-11-30,Merged,1295,10,5,,0
Create ImportRDSFull.ps1,2019-11-30,Merged,1293,404,72,ps1 md cs ,9
2.1.1,2019-11-27,Merged,1289,98,13,md cs json ,7
2.1.1,2019-11-27,Merged,1288,149,60,cs csproj ,15
Pr/1271 added support for managed service identity in azure dns,2019-11-15,Merged,1273,79,26,cs csproj ,8
Added support for Managed Service Identity in Azure DNS,2019-11-15,Merged,1271,72,22,cs csproj ,7
Add target plugin IIS Bindings #1269,2019-11-18,Closed,1270,348,0,,5
Fix #1261,2019-11-09,Merged,1264,12,2,,1
Improve HTTP validation,2019-11-09,Merged,1263,15,5,,2
fix formatting,2019-11-07,Merged,1259,5,5,,0
fix #1256,2019-11-07,Merged,1258,13,6,,1
Update issue templates,2019-11-07,Merged,1257,32,7,,0
Update issue templates,2019-11-05,Merged,1254,50,15,,0
update site,2019-11-05,Merged,1253,29,7,html md ,2
Promote .NET Core 3 version (2.1.x) to master in preparation of release,2019-11-05,Merged,1252,"8,020","8,686",gitmodules yml ps1 zip pfx txt xml cs md png ,14
Update ScriptClient.cs to remove extra double quotes being passed to powershell script's argument,2019-10-31,Closed,1247,21,3,,1
Update ImportExchange.ps1,2019-10-31,Merged,1246,9,3,md ,1
Make DNS pre-validation a configuration option,2019-10-14,Merged,1229,49,11,cs json ,9
Various changes for 2.0.10,2019-09-02,Merged,1209,"2,243",349,ps1 cs md yml html ,8
Updated comand line help about script validation,2019-08-26,Merged,1206,1,1,,1
Added Microsoft DNS Scripts,2019-08-26,Merged,1200,11,0,,1
Updated comand line help about script validation,2019-08-26,Closed,1199,1,1,,1
dns patch,2019-08-01,Merged,1182,70,29,,3
New method of finding authoritative name servers,2019-08-01,Merged,1181,70,29,,3
Removed redundant xml elements i wacs project file.,2019-08-01,Merged,1179,0,27,,1
Updates Challenge Authorize to support 'processing' challange status,2019-07-27,Merged,1176,3,2,,1
Update README.md,2019-07-12,Merged,1164,1,1,,0
Add support for private key reuse and custom CSR input,2019-07-08,Merged,1163,537,78,cs ,16
Handle long strings in multiline show,2019-06-29,Merged,1156,9,2,,1
email fix blank renewal name,2019-06-26,Merged,1155,1,1,,1
Fix for #1143,2019-06-23,Merged,1152,18,4,,1
Add unit tests for IIS http binding updates,2019-06-23,Merged,1151,"1,420",518,,1
Add encrypt/decrypt for migrating servers,2019-06-26,Merged,1145,496,250,cs ,13
Add self-hosted DNS Validation plugin,2019-06-05,Closed,1140,334,1,config csproj ,7
