String support in handle(),2020-01-10,Merged,2317,151,9,mjs ,12
Add more detailed onSync type definitions,2019-12-17,Merged,2310,13,5,,1
Absolute paths in injectManifest's filePaths return value,2020-01-10,Merged,2301,13,1,,2
Downgrade strip-comments,2019-12-05,Merged,2300,56,4,,2
Don't overwrite __WB_DISABLE_DEV_LOGS,2019-12-02,Merged,2296,5,1,,1
5.0.0-rc.1 metadata,2019-11-26,Merged,2293,2,2,,2
Publish version,2019-11-25,Merged,2292,756,481,,6
Await an async cacheWillUpdate in PrecacheController.install(),2019-11-22,Merged,2287,31,1,mjs ,2
window.__WB_DISABLE_DEV_LOGS  declaration,2019-11-22,Merged,2284,5,0,,1
Fix incorrect workbox-window doc links,2019-11-21,Merged,2283,3,3,,1
Debug logging toggle via global boolean,2019-11-21,Merged,2282,92,4,ts mjs ,10
Upgrade strip-comments to 2.0.1 from 1.0.2,2019-11-18,Merged,2280,5,168,,2
Correct a TypeScript parameter definition,2019-11-07,Merged,2275,1,1,,1
Adds in explicit self/window in a few places,2019-11-07,Merged,2274,17,17,,11
Don't log the request object in the router,2019-10-30,Merged,2268,1,6,,1
"Replace "" with ' when stringifying the manifest",2019-10-24,Merged,2264,50,1,,2
Unrevisioned precaching warning,2019-10-24,Merged,2262,66,16,ts mjs ,6
registration existence check in workbox-core,2019-10-17,Merged,2257,2,2,,1
Update metadata for 5.0.0-rc.0,2019-10-17,Merged,2256,16,16,ts mjs ,16
Export all public types directly from workbox-core,2019-10-16,Merged,2255,2,0,,1
New precache helper functions + removal of createHandlerForURL,2019-10-16,Merged,2254,322,59,ts ,9
Don't treat lack of sourcemap asset as a fatal error,2019-10-11,Merged,2251,112,24,,4
New feature : Skip waiting response,2019-11-03,Closed,2248,11,3,,2
Clean up TS style/linting issues,2019-10-07,Merged,2246,55,25,mjs ,13
Warn during multi-compilation scenarios,2019-10-04,Merged,2245,93,3,,4
Strict TypeScript cleanup,2019-10-04,Merged,2244,39,34,json ,11
strictPropertyInitialization + fixes,2019-10-04,Merged,2241,48,47,json mjs ,24
Account for injectManifest replacements in sourcemaps,2019-10-01,Merged,2239,450,"1,731",js ,5
Fixes calculateEffectiveBoundaries bug when start=0,2019-10-01,Merged,2237,26,10,mjs ,3
Ignore both swSrc and swDest when globbing for the manifest,2019-09-25,Merged,2232,139,6,,6
Allow the same swSrc and swDest in injectManifest,2019-10-01,Merged,2231,20,29,,3
Don't double-prepend the output dir,2019-09-14,Merged,2223,3,3,,2
Use cache: default for precaching requests when it's safe to,2019-09-14,Merged,2222,36,4,mjs ,2
[workbox-strategies] Fix StaleWhileRevalidate docs,2019-09-10,Merged,2220,1,1,,1
Guard against undefined reference in webpack plugin,2019-09-05,Merged,2219,4,1,,1
Rename the workbox-broadcast-update demo,2019-09-03,Merged,2215,0,0,,2
Fix incorrect Workbox#update() test logic,2019-09-03,Merged,2214,139,7,,1
Fix workbox-broadcast-update link,2019-09-02,Closed,2212,1,1,,0
Move adding the message listener to the constructor,2019-09-03,Merged,2211,77,10,mjs ,2
Add a check to wait for the resulting client ID,2019-09-26,Merged,2210,522,80,js ,3
