Add error handler on saveConfig,2020-01-12,Merged,1147,6,5,,1
Fix cached abs not getting the latest version,2019-12-26,Merged,1136,7,7,mod sum ,3
Fix completionrefreshtime option in man page,2019-12-05,Closed,1131,1,1,,1
Add low priority option [v3],2019-11-22,Closed,1122,55,0,completions/fish completions/zsh 8 ,8
Add low priority option [v2],2019-11-21,Closed,1121,56,0,completions/fish completions/zsh 8 ,8
Add low priority option,2019-11-21,Closed,1120,72,0,completions/fish completions/zsh 8 ,8
Hide warnings for ignored packages,2019-11-11,Merged,1115,22,4,,4
Remove tar support,2019-11-11,Merged,1111,55,189,completions/fish 8 ,6
Ignore errors while diffing,2019-11-03,Merged,1107,2,11,,1
Remove -F in fish completion,2019-10-30,Merged,1106,8,8,,1
Update completions for zsh and bash to pacman 5.2,2019-11-11,Merged,1102,62,48,completions/zsh ,2
Add SudoBin and SudoFlags,2019-10-28,Merged,1101,36,2,8 ,5
completions/fish: refine from pacman 5.2.0 and yay 9.4.2,2019-10-29,Merged,1100,197,184,,0
completions/fish: inherit completions from pacman,2019-10-25,Closed,1099,100,186,,0
completions/fish: update for pacman 5.2,2019-10-24,Merged,1088,8,11,,1
Remove [testing] for Arm release,2019-10-23,Merged,1083,2,58,Makefile go conf ,4
Clarfiy Out Of Date Message,2019-10-23,Merged,1082,1,1,,1
Update documentation,2019-10-21,Merged,1079,36,0,8 ,2
Bump version for release,2019-10-22,Merged,1078,4,4,go 8 ,3
Update go-alpm for pacman-next,2019-10-22,Merged,1077,104,82,mod sum com/Jguer/go-alpm/Dockerfile com/Jguer/go-alpm/Makefile txt ,10
Remove delta support for pacman 5.2.0,2019-10-21,Closed,1074,0,4,,1
Test failing CI,2019-10-21,Closed,1073,0,0,,1
Move yay code into cmd/,2019-10-21,Closed,1072,13,8,go mod ,29
more selfexplaining upgrade process,2019-10-19,Merged,1071,1,1,,1
more selfexplaining upgrade process,2019-10-19,Closed,1070,1,1,,1
Move abs cloning to it's own directory,2019-10-21,Merged,1068,12,2,,3
Support AURDEST,2019-10-21,Merged,1067,5,0,,1
Refactor files,2019-10-16,Merged,1064,163,150,go ,8
"Change ref name used in git to compute diff to ""AURUTILS_SEEN"".",2019-10-15,Merged,1062,6,4,,1
Enforce lint in CI,2019-10-13,Merged,1061,192,68,Makefile go ,9
Add --searchby,2019-10-13,Merged,1056,102,47,mod sum txt ,9
"Have ""make build"" build be the default again",2019-10-10,Merged,1054,3,3,,1
Re-add --batchinstall and fix dep issues,2019-10-16,Merged,1053,154,102,,5
Fix Typos,2019-10-10,Merged,1052,2,2,go ,2
FR #994: Implement proper diff display,2019-10-12,Merged,1049,62,9,,2
Module types,2019-10-07,Merged,1048,637,489,,5
Move completion to submodule,2019-10-05,Merged,1046,99,95,go ,5
Upload yay releases using github-actions,2019-10-04,Merged,1045,9,3,sh ,2
Fix order of variables in makefile,2019-10-04,Merged,1044,9,11,Makefile ,2
"Revert ""Merge pull request #778 from Morganamilo/group-transactions""",2019-10-04,Merged,1043,76,143,,5
Only remove VCS if the package was removed successfully,2019-10-05,Merged,1041,6,2,,1
Use BuildDir instead of cacheHome to store PKGBUILDS with -G,2019-09-30,Merged,1035,3,3,,1
