Handle quoted URL in meta refresh,2020-01-13,Merged,5795,6,2,html ,3
Correct MailTo pattern for RegexAutoTagScanner,2020-01-13,Merged,5794,20,1,xml ,2
Update version,2020-01-10,Merged,5793,92,94,,15
Link to new questionnaire,2020-01-09,Merged,5792,1,1,,0
Set latest version to default config,2020-01-06,Merged,5787,51,11,xml ,3
Add tooltip listing all proxies to the footer Primary Proxy label,2020-01-06,Merged,5785,51,4,properties ,4
Disable JAR caching by default,2020-01-02,Merged,5783,10,0,,1
Update default user agent,2020-01-02,Merged,5782,109,106,,0
Don't display messages when deleting them,2020-01-03,Merged,5780,72,17,,4
MacOS DMG - switch back to HFS+,2020-01-02,Merged,5779,1,0,,1
Fix button alignment in Find dialogue,2019-12-23,Merged,5775,2,1,,1
Allow to enable/disable all passive tags through the API,2019-12-19,Merged,5774,18,0,properties ,2
Wait for add-ons to be installed before starting proxy,2019-12-17,Merged,5769,12,14,,1
Log path of new session,2019-12-16,Merged,5768,3,1,,1
CleanCode: AboutDialog,2019-12-16,Merged,5766,26,73,,1
Issue 2016: Handle proxy conflict,2019-12-16,Merged,5764,186,6,properties ,8
Switch to freenode,2019-12-13,Merged,5762,1,1,,0
HttpHeader provide List variant for getHeaders(String),2019-12-10,Merged,5756,75,83,,7
spelling: breakpoint,2019-12-09,Merged,5752,30,30,java properties ,6
Switch cancel button to end,2019-12-06,Merged,5749,6,6,,1
"Search: Group Search, Next, and Previous",2019-12-06,Merged,5747,143,28,properties ,3
Find Next/Find Previous,2019-12-05,Closed,5745,2,2,,1
Do not show outdated add-ons in marketplace,2019-12-05,Merged,5742,6,0,,1
Handle API parameters uniformly,2019-12-06,Merged,5741,392,437,,6
spelling: minutes; 0 is unlimited,2019-12-06,Merged,5729,10,10,,1
spelling: e.g.,2019-12-09,Merged,5728,81,77,py config js java ,26
Set default API element's description key,2019-12-03,Merged,5724,31,68,,12
AntiCSRF Tokens Add New Defaults,2019-12-03,Merged,5723,17,6,,1
Spelling fixes for tests,2019-11-28,Merged,5720,2,2,,2
Handle tree table in multiple options table panel,2019-11-28,Merged,5718,9,1,,1
Spelling localization,2019-12-06,Merged,5716,24,23,java ,13
Spelling tests,2019-11-27,Merged,5715,28,28,,10
Fix OSX id_kp_serverAuth requirement,2019-11-28,Merged,5714,6,0,,1
Use specific label for 3rd party add-on issues,2019-11-28,Merged,5713,1,1,,0
Use ZAP-in-Ten images from the wiki,2019-11-27,Merged,5712,2,2,,0
Spelling,2019-11-29,Merged,5709,185,183,py php js java ,25
