SNo.,Repository Name,Repository Link,Language,Domain,Stars,Forks ,Releases (Till 10th Jan),No. of Contributors,Total Number of Pull-Request,Closed PR,Merged PR,Avg. No. of lines added,Avg. No. lines Deleted,Avg. No. of Files Changed,Functional PR,Bug Fixing PR,Testing PR
1,20tab/UnrealEnginePython,https://github.com/20tab/UnrealEnginePython,C++,Games,1585,444,42,38,102,13,89,57,13,4,112,32,23
2,3lvis/Sync,https://github.com/3lvis/Sync,Swift,Library,2422,229,128,27,265,46,219,104,45,5,950,610,674
3,42wim/matterbridge,https://github.com/42wim/matterbridge,Go,Networking,2600,256,88,63,247,29,218,59,29,3,112,73,63
4,4ian/GDevelop,https://github.com/4ian/GDevelop,C++,Games,2100,338,90,41,462,40,422,129,48,4,117,30,35
5,52inc/Pulley,https://github.com/52inc/Pulley,Swift,Library,1774,232,43,32,65,20,45,44,20,4,728,483,439
6,ACINQ/eclair,https://github.com/ACINQ/eclair,Scala,Cryptocurrency,837,187,51,29,738,95,643,106,54,4,1142,244,248
7,AeroScripts/QuestieDev,https://github.com/AeroScripts/QuestieDev,Lua ,Games,857,203,79,63,192,40,152,54,32,2,389,140,70
8,airbnb/epoxy,https://github.com/airbnb/epoxy,Java,Android,6439,522,48,55,333,18,315,136,56,5,195,42,96
9,Alamofire/Alamofire,https://github.com/Alamofire/Alamofire,Swift,Networking,"33,493",6166,72,197,727,349,378,77,40,4,2200,498,413
10,AltBeacon/android-beacon-library,https://github.com/AltBeacon/android-beacon-library,Java,Android,"2,415",751,119,52,248,21,227,60,25,6,175,54,79
11,ARCANEDEV/LogViewer,https://github.com/ARCANEDEV/LogViewer,PHP,Framework,1800,258,108,49,147,16,131,66,32,5,425,200,56
12,articular/NServiceBus,https://github.com/Particular/NServiceBus,C#,Editor,1640,623,303,91,2316,466,1850,118,64,2,85,38,18
13,ArtSabintsev/Harpy,https://github.com/ArtSabintsev/Harpy,Objective-C,Mobile App,2600,326,79,34,94,39,55,35,11,3,418,127,88
14,ArtSabintsev/Siren,https://github.com/ArtSabintsev/Siren,Swift,Android,3525,344,110,43,114,30,84,58,28,5,974,440,445
15,Atmosphere-NX/Atmosphere,https://github.com/Atmosphere-NX/Atmosphere,C,Games,4405,529,25,54,198,58,140,42,17,2,28,5,17
16,AudioKit/AudioKit,https://github.com/AudioKit/AudioKit,C++,General Application,7506,1185,68,122,900,66,834,108,57,2,157,16,19
17,Automattic/jetpack,https://github.com/Automattic/jetpack,PHP,Web Application,1200,678,547,471,8246,1106,7140,55,26,5,488,126,410
18,Azure/azure-functions-host,https://github.com/Azure/azure-functions-host,C#,Cloud,1355,288,209,61,1859,377,1482,97,45,3,76,20,36
19,Azure/draft,https://github.com/Azure/draft,Go,Cloud,3882,413,52,63,451,49,402,71,31,5,147,39,71
20,BendingSpoons/katana-swift,https://github.com/BendingSpoons/katana-swift,Swift,Framework,2000,76,41,22,90,6,84,148,65,7,1279,179,246
21,BigWigsMods/BigWigs,https://github.com/BigWigsMods/BigWigs,Lua,Games,128,85,697,65,521,49,472,28,15,2,400,84,79
